,,,,,,,,,,,,,,"Table 1. Summary Statistics for Professional, Scientific and Technical Activities Establishments by Geolocation, Industry Description, Year and Data Items"
..National Capital Region,..Specialized design activities,45,496,496,-,544758,271578,176398,95180,473794,287072,-,-,-
..National Capital Region,..Photographic activities,301,6978,6978,208,7640166,6956499,1701842,5254657,3035694,106088,-28925,-,-
..National Capital Region,"..Other professional, scientific and technical activities, n.e.c.",76,1089,1089,-,618555,594730,324614,270116,383866,-,230,-,-
..National Capital Region,..Veterinary activities,125,1438,1438,-,3152215,2366108,501878,1864230,1330455,-,16635,-,-
..Cordillera Administrative Region,"Professional, Scientific and Technical Activities",66,1231,1167,-,848559,794115,264626,529489,327078,971,5787,-,-
..Cordillera Administrative Region,..Legal activities,13,39,26,-,7198,5851,1836,4014,3633,-,-10,-,-
..Cordillera Administrative Region,"..Accounting, bookkeeping and auditing activities;  tax consultancy",8,73,64,-,9719,13651,8404,5247,4764,71,-,-,-
..Cordillera Administrative Region,..Activities of head offices,,,,,,,,,,,,,
..Cordillera Administrative Region,..Management consultancy activities,4,148,148,-,109228,99402,84219,15183,95382,233,-,-,-
..Cordillera Administrative Region,..Architectural and engineering activities  and related technical consultancy,16,781,761,-,241097,207277,137772,69504,175055,-,-108,-,-
..Cordillera Administrative Region,..Technical testing and analysis,5,25,22,-,8628,7292,2296,4996,4048,-,-,-,-
..Cordillera Administrative Region,..Research and experimental development  on natural sciences and engineering,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Research and experimental development  on social sciences and humanities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Research and experimental development  in information technology,,,,,,,,,,,,,
..Cordillera Administrative Region,..Advertising,,,,,,,,,,,,,
..Cordillera Administrative Region,..Market research and public opinion polling,,,,,,,,,,,,,
..Cordillera Administrative Region,..Specialized design activities,,,,,,,,,,,,,
..Cordillera Administrative Region,..Photographic activities,15,69,52,-,354963,348630,7907,340723,13864,-,5999,-,-
..Cordillera Administrative Region,"..Other professional, scientific and technical activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Veterinary activities,3,17,14,-,2679,2116,1178,938,1883,263,9,-,-
..Ilocos Region,"Professional, Scientific and Technical Activities",120,1031,1010,-,608049,396916,107539,289377,432365,16233,-906,-,-
..Ilocos Region,..Legal activities,20,103,103,-,35243,27931,13589,14342,22474,-,34,-,-
..Ilocos Region,"..Accounting, bookkeeping and auditing activities;  tax consultancy",7,74,70,-,15507,13341,6011,7330,9676,90,-7,-,-
..Ilocos Region,..Activities of head offices,s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Management consultancy activities,4,181,181,-,163382,200309,29082,171227,93533,4558,-240,-,-
..Ilocos Region,..Architectural and engineering activities  and related technical consultancy,s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Technical testing and analysis,16,48,48,-,16896,12215,5417,6798,10602,-,28,-,-
..Ilocos Region,..Research and experimental development  on natural sciences and engineering,,,,,,,,,,,,,
..Ilocos Region,..Research and experimental development  on social sciences and humanities,,,,,,,,,,,,,
..Ilocos Region,..Research and experimental development  in information technology,,,,,,,,,,,,,
..Ilocos Region,..Advertising,5,26,26,-,6533,5712,1193,4519,2486,-,-16,-,-
..Ilocos Region,..Market research and public opinion polling,,,,,,,,,,,,,
..Ilocos Region,..Specialized design activities,,,,,,,,,,,,,
..Ilocos Region,..Photographic activities,56,470,470,-,332648,104231,34532,69699,270238,57,-769,-,-
..Ilocos Region,"..Other professional, scientific and technical activities, n.e.c.",,,,,,,,,,,,,
..Ilocos Region,..Veterinary activities,9,62,47,-,15663,14778,5020,9757,6312,11527,-72,-,-
..Cagayan Valley,"Professional, Scientific and Technical Activities",72,347,347,-,241196,198872,100096,98776,163374,262,-7913,-,-
..Cagayan Valley,..Legal activities,9,41,41,-,12889,10388,5589,4799,9775,-,4,-,-
..Cagayan Valley,"..Accounting, bookkeeping and auditing activities;  tax consultancy",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Activities of head offices,,,,,,,,,,,,,
..Cagayan Valley,..Management consultancy activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Architectural and engineering activities  and related technical consultancy,,,,,,,,,,,,,
..Cagayan Valley,..Technical testing and analysis,22,104,104,-,97840,85861,32630,53231,50948,-,-84,-,-
..Cagayan Valley,..Research and experimental development  on natural sciences and engineering,,,,,,,,,,,,,
..Cagayan Valley,..Research and experimental development  on social sciences and humanities,,,,,,,,,,,,,
..Cagayan Valley,..Research and experimental development  in information technology,,,,,,,,,,,,,
..Cagayan Valley,..Advertising,5,14,14,-,2383,1814,688,1126,1397,-,26,-,-
..Cagayan Valley,..Market research and public opinion polling,,,,,,,,,,,,,
..Cagayan Valley,..Specialized design activities,,,,,,,,,,,,,
..Cagayan Valley,..Photographic activities,30,100,100,-,66859,45400,17438,27962,50541,-,-7843,-,-
..Cagayan Valley,"..Other professional, scientific and technical activities, n.e.c.",,,,,,,,,,,,,
..Cagayan Valley,..Veterinary activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Luzon,"Professional, Scientific and Technical Activities",287,4792,4741,958,5161017,3719128,1201789,2517339,2966237,149374,5177,-,6219
..Central Luzon,..Legal activities,14,71,71,-,39709,21976,12850,9126,30980,699,39,-,-
..Central Luzon,"..Accounting, bookkeeping and auditing activities;  tax consultancy",25,1352,1352,-,716270,713321,498010,215311,564498,35929,-,-,-
..Central Luzon,..Activities of head offices,s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Luzon,..Management consultancy activities,12,1061,1061,207,2255700,1522507,252192,1270314,1177316,3370,-3394,-,-
..Central Luzon,..Architectural and engineering activities  and related technical consultancy,24,427,427,-,154191,118136,56653,61483,102648,39093,389,-,-
..Central Luzon,..Technical testing and analysis,57,206,185,-,88442,66761,19853,46908,50607,26826,38,-,-
..Central Luzon,..Research and experimental development  on natural sciences and engineering,4,311,311,751,440971,339693,72687,267006,179389,1589,-600,0,6219
..Central Luzon,..Research and experimental development  on social sciences and humanities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Luzon,..Research and experimental development  in information technology,,,,,,,,,,,,,
..Central Luzon,..Advertising,23,300,274,-,208503,129443,37829,91613,121890,1422,-2164,-,-
..Central Luzon,..Market research and public opinion polling,,,,,,,,,,,,,
..Central Luzon,..Specialized design activities,3,577,574,-,469131,378027,181501,196526,286240,-834,12127,-,-
..Central Luzon,..Photographic activities,78,198,198,-,330082,87821,37136,50684,282119,1609,65,-,-
..Central Luzon,"..Other professional, scientific and technical activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Luzon,..Veterinary activities,42,264,264,-,113080,90858,24411,66447,56696,39671,-1322,-,-
..CALABARZON,"Professional, Scientific and Technical Activities",538,12957,12926,354,12056377,10523122,4534130,5988992,6277993,106704,-67639,-,2658
..CALABARZON,..Legal activities,66,169,169,-,25330,13700,6119,7580,19934,-,-,-,-
..CALABARZON,"..Accounting, bookkeeping and auditing activities;  tax consultancy",43,564,542,74,2010362,668261,152992,515269,1459230,-,-,-,-
..CALABARZON,..Activities of head offices,s,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,..Management consultancy activities,30,1325,1325,-,878138,805694,742551,63143,826365,2789,18,-,-
..CALABARZON,..Architectural and engineering activities  and related technical consultancy,56,6103,6103,224,5898513,5955950,2627546,3328403,2641900,-,64112,-,-
..CALABARZON,..Technical testing and analysis,54,1932,1932,6,1037066,953431,480550,472881,623563,36370,2753,-,2658
..CALABARZON,..Research and experimental development  on natural sciences and engineering,3,236,236,-,573445,566861,95522,471338,104801,340,-,-,-
..CALABARZON,..Research and experimental development  on social sciences and humanities,c,c,c,c,c,c,c,c,c,c,c,c,c
..CALABARZON,..Research and experimental development  in information technology,,,,,,,,,,,,,
..CALABARZON,..Advertising,32,838,829,-,564242,530890,70621,460269,113110,51018,-140724,-,-
..CALABARZON,..Market research and public opinion polling,s,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,..Specialized design activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,..Photographic activities,156,383,383,-,198416,190456,50373,140083,66193,-,1147,-,-
..CALABARZON,"..Other professional, scientific and technical activities, n.e.c.",8,728,728,4,442851,451718,164219,287498,217103,4521,-310,-,-
..CALABARZON,..Veterinary activities,85,391,391,-,256010,220109,81751,138359,128875,-,4144,-,-
..MIMAROPA Region,"Professional, Scientific and Technical Activities",35,155,152,-,61488,45032,18304,26728,37435,-,-2988,-,-
..MIMAROPA Region,..Legal activities,3,6,3,-,900,816,440,376,558,-,-1,-,-
..MIMAROPA Region,"..Accounting, bookkeeping and auditing activities;  tax consultancy",6,48,48,-,7187,5294,3757,1537,6157,-,29,-,-
..MIMAROPA Region,..Activities of head offices,,,,,,,,,,,,,
..MIMAROPA Region,..Management consultancy activities,,,,,,,,,,,,,
..MIMAROPA Region,..Architectural and engineering activities  and related technical consultancy,,,,,,,,,,,,,
..MIMAROPA Region,..Technical testing and analysis,10,46,46,-,18571,15608,8811,6797,12368,-,5,-,-
..MIMAROPA Region,..Research and experimental development  on natural sciences and engineering,,,,,,,,,,,,,
..MIMAROPA Region,..Research and experimental development  on social sciences and humanities,,,,,,,,,,,,,
..MIMAROPA Region,..Research and experimental development  in information technology,,,,,,,,,,,,,
..MIMAROPA Region,..Advertising,s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,..Market research and public opinion polling,,,,,,,,,,,,,
..MIMAROPA Region,..Specialized design activities,,,,,,,,,,,,,
..MIMAROPA Region,..Photographic activities,10,35,35,-,27023,18652,3733,14918,13219,-,-3014,-,-
..MIMAROPA Region,"..Other professional, scientific and technical activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,..Veterinary activities,3,10,10,-,3198,2340,556,1784,1840,-,-7,-,-
..Bicol Region,"Professional, Scientific and Technical Activities",94,539,520,156,262988,199252,102195,97057,180643,9536,-1903,-,-
..Bicol Region,..Legal activities,17,35,35,-,16120,5973,2849,3124,13835,260,-165,-,-
..Bicol Region,"..Accounting, bookkeeping and auditing activities;  tax consultancy",5,37,37,-,13827,10261,4877,5384,12654,4351,-,-,-
..Bicol Region,..Activities of head offices,,,,,,,,,,,,,
..Bicol Region,..Management consultancy activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,..Architectural and engineering activities  and related technical consultancy,5,49,42,3,26622,20296,4125,16171,12349,2000,-344,-,-
..Bicol Region,..Technical testing and analysis,18,53,41,-,25536,19192,4351,14841,11786,-,-,-,-
..Bicol Region,..Research and experimental development  on natural sciences and engineering,,,,,,,,,,,,,
..Bicol Region,..Research and experimental development  on social sciences and humanities,,,,,,,,,,,,,
..Bicol Region,..Research and experimental development  in information technology,,,,,,,,,,,,,
..Bicol Region,..Advertising,9,159,159,-,63129,43901,16927,26973,38895,2925,-1784,-,-
..Bicol Region,..Market research and public opinion polling,,,,,,,,,,,,,
..Bicol Region,..Specialized design activities,,,,,,,,,,,,,
..Bicol Region,..Photographic activities,28,71,71,-,28688,24965,5030,19935,11125,-,638,-,-
..Bicol Region,"..Other professional, scientific and technical activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,..Veterinary activities,8,36,36,-,13188,5087,2381,2707,10756,-,-101,-,-
..Western Visayas,"Professional, Scientific and Technical Activities",202,3122,2962,100,1525520,1302831,462535,840297,768286,188947,31697,-,-
..Western Visayas,..Legal activities,40,255,199,-,47140,40436,17377,23059,26236,163291,-,-,-
..Western Visayas,"..Accounting, bookkeeping and auditing activities;  tax consultancy",27,227,227,-,101686,57195,40971,16223,89036,-,-,-,-
..Western Visayas,..Activities of head offices,s,s,s,s,s,s,s,s,s,s,s,s,s
..Western Visayas,..Management consultancy activities,10,321,308,-,173685,152764,97022,55742,116836,3501,-243,-,-
..Western Visayas,..Architectural and engineering activities  and related technical consultancy,21,571,549,-,256302,164054,102763,61291,198957,21340,-,-,-
..Western Visayas,..Technical testing and analysis,14,103,98,-,92261,71898,15726,56172,48637,306,107,-,-
..Western Visayas,..Research and experimental development  on natural sciences and engineering,3,39,39,2,14504,13831,5666,8165,6664,-,-,-,-
..Western Visayas,..Research and experimental development  on social sciences and humanities,,,,,,,,,,,,,
..Western Visayas,..Research and experimental development  in information technology,,,,,,,,,,,,,
..Western Visayas,..Advertising,19,348,335,98,165161,154060,28828,125232,28811,-,21926,-,-
..Western Visayas,..Market research and public opinion polling,,,,,,,,,,,,,
..Western Visayas,..Specialized design activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Western Visayas,..Photographic activities,52,801,769,-,205135,261744,76207,185537,77155,-,-,-,-
..Western Visayas,"..Other professional, scientific and technical activities, n.e.c.",3,286,266,-,270405,246041,43691,202350,71993,-,-,-,-
..Western Visayas,..Veterinary activities,10,94,94,-,123674,84653,16218,68435,57119,355,9796,-,-
..Central Visayas,"Professional, Scientific and Technical Activities",397,11043,11018,231,8075199,6499545,3622724,2876821,5622593,215400,80014,-,-
..Central Visayas,..Legal activities,96,1572,1560,-,515779,313125,131072,182053,348410,-,-,-,-
..Central Visayas,"..Accounting, bookkeeping and auditing activities;  tax consultancy",32,1074,1074,12,544454,475382,330935,144447,407371,12261,-,-,-
..Central Visayas,..Activities of head offices,,,,,,,,,,,,,
..Central Visayas,..Management consultancy activities,33,1915,1915,23,1204542,1154655,697510,457145,878306,45086,3161,-,-
..Central Visayas,..Architectural and engineering activities  and related technical consultancy,66,2072,2072,74,1723276,1196784,654224,542561,1226703,8527,524,-,-
..Central Visayas,..Technical testing and analysis,51,455,455,14,318958,294944,115570,179374,174932,25718,1148,-,-
..Central Visayas,..Research and experimental development  on natural sciences and engineering,4,47,47,-,34990,30003,10327,19676,16146,234,-,-,-
..Central Visayas,..Research and experimental development  on social sciences and humanities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Visayas,..Research and experimental development  in information technology,3,1859,1859,9,2202407,1935880,1278877,657004,1701609,95236,-,-,-
..Central Visayas,..Advertising,33,528,521,-,347315,227549,110731,116818,231776,24470,-,-,-
..Central Visayas,..Market research and public opinion polling,s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Visayas,..Specialized design activities,6,201,201,86,149997,123937,40649,83288,73658,-,-667,-,-
..Central Visayas,..Photographic activities,55,888,888,-,783524,597900,164563,433337,370128,3867,76009,-,-
..Central Visayas,"..Other professional, scientific and technical activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Visayas,..Veterinary activities,14,258,252,13,181247,87705,59417,28288,156823,-,-162,-,-
..Eastern Visayas,"Professional, Scientific and Technical Activities",43,244,244,-,71744,57973,25624,32350,42941,2699,737,-,-
..Eastern Visayas,..Legal activities,6,31,31,-,7406,5878,2032,3846,3871,1688,-,-,-
..Eastern Visayas,"..Accounting, bookkeeping and auditing activities;  tax consultancy",6,25,25,-,11039,7736,4889,2847,8393,446,-5,-,-
..Eastern Visayas,..Activities of head offices,,,,,,,,,,,,,
..Eastern Visayas,..Management consultancy activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Architectural and engineering activities  and related technical consultancy,s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Technical testing and analysis,12,38,38,-,5905,4959,2996,1963,4367,474,-,-,-
..Eastern Visayas,..Research and experimental development  on natural sciences and engineering,,,,,,,,,,,,,
..Eastern Visayas,..Research and experimental development  on social sciences and humanities,,,,,,,,,,,,,
..Eastern Visayas,..Research and experimental development  in information technology,,,,,,,,,,,,,
..Eastern Visayas,..Advertising,6,80,80,-,29151,26010,9751,16259,13800,-,325,-,-
..Eastern Visayas,..Market research and public opinion polling,,,,,,,,,,,,,
..Eastern Visayas,..Specialized design activities,,,,,,,,,,,,,
..Eastern Visayas,..Photographic activities,9,33,33,-,11041,9149,3522,5627,6370,-,399,-,-
..Eastern Visayas,"..Other professional, scientific and technical activities, n.e.c.",,,,,,,,,,,,,
..Eastern Visayas,..Veterinary activities,,,,,,,,,,,,,
..Zamboanga Peninsula,"Professional, Scientific and Technical Activities",46,303,275,-,149088,119784,49274,70510,89826,4522,298,-,-
..Zamboanga Peninsula,..Legal activities,12,35,35,-,6902,5116,2356,2760,4482,-,114,-,-
..Zamboanga Peninsula,"..Accounting, bookkeeping and auditing activities;  tax consultancy",3,57,57,-,13460,17963,5273,12690,2541,-,-,-,-
..Zamboanga Peninsula,..Activities of head offices,,,,,,,,,,,,,
..Zamboanga Peninsula,..Management consultancy activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,..Architectural and engineering activities  and related technical consultancy,,,,,,,,,,,,,
..Zamboanga Peninsula,..Technical testing and analysis,13,50,50,-,52316,35081,23047,12033,43731,4492,-,-,-
..Zamboanga Peninsula,..Research and experimental development  on natural sciences and engineering,,,,,,,,,,,,,
..Zamboanga Peninsula,..Research and experimental development  on social sciences and humanities,,,,,,,,,,,,,
..Zamboanga Peninsula,..Research and experimental development  in information technology,,,,,,,,,,,,,
..Zamboanga Peninsula,..Advertising,s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,..Market research and public opinion polling,,,,,,,,,,,,,
..Zamboanga Peninsula,..Specialized design activities,,,,,,,,,,,,,
..Zamboanga Peninsula,..Photographic activities,13,116,90,-,62499,50918,13845,37072,29566,-,140,-,-
..Zamboanga Peninsula,"..Other professional, scientific and technical activities, n.e.c.",,,,,,,,,,,,,
..Zamboanga Peninsula,..Veterinary activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,"Professional, Scientific and Technical Activities",122,957,948,63,5849385,5662386,189319,5473067,637607,1426024,238764,-,-
..Northern Mindanao,..Legal activities,34,102,102,-,52747,34699,18850,15849,38981,223,-,-,-
..Northern Mindanao,"..Accounting, bookkeeping and auditing activities;  tax consultancy",15,151,151,-,84366,70293,18934,51359,27732,25284,-39,-,-
..Northern Mindanao,..Activities of head offices,,,,,,,,,,,,,
..Northern Mindanao,..Management consultancy activities,3,69,69,-,44408,40035,35383,4652,39351,9637,36,-,-
..Northern Mindanao,..Architectural and engineering activities  and related technical consultancy,9,260,254,-,277421,259425,25414,234011,61029,27324,-1888,-,-
..Northern Mindanao,..Technical testing and analysis,23,178,178,-,123175,112670,52218,60452,70885,6541,-547,-,-
..Northern Mindanao,..Research and experimental development  on natural sciences and engineering,s,s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,..Research and experimental development  on social sciences and humanities,,,,,,,,,,,,,
..Northern Mindanao,..Research and experimental development  in information technology,,,,,,,,,,,,,
..Northern Mindanao,..Advertising,11,122,122,40,115991,92354,19357,72997,49067,14864,-,-,-
..Northern Mindanao,..Market research and public opinion polling,,,,,,,,,,,,,
..Northern Mindanao,..Specialized design activities,,,,,,,,,,,,,
..Northern Mindanao,..Photographic activities,23,45,45,23,5139293,5042546,15756,5026790,345057,1342151,241102,-,-
..Northern Mindanao,"..Other professional, scientific and technical activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,..Veterinary activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Davao Region,"Professional, Scientific and Technical Activities",339,5408,5339,-,6230743,3567045,1514371,2052675,3613779,17582,11532,-,-
..Davao Region,..Legal activities,76,424,355,-,136632,120318,53133,67184,95526,-,-,-,-
..Davao Region,"..Accounting, bookkeeping and auditing activities;  tax consultancy",41,1728,1728,-,683166,465621,314005,151616,548228,340,-,-,-
..Davao Region,..Activities of head offices,,,,,,,,,,,,,
..Davao Region,..Management consultancy activities,19,910,909,-,1812130,926343,580484,345859,672318,13031,-12,-,-
..Davao Region,..Architectural and engineering activities  and related technical consultancy,60,1433,1433,-,688113,485840,166008,319832,403591,4011,1860,-,-
..Davao Region,..Technical testing and analysis,62,368,368,-,599935,501717,155146,346571,270924,-,-,-,-
..Davao Region,..Research and experimental development  on natural sciences and engineering,,,,,,,,,,,,,
..Davao Region,..Research and experimental development  on social sciences and humanities,,,,,,,,,,,,,
..Davao Region,..Research and experimental development  in information technology,,,,,,,,,,,,,
..Davao Region,..Advertising,36,280,280,-,575862,507251,45953,461298,127153,-,9654,-,-
..Davao Region,..Market research and public opinion polling,s,s,s,s,s,s,s,s,s,s,s,s,s
..Davao Region,..Specialized design activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Davao Region,..Photographic activities,27,123,123,-,1681317,511043,177705,333338,1468030,-,-,-,-
..Davao Region,"..Other professional, scientific and technical activities, n.e.c.",7,42,42,-,25112,23758,7146,16612,9027,-,-,-,-
..Davao Region,..Veterinary activities,8,40,40,-,10521,7431,2722,4709,6268,200,27,-,-
..SOCCSKSARGEN,"Professional, Scientific and Technical Activities",153,1438,1429,17,725626,573676,180662,393014,373131,-5536,3065,-,-
..SOCCSKSARGEN,..Legal activities,36,96,96,-,37692,23503,11630,11873,30823,-,-151,-,-
..SOCCSKSARGEN,"..Accounting, bookkeeping and auditing activities;  tax consultancy",9,100,100,-,53761,44926,7379,37547,17678,-,886,-,-
..SOCCSKSARGEN,..Activities of head offices,,,,,,,,,,,,,
..SOCCSKSARGEN,..Management consultancy activities,6,55,55,-,83016,51697,25112,26585,57430,650,-3,-,-
..SOCCSKSARGEN,..Architectural and engineering activities  and related technical consultancy,9,808,799,14,344795,257700,79544,178156,185640,450,1761,-,-
..SOCCSKSARGEN,..Technical testing and analysis,43,137,137,-,58885,46328,32451,13877,50832,383,-1136,-,-
..SOCCSKSARGEN,..Research and experimental development  on natural sciences and engineering,s,s,s,s,s,s,s,s,s,s,s,s,s
..SOCCSKSARGEN,..Research and experimental development  on social sciences and humanities,,,,,,,,,,,,,
..SOCCSKSARGEN,..Research and experimental development  in information technology,,,,,,,,,,,,,
..SOCCSKSARGEN,..Advertising,s,s,s,s,s,s,s,s,s,s,s,s,s
..SOCCSKSARGEN,..Market research and public opinion polling,,,,,,,,,,,,,
..SOCCSKSARGEN,..Specialized design activities,,,,,,,,,,,,,
..SOCCSKSARGEN,..Photographic activities,37,184,184,-,127857,131889,17670,114220,21252,-7258,1544,-,-
..SOCCSKSARGEN,"..Other professional, scientific and technical activities, n.e.c.",,,,,,,,,,,,,
..SOCCSKSARGEN,..Veterinary activities,7,22,22,-,4961,4229,2355,1874,3191,59,-74,-,-
..Caraga,"Professional, Scientific and Technical Activities",73,331,329,1,170821,141767,36421,105346,149888,104089,-3605,-,-
..Caraga,..Legal activities,28,77,77,-,25084,16498,7411,9088,18676,1576,-113,-,-
..Caraga,"..Accounting, bookkeeping and auditing activities;  tax consultancy",3,25,25,-,8958,8588,5687,2901,6747,92,-,-,-
..Caraga,..Activities of head offices,,,,,,,,,,,,,
..Caraga,..Management consultancy activities,4,30,30,-,10527,10094,6103,3991,6756,750,-103,-,-
..Caraga,..Architectural and engineering activities  and related technical consultancy,,,,,,,,,,,,,
..Caraga,..Technical testing and analysis,15,49,49,-,28144,23200,7208,15992,17929,4294,-,-,-
..Caraga,..Research and experimental development  on natural sciences and engineering,,,,,,,,,,,,,
..Caraga,..Research and experimental development  on social sciences and humanities,,,,,,,,,,,,,
..Caraga,..Research and experimental development  in information technology,,,,,,,,,,,,,
..Caraga,..Advertising,3,22,20,-,6199,4179,1610,2569,4528,-,-,-,-
..Caraga,..Market research and public opinion polling,,,,,,,,,,,,,
..Caraga,..Specialized design activities,,,,,,,,,,,,,
..Caraga,..Photographic activities,17,116,116,-,89544,77364,7678,69687,93845,96620,-3388,-,-
..Caraga,"..Other professional, scientific and technical activities, n.e.c.",,,,,,,,,,,,,
..Caraga,..Veterinary activities,3,13,13,1,2365,1844,725,1119,1407,757,-,-,-
