"Summary Statistics for Financial and Insurance Activities Establishments by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2020 Number of Establishments","2020 Total Employment a/","2020 Paid Employees a/","2020 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors a/","2020 Total Revenue","2020 Total Expense","2020 Compensation","2020 Other Expense","2020 Value Added","2020 Gross Additions  to Tangible Fixed Assets","2020 Change  in Inventories","2020 Subsidies","2020 Sales from E-Commerce Transactions"
"..National Capital Region","..Monetary intermediation",3037,95235,95235,4784,770257244,614137666,103366046,510771620,367128951,14124668,654699,-,224900
"..National Capital Region","..Activities of holding companies",247,7341,7341,339,195206032,78636468,17950857,60685611,148719365,8618725,-93661,-,-
"..National Capital Region","..Trusts, funds and other financial vehicles",165,1349,1349,29,17252695,16519842,3829547,12690294,6720551,32784,-11888,-,-
"..National Capital Region","..Other financial service activities, except insurance and pension funding activities",2904,35299,35299,6128,123564000,87678846,20022368,67656478,90241056,2196194,-8005,810888,-
"..National Capital Region","..Insurance",361,16627,16627,2520,258759647,193431056,15587577,177843479,90117253,2189368,7514,653,1131355
"..National Capital Region","..Reinsurance",c,c,c,c,c,c,c,c,c,c,c,c,c
"..National Capital Region","..Pension funding",4,101,101,-,583666,306615,57342,249274,419964,-,29,-,-
"..National Capital Region","..Activities auxiliary to financial service,  except insurance and pension funding",502,5746,5681,349,7883027,7818303,3752382,4065920,4876923,178445,-16324,-,522952
"..National Capital Region","..Activities auxiliary to insurance and pension funding",241,9293,9288,1407,130297594,100253091,5676441,94576650,42806834,1180258,-15439,5913527,42655
"..National Capital Region","..Fund management activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cordillera Administrative Region","Financial and Insurance Activities",646,4625,4538,255,12278798,10437210,1725433,8711777,4740875,95047,11687,60,349
"..Cordillera Administrative Region","..Monetary intermediation",133,1342,1342,160,8333427,7404239,1065013,6339227,3039666,90482,-,-,-
"..Cordillera Administrative Region","..Activities of holding companies",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Trusts, funds and other financial vehicles",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Other financial service activities, except insurance and pension funding activities",426,3024,2937,78,3015227,2132660,568307,1564353,1467576,1032,11214,-,349
"..Cordillera Administrative Region","..Insurance",34,102,102,-,558887,573993,62792,511201,132999,1893,-,-,-
"..Cordillera Administrative Region","..Reinsurance",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Pension funding",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Activities auxiliary to financial service,  except insurance and pension funding",42,111,111,17,73543,58182,18358,39823,56537,1520,469,-,-
"..Cordillera Administrative Region","..Activities auxiliary to insurance and pension funding",11,46,46,-,297714,268136,10962,257174,44096,120,4,60,-
"..Cordillera Administrative Region","..Fund management activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","Financial and Insurance Activities",2012,13560,13248,227,18696043,15006921,3486626,11520295,11088010,370476,71186,2163,-
"..Ilocos Region","..Monetary intermediation",454,4138,4138,214,11700693,9066663,1979890,7086773,7681449,199985,2825,-,-
"..Ilocos Region","..Activities of holding companies",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Ilocos Region","..Trusts, funds and other financial vehicles",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Other financial service activities, except insurance and pension funding activities",1347,8593,8292,-,4520207,3737877,1211196,2526682,2562925,164600,68345,2163,-
"..Ilocos Region","..Insurance",87,510,510,-,2072080,1879907,256883,1623024,707379,5734,-,-,-
"..Ilocos Region","..Reinsurance",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Ilocos Region","..Pension funding",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Ilocos Region","..Activities auxiliary to financial service,  except insurance and pension funding",108,270,259,11,105100,61226,26605,34621,81927,-,15,-,-
"..Ilocos Region","..Activities auxiliary to insurance and pension funding",11,26,26,-,237540,210358,7304,203054,37349,-,3,-,-
"..Ilocos Region","..Fund management activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","Financial and Insurance Activities",937,5680,5680,41,10524019,6384525,1567975,4816551,6397589,184481,9518,173,-
"..Cagayan Valley","..Monetary intermediation",229,2458,2458,-,3396769,2607238,921329,1685909,1759539,18072,-2731,-,-
"..Cagayan Valley","..Activities of holding companies",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cagayan Valley","..Trusts, funds and other financial vehicles",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cagayan Valley","..Other financial service activities, except insurance and pension funding activities",574,2844,2844,40,4409569,1348713,407969,940744,3936685,88772,12325,-,-
"..Cagayan Valley","..Insurance",61,216,216,-,2396852,2187347,180902,2006445,616574,79704,-,173,-
"..Cagayan Valley","..Reinsurance",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Cagayan Valley","..Pension funding",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Activities auxiliary to financial service,  except insurance and pension funding",57,87,87,1,37287,30524,15523,15000,31403,-,5,-,-
"..Cagayan Valley","..Activities auxiliary to insurance and pension funding",15,59,59,-,153279,98063,30749,67314,94834,-2809,-81,-,-
"..Cagayan Valley","..Fund management activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","Financial and Insurance Activities",3748,23192,23167,1691,86187725,68042081,8638430,59403651,36549674,363671,154524,66165,-
"..Central Luzon","..Monetary intermediation",908,10126,10126,1323,61092729,47235988,5819069,41416919,26434938,238617,-9753,24835,-
"..Central Luzon","..Activities of holding companies",3,188,183,-,161384,265815,76795,189020,340,-,-,-,-
"..Central Luzon","..Trusts, funds and other financial vehicles",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Central Luzon","..Other financial service activities, except insurance and pension funding activities",2231,11478,11471,341,6319218,5245033,2109202,3135831,4095273,99205,180109,41067,-
"..Central Luzon","..Insurance",194,550,550,-,17562496,14403840,329454,14074386,5454578,26727,-24427,262,-
"..Central Luzon","..Reinsurance",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","..Pension funding",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Central Luzon","..Activities auxiliary to financial service,  except insurance and pension funding",385,702,689,26,443087,320278,148515,171763,343504,16377,8621,-,-
"..Central Luzon","..Activities auxiliary to insurance and pension funding",22,132,132,-,464100,474008,151045,322962,180371,-17682,-,-,-
"..Central Luzon","..Fund management activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..CALABARZON","Financial and Insurance Activities",4361,30453,30193,3039,88510127,70147012,16710134,53436879,51694381,1412843,80632,37945,110875
"..CALABARZON","..Monetary intermediation",1240,15810,15809,768,56779436,45599415,9694733,35904683,29118165,791642,49880,35241,110875
"..CALABARZON","..Activities of holding companies",4,44,44,2,94497,169828,30032,139796,-50069,170379,-,-,-
"..CALABARZON","..Trusts, funds and other financial vehicles",s,s,s,s,s,s,s,s,s,s,s,s,s
"..CALABARZON","..Other financial service activities, except insurance and pension funding activities",2511,12305,12241,2256,27699651,20200095,6321323,13878772,21993189,454454,33288,1023,-
"..CALABARZON","..Insurance",243,1211,1042,-,3164006,3430479,415537,3014943,278711,3322,90,242,-
"..CALABARZON","..Reinsurance",s,s,s,s,s,s,s,s,s,s,s,s,s
"..CALABARZON","..Pension funding",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..CALABARZON","..Activities auxiliary to financial service,  except insurance and pension funding",313,889,863,13,372855,352258,139625,212633,218112,1677,432,1440,-
"..CALABARZON","..Activities auxiliary to insurance and pension funding",46,183,183,-,333952,316924,98448,218476,148768,-8861,-3070,-,-
"..CALABARZON","..Fund management activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..MIMAROPA Region","Financial and Insurance Activities",900,8992,8934,338,9863194,8619881,2165253,6454628,4068802,232411,41031,-,-
"..MIMAROPA Region","..Monetary intermediation",204,2804,2804,187,1698375,1533169,524283,1008887,608073,49828,699,-,-
"..MIMAROPA Region","..Activities of holding companies",s,s,s,s,s,s,s,s,s,s,s,s,s
"..MIMAROPA Region","..Trusts, funds and other financial vehicles",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..MIMAROPA Region","..Other financial service activities, except insurance and pension funding activities",565,5678,5678,122,5009683,4729752,1492018,3237734,2538203,164874,41518,-,-
"..MIMAROPA Region","..Insurance",65,269,232,12,2416745,1690895,115648,1575247,925012,17709,291,-,-
"..MIMAROPA Region","..Reinsurance",s,s,s,s,s,s,s,s,s,s,s,s,s
"..MIMAROPA Region","..Pension funding",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..MIMAROPA Region","..Activities auxiliary to financial service,  except insurance and pension funding",51,154,154,13,47921,31214,12897,18317,37900,-,-662,-,-
"..MIMAROPA Region","..Activities auxiliary to insurance and pension funding",12,78,57,4,646977,608121,18005,590116,-63892,-,-784,-,-
"..MIMAROPA Region","..Fund management activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bicol Region","Financial and Insurance Activities",1531,17330,17328,1021,14998744,14384566,4342140,10042426,6515474,959264,21767,-,-
"..Bicol Region","..Monetary intermediation",277,6332,6332,464,5757001,5611994,1958929,3653064,2837357,460277,406,-,-
"..Bicol Region","..Activities of holding companies",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Bicol Region","..Trusts, funds and other financial vehicles",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Bicol Region","..Other financial service activities, except insurance and pension funding activities",1056,10269,10267,421,4712501,4493267,2057609,2435658,2937505,371026,20795,-,-
"..Bicol Region","..Insurance",111,541,541,134,4140106,3938905,297494,3641410,676512,127960,-121,-,-
"..Bicol Region","..Reinsurance",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Bicol Region","..Pension funding",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bicol Region","..Activities auxiliary to financial service,  except insurance and pension funding",73,121,121,-,33896,16557,10237,6320,10465,-,-,-,-
"..Bicol Region","..Activities auxiliary to insurance and pension funding",10,44,44,-,282902,254631,9518,245113,41865,-,685,-,-
"..Bicol Region","..Fund management activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Western Visayas","Financial and Insurance Activities",2956,23609,23609,973,41739022,30355296,8345989,22009307,23029760,2232484,-16096,2642,-
"..Western Visayas","..Monetary intermediation",517,9249,9249,531,30738381,21497904,5248152,16249752,17074738,-88838,623,-,-
"..Western Visayas","..Activities of holding companies",4,23,23,-,12800,12591,6256,6334,3761,-,-14,-,-
"..Western Visayas","..Trusts, funds and other financial vehicles",3,27,27,-,200214,175965,19651,156314,-55868,1114,-,-,-
"..Western Visayas","..Other financial service activities, except insurance and pension funding activities",2085,13019,13019,373,7667652,6164081,2590228,3573852,4767855,2241881,-16558,2642,-
"..Western Visayas","..Insurance",134,503,503,-,1267217,769333,175216,594115,692491,59307,-,-,-
"..Western Visayas","..Reinsurance",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Western Visayas","..Pension funding",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Western Visayas","..Activities auxiliary to financial service,  except insurance and pension funding",166,499,499,50,252184,195713,94596,101118,197486,24504,309,-,-
"..Western Visayas","..Activities auxiliary to insurance and pension funding",46,290,290,20,1600574,1539709,211889,1327820,349296,-5484,-456,-,-
"..Western Visayas","..Fund management activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Visayas","Financial and Insurance Activities",3689,22306,22295,2005,53222381,38721554,7926490,30795064,31785963,1842509,-152607,653,22008
"..Central Visayas","..Monetary intermediation",649,6627,6627,1068,22154932,18256165,3659702,14596464,13291249,982176,59288,-,22008
"..Central Visayas","..Activities of holding companies",21,463,463,54,11340534,2786049,559543,2226506,9488495,18944,-,-,-
"..Central Visayas","..Trusts, funds and other financial vehicles",3,20,20,-,3964,4108,1588,2520,2155,-,-,-,-
"..Central Visayas","..Other financial service activities, except insurance and pension funding activities",2638,13556,13556,815,8765069,7945027,3023120,4921907,6038051,286276,104008,-,-
"..Central Visayas","..Insurance",129,771,771,37,8100613,7339320,467714,6871606,1924494,189592,34,653,-
"..Central Visayas","..Reinsurance",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Visayas","..Pension funding",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Visayas","..Activities auxiliary to financial service,  except insurance and pension funding",196,410,400,21,130920,146788,71070,75719,76663,299,106,-,-
"..Central Visayas","..Activities auxiliary to insurance and pension funding",53,460,460,9,2726350,2244097,143754,2100344,964854,365221,-316043,-,-
"..Central Visayas","..Fund management activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Eastern Visayas","Financial and Insurance Activities",1378,9356,9356,279,13189138,10940200,3355226,7584974,7699622,98866,3029,-,-
"..Eastern Visayas","..Monetary intermediation",133,1113,1113,67,4793064,3830727,802719,3028008,2724405,42406,1088,-,-
"..Eastern Visayas","..Activities of holding companies",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Eastern Visayas","..Trusts, funds and other financial vehicles",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Eastern Visayas","..Other financial service activities, except insurance and pension funding activities",1085,7639,7639,100,5468310,4607043,2357950,2249093,4252824,35922,-5470,-,-
"..Eastern Visayas","..Insurance",50,271,271,98,1650156,1401266,124231,1277035,474672,-,7162,-,-
"..Eastern Visayas","..Reinsurance",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Eastern Visayas","..Pension funding",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Eastern Visayas","..Activities auxiliary to financial service,  except insurance and pension funding",84,238,238,14,86320,61212,24485,36727,67979,140,239,-,-
"..Eastern Visayas","..Activities auxiliary to insurance and pension funding",23,85,85,-,1125861,981402,39736,941665,201225,20027,9,-,-
"..Eastern Visayas","..Fund management activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","Financial and Insurance Activities",1057,6468,6468,96,19718457,17748856,2909106,14839750,7023747,279935,16051,-,-
"..Zamboanga Peninsula","..Monetary intermediation",185,2096,2096,-,15455527,13801482,1705938,12095544,5197755,132892,59,-,-
"..Zamboanga Peninsula","..Activities of holding companies",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Trusts, funds and other financial vehicles",3,12,12,35,70559,63304,6680,56624,-18190,371,26,-,-
"..Zamboanga Peninsula","..Other financial service activities, except insurance and pension funding activities",748,3828,3828,60,2265049,2124960,944467,1180493,1388414,141464,15637,-,-
"..Zamboanga Peninsula","..Insurance",45,293,293,1,1540571,1418114,215203,1202912,365041,3687,-20,-,-
"..Zamboanga Peninsula","..Reinsurance",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Zamboanga Peninsula","..Pension funding",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Activities auxiliary to financial service,  except insurance and pension funding",69,207,207,-,51448,39109,27065,12045,43626,1521,345,-,-
"..Zamboanga Peninsula","..Activities auxiliary to insurance and pension funding",7,32,32,-,335303,301887,9754,292133,47101,-,5,-,-
"..Zamboanga Peninsula","..Fund management activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Northern Mindanao","Financial and Insurance Activities",1624,17672,17661,1454,61484569,45673928,9329506,36344421,33587185,2789710,-18554,232,1055
"..Northern Mindanao","..Monetary intermediation",320,7241,7241,5,38227156,26956877,6454884,20501994,23325142,741346,-13,-,-
"..Northern Mindanao","..Activities of holding companies",3,27,27,-,1159066,1091241,6627,1084614,33885,1821,-,-,-
"..Northern Mindanao","..Trusts, funds and other financial vehicles",3,130,130,-,158301,128163,12890,115273,-61689,743,-11888,-,-
"..Northern Mindanao","..Other financial service activities, except insurance and pension funding activities",1124,8412,8401,1347,10122395,7679972,1838923,5841049,6623295,1669174,-5892,-,-
"..Northern Mindanao","..Insurance",121,1665,1665,99,11690181,9708803,969441,8739361,3586632,376593,-20,232,1055
"..Northern Mindanao","..Reinsurance",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Northern Mindanao","..Pension funding",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Northern Mindanao","..Activities auxiliary to financial service,  except insurance and pension funding",33,69,69,3,49040,37317,14741,22576,36909,-,-,-,-
"..Northern Mindanao","..Activities auxiliary to insurance and pension funding",20,129,129,-,78430,71555,32000,39555,43011,33,-741,-,-
"..Northern Mindanao","..Fund management activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Davao Region","Financial and Insurance Activities",1751,16583,16583,560,32927983,27983731,5997197,21986534,14180595,375566,18077,14285,-
"..Davao Region","..Monetary intermediation",371,4059,4059,284,14819994,12104760,3149658,8955103,7384458,290091,236,-,-
"..Davao Region","..Activities of holding companies",9,115,115,18,411465,297006,66530,230475,-21940,3223,-,-,-
"..Davao Region","..Trusts, funds and other financial vehicles",6,20,20,5,496972,423377,42332,381045,-146924,2785,-,-,-
"..Davao Region","..Other financial service activities, except insurance and pension funding activities",1114,11191,11191,182,11447170,9159071,2164655,6994416,5969355,65226,13883,14285,-
"..Davao Region","..Insurance",120,611,611,-,5500737,5631190,416470,5214720,920287,13741,28,-,-
"..Davao Region","..Reinsurance",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Davao Region","..Pension funding",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Davao Region","..Activities auxiliary to financial service,  except insurance and pension funding",83,220,220,16,158644,107237,34294,72943,94997,501,4223,-,-
"..Davao Region","..Activities auxiliary to insurance and pension funding",48,369,369,56,93001,261091,123258,137834,-19638,-,-293,-,-
"..Davao Region","..Fund management activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","Financial and Insurance Activities",1391,8721,8336,669,17547326,14167324,3090840,11076484,7903330,364226,66639,-,-
"..SOCCSKSARGEN","..Monetary intermediation",212,2900,2900,222,11230359,8512067,2110449,6401617,5990120,273440,42765,-,-
"..SOCCSKSARGEN","..Activities of holding companies",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Trusts, funds and other financial vehicles",s,s,s,s,s,s,s,s,s,s,s,s,s
"..SOCCSKSARGEN","..Other financial service activities, except insurance and pension funding activities",938,4827,4442,440,1601381,1407374,651848,755525,1095169,54344,23829,-,-
"..SOCCSKSARGEN","..Insurance",103,577,577,7,3096291,2806804,214234,2592570,535820,23075,18,-,-
"..SOCCSKSARGEN","..Reinsurance",s,s,s,s,s,s,s,s,s,s,s,s,s
"..SOCCSKSARGEN","..Pension funding",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Activities auxiliary to financial service,  except insurance and pension funding",97,242,242,-,126251,132801,45895,86906,75825,1345,-,-,-
"..SOCCSKSARGEN","..Activities auxiliary to insurance and pension funding",38,167,167,-,1391566,1220687,59886,1160801,235150,11464,17,-,-
"..SOCCSKSARGEN","..Fund management activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","Financial and Insurance Activities",961,7363,7336,647,6469500,5354253,1920114,3434138,4191743,618745,-7090,-,-
"..Caraga","..Monetary intermediation",168,2183,2183,384,1579489,1410264,729204,681060,1012587,21038,-1400,-,-
"..Caraga","..Activities of holding companies",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Caraga","..Trusts, funds and other financial vehicles",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Caraga","..Other financial service activities, except insurance and pension funding activities",678,4850,4832,262,3706889,2884063,1056865,1827199,2959233,593839,-5671,-,-
"..Caraga","..Insurance",42,110,110,1,763771,669793,69998,599795,149978,1474,-23,-,-
"..Caraga","..Reinsurance",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Caraga","..Pension funding",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Activities auxiliary to financial service,  except insurance and pension funding",57,142,142,-,82880,75646,32567,43078,5477,4401,-,-,-
"..Caraga","..Activities auxiliary to insurance and pension funding",13,46,46,-,324745,298448,25658,272790,59684,-2006,4,-,-
"..Caraga","..Fund management activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region and Muslim Mindanao","Financial and Insurance Activities",168,729,716,15,382905,260739,126119,134621,188014,90957,-3625,-,-
"..Autonomous Region and Muslim Mindanao","..Monetary intermediation",5,41,41,2,65783,58780,20613,38166,41753,18389,15,-,-
"..Autonomous Region and Muslim Mindanao","..Activities of holding companies",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region and Muslim Mindanao","..Trusts, funds and other financial vehicles",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region and Muslim Mindanao","..Other financial service activities, except insurance and pension funding activities",144,630,630,-,293631,180702,96644,84058,130743,72006,-3640,-,-
"..Autonomous Region and Muslim Mindanao","..Insurance",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region and Muslim Mindanao","..Reinsurance",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region and Muslim Mindanao","..Pension funding",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region and Muslim Mindanao","..Activities auxiliary to financial service,  except insurance and pension funding",19,58,45,13,23491,21258,8861,12396,15517,562,-,-,-
"..Autonomous Region and Muslim Mindanao","..Activities auxiliary to insurance and pension funding",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region and Muslim Mindanao","..Fund management activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
