,"Table 6. Share to Total Annual Family Income, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
123,Rentals Received,1.05,0.97,0.67,-0.08000000000000007,-0.3
124,Interest,0.05,0.1,0.03,0.05,-0.07
125,Pension,2.48,2.3,2.71,-0.18000000000000016,0.41
126,Dividends,0.2,0.01,0.31,-0.19,0.3
127,"Other Source of Income, NEC",0.02,0.13,0.04,0.11,-0.09
128,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.03,0.02,0.03,-0.009999999999999998,0.01
129,Net Receipt from Family Sustenance Activities,0.01,0.0,0.01,-0.01,0.01
130,Received as Gifts,1.19,1.54,0.89,0.3500000000000001,-0.65
131,Imputed Rent,11.1,12.76,10.28,1.6600000000000001,-2.48
132,,,,,,
133,NCR III,,,,,
134,City of Caloocan,,,,,
135,Share to Family Income,100,100.0,100,,
136,Wage/Salaries,61.99,65.71,66.38,3.7199999999999918,0.68
137,Entrepreneurial Activities,9.96,11.54,13.41,1.5799999999999983,1.87
138,Cash Receipts from Abroad,8.84,4.64,6.14,-4.2,1.5
139,Cash Receipts from Domestic Sources,6.38,4.34,2.26,-2.04,-2.08
140,Rentals Received,0.54,0.33,0.41,-0.21000000000000002,0.08
141,Interest,0,0.03,0.05,0.03,0.02
142,Pension,2.32,1.26,1.27,-1.0599999999999998,0.02
143,Dividends,0,0.02,0.11,0.02,0.09
144,"Other Source of Income, NEC",0.04,0.06,0.04,0.019999999999999997,-0.03
145,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.03,0.02,0,-0.009999999999999998,-0.02
146,Net Receipt from Family Sustenance Activities,0.01,0.02,0.01,0.01,-0.01
147,Received as Gifts,1.77,2.06,0.79,0.29000000000000004,-1.27
148,Imputed Rent,8.11,9.97,9.14,1.8600000000000012,-0.84
149,,,,,,
150,City of Malabon,,,,,
151,Share to Family Income,100,100.0,100,,
152,Wage/Salaries,59.11,62.17,69.75,3.0600000000000023,7.58
153,Entrepreneurial Activities,16.03,13.9,11.19,-2.130000000000001,-2.71
154,Cash Receipts from Abroad,9.43,4.12,4.97,-5.31,0.85
155,Cash Receipts from Domestic Sources,4.71,4.98,2.67,0.27000000000000046,-2.32
156,Rentals Received,0.27,0.37,0.22,0.09999999999999998,-0.15
157,Interest,0,0.07,0.07,0.07,0
158,Pension,1.17,1.69,1.23,0.52,-0.46
159,Dividends,0.01,0.01,0,0,-0.01
160,"Other Source of Income, NEC",0.06,0.09,0.04,0.03,-0.05
161,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.02,0.01,0.01,-0.01,-0.01
162,Net Receipt from Family Sustenance Activities,0,0.02,0.03,0.02,0.01
163,Received as Gifts,1.34,2.04,0.64,0.7,-1.39
164,Imputed Rent,7.83,10.53,9.19,2.6999999999999993,-1.34
165,,,,,,
166,City of Navotas,,,,,
167,Share to Family Income,100,100.0,100,,
168,Wage/Salaries,59.88,66.93,71.67,7.050000000000004,4.75
169,Entrepreneurial Activities,15.38,11.39,9.74,-3.99,-1.65
170,Cash Receipts from Abroad,8.4,3.57,3.63,-4.83,0.06
171,Cash Receipts from Domestic Sources,5.78,4.75,3.01,-1.0300000000000002,-1.74
172,Rentals Received,0.19,0.41,0.15,0.21999999999999997,-0.26
173,Interest,0.21,0.02,0.02,-0.19,0
174,Pension,0.71,1.01,0.61,0.30000000000000004,-0.41
175,Dividends,0.03,0.0,0,-0.03,0
176,"Other Source of Income, NEC",0.01,0.08,0.02,0.07,-0.06
177,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0,0.04,0.01,0.04,-0.03
178,Net Receipt from Family Sustenance Activities,0,0.02,0,0.02,-0.01
179,Received as Gifts,1.48,1.82,1.01,0.3400000000000001,-0.81
180,Imputed Rent,7.93,9.97,10.12,2.040000000000001,0.15
181,,,,,,
182,City of Valenzuela,,,,,
183,Share to Family Income,100,100.0,100,,
184,Wage/Salaries,62.72,65.53,72.07,2.8100000000000023,6.54
185,Entrepreneurial Activities,10.28,11.65,9.58,1.370000000000001,-2.07
186,Cash Receipts from Abroad,6.97,5.48,4.19,-1.4899999999999993,-1.29
187,Cash Receipts from Domestic Sources,6.27,4.56,2.44,-1.71,-2.11
188,Rentals Received,0.64,0.68,0.61,0.040000000000000036,-0.07
189,Interest,0.01,0.0,0.02,-0.01,0.02
190,Pension,2.27,1.6,1.66,-0.6699999999999999,0.07
191,Dividends,0.28,0.03,0.03,-0.25,0
192,"Other Source of Income, NEC",0.25,0.01,0.01,-0.24,0
193,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.01,0.06,0.01,0.049999999999999996,-0.05
194,Net Receipt from Family Sustenance Activities,0,0.01,0.01,0.01,0
195,Received as Gifts,1.59,1.06,0.78,-0.53,-0.28
196,Imputed Rent,8.72,9.32,8.58,0.5999999999999996,-0.75
197,,,,,,
198,NCR IV,,,,,
199,City of Las Piñas,,,,,
200,Share to Family Income,100,100.0,100,,
201,Wage/Salaries,62.12,62.83,69.69,0.7100000000000009,6.86
202,Entrepreneurial Activities,6.62,8.13,5.76,1.5100000000000007,-2.37
203,Cash Receipts from Abroad,9.26,6.14,6.35,-3.12,0.22
204,Cash Receipts from Domestic Sources,1.37,2.8,1.41,1.4299999999999997,-1.39
205,Rentals Received,0.51,0.68,0.44,0.17000000000000004,-0.24
206,Interest,0.11,0.09,0.04,-0.020000000000000004,-0.04
207,Pension,3.47,3.13,2.96,-0.3400000000000003,-0.18
208,Dividends,0.99,0.1,0.3,-0.89,0.2
209,"Other Source of Income, NEC",0.04,0.03,0.04,-0.010000000000000002,0.02
210,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0,0.01,0.04,0.01,0.04
211,Net Receipt from Family Sustenance Activities,0,0.01,0.02,0.01,0
212,Received as Gifts,1.02,1.34,0.9,0.32000000000000006,-0.44
213,Imputed Rent,14.48,14.73,12.05,0.25,-2.68
214,,,,,,
215,City of Muntinlupa,,,,,
216,Share to Family Income,100,100.0,100,,
217,Wage/Salaries,65.09,69.38,68.28,4.289999999999992,-1.1
218,Entrepreneurial Activities,10.19,7.97,7.37,-2.2199999999999998,-0.6
219,Cash Receipts from Abroad,6.63,4.56,8.53,-2.0700000000000003,3.97
220,Cash Receipts from Domestic Sources,2.29,2.68,3.01,0.3900000000000001,0.33
221,Rentals Received,0.56,0.78,0.88,0.21999999999999997,0.1
222,Interest,0,0.02,0.04,0.02,0.01
223,Pension,2.54,3.16,1.76,0.6200000000000001,-1.4
224,Dividends,0.88,0.41,0.25,-0.47000000000000003,-0.16
225,"Other Source of Income, NEC",0.04,0.14,0.08,0.1,-0.06
226,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.02,0.0,0.01,-0.02,0
227,Net Receipt from Family Sustenance Activities,0.02,0.01,0.04,-0.01,0.04
228,Received as Gifts,1.19,1.0,0.66,-0.18999999999999995,-0.34
229,Imputed Rent,10.55,9.89,9.09,-0.6600000000000001,-0.8
230,,,,,,
231,City of Parañaque,,,,,
232,Share to Family Income,100,100.0,100,,
233,Wage/Salaries,63.69,60.36,63.17,-3.3299999999999983,2.81
234,Entrepreneurial Activities,8.6,11.82,9.4,3.2200000000000006,-2.42
235,Cash Receipts from Abroad,6.78,4.17,6.87,-2.6100000000000003,2.7
236,Cash Receipts from Domestic Sources,1.75,3.4,2.4,1.65,-0.99
237,Rentals Received,0.85,1.35,1.45,0.5000000000000001,0.1
238,Interest,0,0.06,0.05,0.06,-0.01
239,Pension,2.86,3.07,2.06,0.20999999999999996,-1
240,Dividends,0.68,0.05,2.99,-0.63,2.94
241,"Other Source of Income, NEC",0.15,0.04,0.07,-0.10999999999999999,0.03
242,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.05,0.01,0,-0.04,-0.01
243,Net Receipt from Family Sustenance Activities,0.01,0.01,0.01,0,0
244,Received as Gifts,0.99,1.12,1.01,0.13000000000000012,-0.11
245,Imputed Rent,13.59,14.54,10.51,0.9499999999999993,-4.03
246,,,,,,
247,Pasay City,,,,,
248,Share to Family Income,100,100.0,100,,
249,Wage/Salaries,62.98,62.71,69.11,-0.269999999999996,6.4
250,Entrepreneurial Activities,10.78,11.06,10.75,0.28000000000000114,-0.3
251,Cash Receipts from Abroad,6.5,3.5,3.54,-3,0.03
252,Cash Receipts from Domestic Sources,2.58,5.02,4.56,2.4399999999999995,-0.46
253,Rentals Received,1.36,1.3,0.88,-0.06000000000000005,-0.42
254,Interest,0.02,0.04,0.01,0.02,-0.02
255,Pension,3.45,3.84,1.79,0.3899999999999997,-2.05
256,Dividends,0.25,0.0,0.07,-0.25,0.07
257,"Other Source of Income, NEC",0.57,0.05,0.03,-0.5199999999999999,-0.02
258,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.01,0.01,0.02,0,0.01
259,Net Receipt from Family Sustenance Activities,0,0.01,0,0.01,-0.01
260,Received as Gifts,1.14,1.57,0.62,0.43000000000000016,-0.95
261,Imputed Rent,10.37,10.9,8.62,0.5300000000000011,-2.28
262,,,,,,
263,City of Makati,,,,,
264,Share to Family Income,100,100.0,100,,
265,Wage/Salaries,55.67,58.76,60.22,3.0899999999999963,1.46
266,Entrepreneurial Activities,12.04,11.41,12.59,-0.629999999999999,1.18
267,Cash Receipts from Abroad,4.77,3.66,3.1,-1.1099999999999994,-0.56
268,Cash Receipts from Domestic Sources,1.3,1.83,0.85,0.53,-0.98
269,Rentals Received,3.06,1.65,1.32,-1.4100000000000001,-0.33
270,Interest,0.23,0.08,0.19,-0.15000000000000002,0.11
271,Pension,4.67,2.14,3.87,-2.53,1.72
272,Dividends,3.02,1.27,3.61,-1.75,2.33
273,"Other Source of Income, NEC",0.09,0.68,0.04,0.5900000000000001,-0.64
274,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.01,0.06,0.01,0.049999999999999996,-0.05
275,Net Receipt from Family Sustenance Activities,0,2.14,0,2.14,-2.14
276,Received as Gifts,1.18,1.03,0.74,-0.1499999999999999,-0.29
277,Imputed Rent,13.96,15.28,13.48,1.3199999999999985,-1.81
278,,,,,,
279,Pateros,,,,,
280,Share to Family Income,100,100.0,100,,
281,Wage/Salaries,64.64,63.87,65.16,-0.7700000000000031,1.28
282,Entrepreneurial Activities,12.74,14.37,14.08,1.629999999999999,-0.29
283,Cash Receipts from Abroad,5.08,3.2,5.08,-1.88,1.87
284,Cash Receipts from Domestic Sources,2.38,3.58,1.72,1.2000000000000002,-1.87
285,Rentals Received,0.67,0.19,0.31,-0.48000000000000004,0.12
286,Interest,0.18,0.02,0.03,-0.16,0.01
287,Pension,2.58,1.4,2.14,-1.1800000000000002,0.74
288,Dividends,0.13,0.0,0.04,-0.13,0.03
289,"Other Source of Income, NEC",0.03,0.08,0.24,0.05,0.16
290,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.19,0.01,0.01,-0.18,0
291,Net Receipt from Family Sustenance Activities,0,0.01,0,0.01,0
292,Received as Gifts,0.71,1.53,0.83,0.8200000000000001,-0.7
293,Imputed Rent,10.65,11.72,10.36,1.0700000000000003,-1.35
294,,,,,,
295,City of Taguig,,,,,
296,Share to Family Income,100,100.0,100,,
297,Wage/Salaries,65.59,65.77,65.96,0.1799999999999926,0.19
298,Entrepreneurial Activities,10.89,9.67,12.19,-1.2200000000000006,2.52
299,Cash Receipts from Abroad,5.16,3.72,4.71,-1.44,1
300,Cash Receipts from Domestic Sources,2.13,3.3,1.8,1.17,-1.51
301,Rentals Received,1.72,2.34,1.22,0.6199999999999999,-1.13
302,Interest,0.1,0.1,0.02,0,-0.08
303,Pension,2.8,1.8,2.82,-0.9999999999999998,1.03
304,Dividends,0.02,0.0,0.56,-0.02,0.56
305,"Other Source of Income, NEC",0.07,0.18,0,0.10999999999999999,-0.18
306,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0,0.01,0.14,0.01,0.14
307,Net Receipt from Family Sustenance Activities,0.01,0.01,0.01,0,0
308,Received as Gifts,0.93,1.22,0.84,0.2899999999999999,-0.38
309,Imputed Rent,10.58,11.89,9.72,1.3100000000000005,-2.17
310,,,,,,
311,CAR - CORDILLERA ADMINISTRATIVE REGION,,,,,
312,Share to Family Income,100,100.0,100,,
313,Wage/Salaries,43.11,48.24,51.4,5.130000000000003,3.16
314,Entrepreneurial Activities,26.34,19.32,19.3,-7.02,-0.02
315,Cash Receipts from Abroad,8.01,5.76,5.92,-2.25,0.15
316,Cash Receipts from Domestic Sources,4.37,4.18,3.82,-0.1900000000000004,-0.36
317,Rentals Received,0.58,1.05,1.38,0.4700000000000001,0.33
318,Interest,0.09,0.16,0.14,0.07,-0.02
319,Pension,3.09,3.47,3.38,0.38000000000000034,-0.09
320,Dividends,0.06,0.07,0.17,0.010000000000000009,0.09
321,"Other Source of Income, NEC",0.03,0.32,0.13,0.29000000000000004,-0.19
322,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.73,1.05,0.98,0.32000000000000006,-0.07
323,Net Receipt from Family Sustenance Activities,1.57,2.33,1.43,0.76,-0.91
324,Received as Gifts,2.95,3.62,2.48,0.6699999999999999,-1.14
325,Imputed Rent,9.07,10.42,9.48,1.3499999999999996,-0.94
326,,,,,,
327,Abra,,,,,
328,Share to Family Income,100,100.0,100,,
329,Wage/Salaries,43.89,42.74,49.29,-1.1499999999999986,6.55
330,Entrepreneurial Activities,19.3,16.71,15.38,-2.59,-1.34
331,Cash Receipts from Abroad,13.07,11.3,11.75,-1.7699999999999996,0.45
332,Cash Receipts from Domestic Sources,7.25,6.17,7.36,-1.08,1.18
333,Rentals Received,0.22,0.39,0.47,0.17,0.07
334,Interest,0.06,0.05,0.07,-0.009999999999999995,0.03
335,Pension,3.14,4.03,3.14,0.8900000000000001,-0.89
336,Dividends,0,0.08,0.05,0.08,-0.03
337,"Other Source of Income, NEC",0.02,0.1,0.15,0.08,0.06
338,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.93,1.38,0.68,0.44999999999999984,-0.71
339,Net Receipt from Family Sustenance Activities,3.28,3.43,2,0.15000000000000036,-1.43
340,Received as Gifts,2.45,4.07,2.15,1.62,-1.92
341,Imputed Rent,6.39,9.54,7.52,3.1499999999999995,-2.02
342,,,,,,
343,Benguet (Excluding City of Baguio),,,,,
344,Share to Family Income,100,100.0,100,,
345,Wage/Salaries,39.5,46.96,45.75,7.460000000000001,-1.21
346,Entrepreneurial Activities,30.33,24.97,24.11,-5.359999999999999,-0.86
347,Cash Receipts from Abroad,7.62,4.74,5.04,-2.88,0.3
348,Cash Receipts from Domestic Sources,4.04,3.6,2.86,-0.43999999999999995,-0.73
349,Rentals Received,0.58,0.84,1.28,0.26,0.43
350,Interest,0.03,0.06,0.02,0.03,-0.04
351,Pension,2.49,2.43,2.94,-0.06000000000000005,0.51
352,Dividends,0.05,0.1,0.17,0.05,0.06
353,"Other Source of Income, NEC",0.06,0.12,0.18,0.06,0.06
354,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.68,1.13,1.74,0.44999999999999984,0.61
355,Net Receipt from Family Sustenance Activities,1.2,1.0,0.39,-0.19999999999999996,-0.61
356,Received as Gifts,3.35,3.8,2.48,0.44999999999999973,-1.31
357,Imputed Rent,10.08,10.25,13.04,0.16999999999999993,2.79
358,,,,,,
359,City of Baguio,,,,,
360,Share to Family Income,100,100.0,100,,
361,Wage/Salaries,44.57,54.08,60.53,9.509999999999998,6.45
362,Entrepreneurial Activities,21.65,11.88,11.78,-9.769999999999998,-0.1
363,Cash Receipts from Abroad,9.4,6.61,6.45,-2.79,-0.16
364,Cash Receipts from Domestic Sources,3.22,2.43,1.84,-0.79,-0.59
365,Rentals Received,0.79,2.05,2.68,1.2599999999999998,0.63
366,Interest,0.05,0.01,0.03,-0.04,0.02
367,Pension,3.75,4.3,3.37,0.5499999999999998,-0.93
368,Dividends,0.11,0.08,0.26,-0.03,0.18
369,"Other Source of Income, NEC",0.02,0.7,0.17,0.6799999999999999,-0.53
370,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.41,0.15,0.11,-0.26,-0.03
371,Net Receipt from Family Sustenance Activities,0.1,0.09,0.06,-0.010000000000000009,-0.02
372,Received as Gifts,3.07,2.33,1.84,-0.7399999999999998,-0.5
373,Imputed Rent,12.87,15.29,10.86,2.42,-4.42
374,,,,,,
375,Ifugao,,,,,
376,Share to Family Income,100,100.0,100,,
377,Wage/Salaries,40.51,46.36,46.49,5.850000000000001,0.13
378,Entrepreneurial Activities,33.21,23.75,24.48,-9.46,0.73
379,Cash Receipts from Abroad,6.65,4.14,4.67,-2.5100000000000007,0.53
380,Cash Receipts from Domestic Sources,4.06,6.19,4.91,2.130000000000001,-1.28
381,Rentals Received,0.3,0.47,1,0.16999999999999998,0.53
382,Interest,0.06,0.12,0.11,0.06,0
383,Pension,1.98,2.35,3.58,0.3700000000000001,1.23
384,Dividends,0.09,0.03,0.11,-0.06,0.08
385,"Other Source of Income, NEC",0.04,0.07,0.08,0.030000000000000006,0.01
386,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.56,1.84,1.36,0.28,-0.48
387,Net Receipt from Family Sustenance Activities,3.35,4.2,3.82,0.8500000000000001,-0.39
388,Received as Gifts,3.28,3.5,3.14,0.2200000000000002,-0.36
389,Imputed Rent,4.9,6.99,6.24,2.09,-0.75
390,,,,,,
391,Kalinga,,,,,
392,Share to Family Income,100,100.0,100,,
393,Wage/Salaries,44.97,46.03,52.99,1.0600000000000023,6.96
394,Entrepreneurial Activities,31.15,18.69,18.17,-12.459999999999997,-0.53
395,Cash Receipts from Abroad,4.31,4.23,4.53,-0.07999999999999918,0.3
396,Cash Receipts from Domestic Sources,5.5,5.21,5.22,-0.29000000000000004,0
397,Rentals Received,0.54,0.7,0.47,0.15999999999999992,-0.23
398,Interest,0.28,0.97,0.85,0.69,-0.12
399,Pension,2.83,4.71,2.86,1.88,-1.85
400,Dividends,0.05,0.08,0.07,0.03,-0.02
401,"Other Source of Income, NEC",0.03,0.03,0.08,0,0.06
402,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.89,1.31,0.89,0.42000000000000004,-0.43
403,Net Receipt from Family Sustenance Activities,2.43,6.63,3.91,4.199999999999999,-2.73
404,Received as Gifts,1.63,4.06,2.98,2.4299999999999997,-1.08
405,Imputed Rent,5.38,7.34,7,1.96,-0.34
406,,,,,,
407,Mountain Province,,,,,
408,Share to Family Income,100,100.0,100,,
409,Wage/Salaries,47.29,48.04,51.22,0.75,3.18
410,Entrepreneurial Activities,24.27,21.37,24.43,-2.8999999999999986,3.06
411,Cash Receipts from Abroad,5.05,3.67,3.64,-1.38,-0.03
412,Cash Receipts from Domestic Sources,6.03,5.6,5.52,-0.4300000000000006,-0.09
413,Rentals Received,0.87,0.54,0.93,-0.32999999999999996,0.39
414,Interest,0.24,0.05,0.19,-0.19,0.14
415,Pension,4.97,4.05,3.39,-0.9199999999999999,-0.66
416,Dividends,0.02,0.03,0.28,0.009999999999999998,0.25
417,"Other Source of Income, NEC",0.06,0.89,0,0.8300000000000001,-0.89
418,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.58,0.96,0.95,0.38,0
419,Net Receipt from Family Sustenance Activities,2.28,3.95,1.62,1.6700000000000004,-2.33
420,Received as Gifts,3.62,5.08,3.09,1.46,-1.99
421,Imputed Rent,4.74,5.78,4.74,1.04,-1.04
422,,,,,,
423,Apayao,,,,,
424,Share to Family Income,100,100.0,100,,
425,Wage/Salaries,48.37,40.85,43.25,-7.519999999999996,2.41
426,Entrepreneurial Activities,26.74,28.07,26.18,1.3300000000000018,-1.89
