,"Table 7. Share to Total Family Expenditure, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
90,Special Family Occasion,1.02,0.93,1.34,-0.09,0.41
91,Other Expenditures,10.23,5.05,3.79,-5.19,-1.25
92,,,,,,
93,City of San Juan,,,,,
94,Share to Family Expenditure,100,100.0,100,,
95,Food and Non-Alcoholic Beverages,34.17,39.86,31.41,5.68,-8.44
96,    Food Consumed at Home,22.04,29.87,22.46,7.82,-7.4
97,    Food Regularly Consumed Outside the Home,12.13,9.99,8.95,-2.14,-1.04
98,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
99,Alcoholic Beverages and Tobacco,1.1,1.3,0.58,0.2,-0.72
100,Clothing and Footwear,2.19,1.14,1.96,-1.04,0.81
101,"Housing, Water, Electricity, Gas and Other Fuels",28.22,26.38,30.99,-1.84,4.61
102,Furnishings and Routine Household Maintenance,2.58,2.09,3.11,-0.49,1.02
103,Health,3.29,2.29,2.27,-1,-0.03
104,Transport,5.99,4.17,6.49,-1.82,2.32
105,Information and Communication,3.13,3.67,3.2,0.54,-0.48
106,"Recreation, Sport and Culture",0.78,0.57,0.86,-0.2,0.29
107,Education,3.53,1.93,2.72,-1.6,0.79
108,Hotels (Accommodation Services),0.03,0.01,0.09,-0.02,0.08
109,Insurance and Financial Services,0,3.51,3.33,3.51,-0.18
110,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.41,3.95,3.04,-1.45,-0.91
111,Durable Furniture and Equipment,1.3,2.44,1.35,1.14,-1.09
112,Special Family Occasion,1.24,1.41,1.59,0.18,0.18
113,Other Expenditures,7.05,5.26,7.02,-1.79,1.76
114,,,,,,
115,Quezon City,,,,,
116,Share to Family Expenditure,100,100.0,100,,
117,Food and Non-Alcoholic Beverages,36.65,38.88,39.81,2.23,0.93
118,    Food Consumed at Home,25,32.41,26.33,7.42,-6.09
119,    Food Regularly Consumed Outside the Home,11.65,6.47,13.49,-5.18,7.01
120,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
121,Alcoholic Beverages and Tobacco,1.58,1.32,1.57,-0.26,0.25
122,Clothing and Footwear,2,1.02,1.48,-0.98,0.46
123,"Housing, Water, Electricity, Gas and Other Fuels",24.33,30.31,25.79,5.98,-4.53
124,Furnishings and Routine Household Maintenance,2.54,2.38,2.89,-0.15,0.51
125,Health,2.31,3.09,3.51,0.78,0.42
126,Transport,8.04,5.85,7.15,-2.19,1.3
127,Information and Communication,2.76,4.22,3.77,1.47,-0.45
128,"Recreation, Sport and Culture",0.83,0.61,0.76,-0.22,0.15
129,Education,3.38,1.1,2.26,-2.28,1.15
130,Hotels (Accommodation Services),0.04,0.01,0.05,-0.03,0.04
131,Insurance and Financial Services,0,2.8,2.79,2.8,-0.01
132,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.8,3.53,3.38,-3.27,-0.16
133,Durable Furniture and Equipment,3.91,1.9,2.01,-2.01,0.11
134,Special Family Occasion,1.74,0.53,1.07,-1.21,0.54
135,Other Expenditures,3.09,2.43,1.71,-0.66,-0.72
136,,,,,,
137,City of Marikina,,,,,
138,Share to Family Expenditure,100,100.0,100,,
139,Food and Non-Alcoholic Beverages,35.85,35.2,35.44,-0.66,0.24
140,    Food Consumed at Home,24.08,28.69,24.53,4.61,-4.16
141,    Food Regularly Consumed Outside the Home,11.77,6.51,10.91,-5.27,4.4
142,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
143,Alcoholic Beverages and Tobacco,1.48,1.11,0.98,-0.37,-0.13
144,Clothing and Footwear,1.7,1.0,1.42,-0.7,0.42
145,"Housing, Water, Electricity, Gas and Other Fuels",25.02,31.23,28.14,6.2,-3.09
146,Furnishings and Routine Household Maintenance,2.28,2.33,2.97,0.05,0.64
147,Health,3.04,2.91,4.55,-0.13,1.63
148,Transport,7.92,5.57,7.43,-2.35,1.86
149,Information and Communication,3.04,4.36,3.79,1.32,-0.57
150,"Recreation, Sport and Culture",0.76,0.41,0.88,-0.35,0.47
151,Education,3.9,1.7,2.52,-2.2,0.82
152,Hotels (Accommodation Services),0.02,0.0,0.04,-0.02,0.04
153,Insurance and Financial Services,0,4.18,3.24,4.18,-0.94
154,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.79,3.52,3.44,-3.27,-0.08
155,Durable Furniture and Equipment,2.71,3.64,1.45,0.93,-2.19
156,Special Family Occasion,1.31,1.03,1.37,-0.28,0.33
157,Other Expenditures,4.16,1.8,2.34,-2.36,0.54
158,,,,,,
159,City of Pasig,,,,,
160,Share to Family Expenditure,100,100.0,100,,
161,Food and Non-Alcoholic Beverages,38.76,35.4,32,-3.36,-3.4
162,    Food Consumed at Home,27.07,31.62,25.2,4.55,-6.42
163,    Food Regularly Consumed Outside the Home,11.7,3.78,6.79,-7.92,3.01
164,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0.01,0,0
165,Alcoholic Beverages and Tobacco,1.51,1.17,1.17,-0.34,0
166,Clothing and Footwear,2.7,0.87,1.68,-1.83,0.81
167,"Housing, Water, Electricity, Gas and Other Fuels",24.69,34.27,30.18,9.59,-4.09
168,Furnishings and Routine Household Maintenance,2.14,1.65,2.5,-0.49,0.84
169,Health,2.1,2.37,3.5,0.27,1.13
170,Transport,5.96,4.74,6.56,-1.21,1.82
171,Information and Communication,2.94,4.61,4.13,1.68,-0.48
172,"Recreation, Sport and Culture",0.85,0.29,1.23,-0.56,0.94
173,Education,3.03,1.89,3.1,-1.14,1.21
174,Hotels (Accommodation Services),0.03,0.0,0.01,-0.02,0.01
175,Insurance and Financial Services,0,3.75,4.19,3.75,0.44
176,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.67,3.46,3.19,-3.21,-0.27
177,Durable Furniture and Equipment,2.78,2.37,1.2,-0.41,-1.17
178,Special Family Occasion,2.55,0.82,1.43,-1.73,0.61
179,Other Expenditures,3.3,2.32,3.93,-0.97,1.6
180,,,,,,
181,NCR III,,,,,
182,City of Caloocan,,,,,
183,Share to Family Expenditure,100,100.0,100,,
184,Food and Non-Alcoholic Beverages,44.52,44.88,40.92,0.36,-3.96
185,    Food Consumed at Home,31.75,37.48,32.75,5.73,-4.72
186,    Food Regularly Consumed Outside the Home,12.77,7.38,8.17,-5.39,0.79
187,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.03,0,0.03,-0.03
188,Alcoholic Beverages and Tobacco,1.96,1.67,0.93,-0.29,-0.75
189,Clothing and Footwear,1.77,1.09,1.62,-0.68,0.53
190,"Housing, Water, Electricity, Gas and Other Fuels",22.23,27.19,25.79,4.95,-1.4
191,Furnishings and Routine Household Maintenance,1.78,1.2,2.34,-0.58,1.14
192,Health,1.81,1.95,2.19,0.15,0.24
193,Transport,7.33,4.71,6.66,-2.62,1.95
194,Information and Communication,2.49,4.23,4.26,1.75,0.03
195,"Recreation, Sport and Culture",0.52,0.29,0.81,-0.23,0.52
196,Education,2.23,1.15,1.8,-1.08,0.65
197,Hotels (Accommodation Services),0.04,0.12,0.02,0.08,-0.1
198,Insurance and Financial Services,0,2.48,2.52,2.48,0.03
199,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.95,4.2,3.89,-2.75,-0.31
200,Durable Furniture and Equipment,2.08,2.02,1.65,-0.05,-0.37
201,Special Family Occasion,2.55,1.51,1.87,-1.04,0.36
202,Other Expenditures,1.76,1.31,2.74,-0.45,1.42
203,,,,,,
204,City of Malabon,,,,,
205,Share to Family Expenditure,100,100.0,100,,
206,Food and Non-Alcoholic Beverages,47,41.41,43.91,-5.59,2.51
207,    Food Consumed at Home,33.69,34.98,37.23,1.28,2.26
208,    Food Regularly Consumed Outside the Home,13.31,6.43,6.67,-6.88,0.24
209,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0.01,0,0.01
210,Alcoholic Beverages and Tobacco,2,1.51,1.04,-0.49,-0.47
211,Clothing and Footwear,1.36,1.04,1.61,-0.33,0.57
212,"Housing, Water, Electricity, Gas and Other Fuels",22.87,29.56,26.35,6.7,-3.21
213,Furnishings and Routine Household Maintenance,1.7,1.34,2.5,-0.36,1.17
214,Health,1.8,3.17,1.76,1.37,-1.41
215,Transport,6.21,4.4,5.25,-1.8,0.85
216,Information and Communication,2.24,4.13,4.05,1.89,-0.08
217,"Recreation, Sport and Culture",0.43,0.27,0.57,-0.16,0.3
218,Education,2.05,1.06,2.56,-0.99,1.5
219,Hotels (Accommodation Services),0.03,0.08,0,0.05,-0.07
220,Insurance and Financial Services,0,3.0,2.11,3,-0.89
221,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.77,4.3,3.39,-2.47,-0.91
222,Durable Furniture and Equipment,2.04,1.83,1.39,-0.21,-0.44
223,Special Family Occasion,1.93,1.85,1.31,-0.08,-0.54
224,Other Expenditures,1.58,1.08,2.2,-0.5,1.12
225,,,,,,
226,City of Navotas,,,,,
227,Share to Family Expenditure,100,100.0,100,,
228,Food and Non-Alcoholic Beverages,47.88,44.39,43.71,-3.49,-0.68
229,    Food Consumed at Home,36.27,37.68,36.52,1.41,-1.16
230,    Food Regularly Consumed Outside the Home,11.61,6.71,7.19,-4.9,0.47
231,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
232,Alcoholic Beverages and Tobacco,2.07,1.88,1.27,-0.19,-0.61
233,Clothing and Footwear,2.13,1.23,2.08,-0.9,0.85
234,"Housing, Water, Electricity, Gas and Other Fuels",22.93,28.97,26.74,6.03,-2.23
235,Furnishings and Routine Household Maintenance,1.98,1.7,2.75,-0.28,1.05
236,Health,1.7,2.2,1.9,0.5,-0.3
237,Transport,5.41,3.92,4.61,-1.49,0.69
238,Information and Communication,2.36,4.21,4.02,1.85,-0.19
239,"Recreation, Sport and Culture",0.41,0.22,0.65,-0.19,0.42
240,Education,1.65,0.9,1.14,-0.76,0.25
241,Hotels (Accommodation Services),0.04,0.0,0.01,-0.04,0.01
242,Insurance and Financial Services,0,2.26,1.87,2.26,-0.39
243,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.66,4.5,3.89,-2.16,-0.61
244,Durable Furniture and Equipment,1.85,1.77,1.78,-0.08,0.01
245,Special Family Occasion,1.74,0.99,1.55,-0.74,0.55
246,Other Expenditures,1.17,0.85,2.03,-0.33,1.18
247,,,,,,
248,City of Valenzuela,,,,,
249,Share to Family Expenditure,100,100.0,100,,
250,Food and Non-Alcoholic Beverages,44.07,41.59,38.26,-2.48,-3.34
251,    Food Consumed at Home,32.28,31.15,30.32,-1.12,-0.83
252,    Food Regularly Consumed Outside the Home,11.79,10.43,7.93,-1.36,-2.5
253,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,0
254,Alcoholic Beverages and Tobacco,1.51,1.2,1.04,-0.31,-0.16
255,Clothing and Footwear,1.92,0.79,1.53,-1.13,0.75
256,"Housing, Water, Electricity, Gas and Other Fuels",23.8,28.81,27.07,5.01,-1.74
257,Furnishings and Routine Household Maintenance,1.75,1.45,2.53,-0.3,1.08
258,Health,2.31,2.12,3.04,-0.19,0.92
259,Transport,6.38,4.76,6.49,-1.62,1.73
260,Information and Communication,2.44,4.36,4.09,1.92,-0.27
261,"Recreation, Sport and Culture",0.45,0.27,0.57,-0.18,0.3
262,Education,2.76,1.53,2.04,-1.23,0.51
263,Hotels (Accommodation Services),0.01,0.05,0.03,0.04,-0.02
264,Insurance and Financial Services,0,3.5,3.36,3.5,-0.14
265,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.37,3.88,3.82,-3.48,-0.07
266,Durable Furniture and Equipment,2.12,2.49,1.71,0.37,-0.78
267,Special Family Occasion,1.96,1.04,1.48,-0.92,0.44
268,Other Expenditures,1.16,2.16,2.94,1,0.78
269,,,,,,
270,NCR IV,,,,,
271,City of Las Piñas,,,,,
272,Share to Family Expenditure,100,100.0,100,,
273,Food and Non-Alcoholic Beverages,34.4,34.78,33.23,0.38,-1.55
274,    Food Consumed at Home,24.99,31.12,28.36,6.13,-2.77
275,    Food Regularly Consumed Outside the Home,9.41,3.64,4.86,-5.77,1.22
276,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
277,Alcoholic Beverages and Tobacco,1.34,1.02,0.56,-0.32,-0.46
278,Clothing and Footwear,1.99,0.93,1.61,-1.06,0.68
279,"Housing, Water, Electricity, Gas and Other Fuels",29.19,36.03,34.09,6.84,-1.94
280,Furnishings and Routine Household Maintenance,2.12,1.9,2.87,-0.22,0.97
281,Health,1.79,2.0,2.29,0.21,0.29
282,Transport,7.5,5.3,7.2,-2.19,1.9
283,Information and Communication,3.13,4.45,4.29,1.32,-0.16
284,"Recreation, Sport and Culture",0.51,0.3,0.78,-0.22,0.48
285,Education,2.59,2.0,3.07,-0.59,1.07
286,Hotels (Accommodation Services),0.01,0.03,0.04,0.01,0.01
287,Insurance and Financial Services,0,3.57,2.71,3.57,-0.87
288,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.94,3.57,3.13,-3.37,-0.43
289,Durable Furniture and Equipment,2.59,1.67,1.51,-0.92,-0.16
290,Special Family Occasion,1.3,1.01,1.41,-0.29,0.4
291,Other Expenditures,4.59,1.45,1.22,-3.14,-0.23
292,,,,,,
293,City of Muntinlupa,,,,,
294,Share to Family Expenditure,100,100.0,100,,
295,Food and Non-Alcoholic Beverages,35.34,44.54,42.11,9.2,-2.43
296,    Food Consumed at Home,26.34,37.28,34.57,10.94,-2.71
297,    Food Regularly Consumed Outside the Home,9,7.25,7.53,-1.75,0.28
298,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,-0.01
299,Alcoholic Beverages and Tobacco,1.88,1.45,1.21,-0.43,-0.24
300,Clothing and Footwear,2.35,0.96,1.94,-1.39,0.98
301,"Housing, Water, Electricity, Gas and Other Fuels",24.99,25.77,24.94,0.79,-0.83
302,Furnishings and Routine Household Maintenance,3,1.69,2.38,-1.31,0.69
303,Health,3.23,2.38,2.51,-0.85,0.13
304,Transport,7.12,8.16,6.83,1.04,-1.33
305,Information and Communication,2.82,3.86,3.73,1.04,-0.13
306,"Recreation, Sport and Culture",0.7,0.26,0.75,-0.45,0.49
307,Education,2.79,1.01,1.16,-1.77,0.14
308,Hotels (Accommodation Services),0.02,0.0,0.04,-0.01,0.03
309,Insurance and Financial Services,0,3.04,2.77,3.04,-0.27
310,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.37,4.06,3.58,-3.31,-0.48
311,Durable Furniture and Equipment,2.78,0.84,1.58,-1.94,0.75
312,Special Family Occasion,2.09,0.96,1.55,-1.12,0.59
313,Other Expenditures,3.53,1.0,2.93,-2.53,1.93
314,,,,,,
315,City of Parañaque,,,,,
316,Share to Family Expenditure,100,100.0,100,,
317,Food and Non-Alcoholic Beverages,30.4,35.6,34.37,5.21,-1.23
318,    Food Consumed at Home,22.67,31.13,28.07,8.46,-3.06
319,    Food Regularly Consumed Outside the Home,7.73,4.47,6.3,-3.26,1.83
320,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
321,Alcoholic Beverages and Tobacco,1.44,1.33,1.03,-0.11,-0.3
322,Clothing and Footwear,2.17,1.06,1.64,-1.1,0.58
323,"Housing, Water, Electricity, Gas and Other Fuels",29.36,33.89,29.86,4.53,-4.03
324,Furnishings and Routine Household Maintenance,3.44,2.7,4.15,-0.74,1.44
325,Health,1.75,2.9,2.53,1.15,-0.37
326,Transport,7.47,5.1,6.96,-2.37,1.86
327,Information and Communication,3.13,3.81,4.05,0.68,0.24
328,"Recreation, Sport and Culture",0.56,0.36,0.86,-0.2,0.5
329,Education,2.96,2.2,3.56,-0.76,1.36
330,Hotels (Accommodation Services),0.02,0.01,0.02,-0.01,0.01
331,Insurance and Financial Services,0,3.03,3.22,3.03,0.2
332,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.16,3.43,3.34,-3.73,-0.08
333,Durable Furniture and Equipment,2.75,1.03,1.61,-1.72,0.59
334,Special Family Occasion,1.3,1.26,1.19,-0.04,-0.07
335,Other Expenditures,6.1,2.29,1.59,-3.81,-0.7
336,,,,,,
337,Pasay City,,,,,
338,Share to Family Expenditure,100,100.0,100,,
339,Food and Non-Alcoholic Beverages,30.94,38.09,38.76,7.15,0.67
340,    Food Consumed at Home,22.9,32.68,25.22,9.78,-7.46
341,    Food Regularly Consumed Outside the Home,8.04,5.39,13.54,-2.65,8.15
342,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.02,0,0.02,-0.02
343,Alcoholic Beverages and Tobacco,1.64,1.55,1.07,-0.09,-0.48
344,Clothing and Footwear,2.45,1.1,1.75,-1.34,0.64
345,"Housing, Water, Electricity, Gas and Other Fuels",30.78,33.94,31.27,3.16,-2.67
346,Furnishings and Routine Household Maintenance,1.71,1.4,1.76,-0.31,0.36
347,Health,2.94,2.78,2.2,-0.16,-0.58
348,Transport,5.53,4.2,5.33,-1.32,1.12
349,Information and Communication,3.32,4.36,4.07,1.04,-0.29
350,"Recreation, Sport and Culture",0.56,0.31,0.53,-0.26,0.22
351,Education,2.71,1.34,2.36,-1.36,1.02
352,Hotels (Accommodation Services),0.01,0.01,0.04,0,0.03
353,Insurance and Financial Services,0,3.18,3.21,3.18,0.04
354,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.99,3.95,3.16,-4.04,-0.78
355,Durable Furniture and Equipment,2.46,1.25,0.93,-1.21,-0.31
356,Special Family Occasion,1.87,1.21,0.72,-0.66,-0.49
357,Other Expenditures,5.1,1.33,2.83,-3.77,1.5
358,,,,,,
359,City of Makati,,,,,
360,Share to Family Expenditure,100,100.0,100,,
361,Food and Non-Alcoholic Beverages,31.14,29.47,25.83,-1.67,-3.63
362,    Food Consumed at Home,19.25,22.7,18.88,3.45,-3.81
363,    Food Regularly Consumed Outside the Home,11.89,6.77,6.94,-5.12,0.17
364,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0.01,0,0.01
365,Alcoholic Beverages and Tobacco,1.02,0.65,0.71,-0.37,0.06
366,Clothing and Footwear,2.5,1.21,1.71,-1.29,0.51
367,"Housing, Water, Electricity, Gas and Other Fuels",33.32,40.91,41.59,7.59,0.68
368,Furnishings and Routine Household Maintenance,2.98,2.77,2.6,-0.22,-0.16
369,Health,1.92,1.85,2.58,-0.07,0.73
370,Transport,5.55,4.08,4.89,-1.47,0.8
371,Information and Communication,2.99,4.41,3.66,1.43,-0.75
372,"Recreation, Sport and Culture",0.89,0.33,1.21,-0.57,0.88
373,Education,2.15,1.33,2.2,-0.81,0.86
374,Hotels (Accommodation Services),0.04,0.02,0.01,-0.02,0
375,Insurance and Financial Services,0,4.46,4.35,4.46,-0.11
376,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.49,3.22,2.76,-3.27,-0.46
377,Durable Furniture and Equipment,2.48,1.91,0.51,-0.58,-1.4
378,Special Family Occasion,2.06,1.25,0.65,-0.82,-0.6
379,Other Expenditures,4.47,2.14,4.74,-2.33,2.6
380,,,,,,
381,Pateros,,,,,
382,Share to Family Expenditure,100,100.0,100,,
383,Food and Non-Alcoholic Beverages,39.54,38.16,37.05,-1.39,-1.11
384,    Food Consumed at Home,25.95,33.8,29.18,7.85,-4.63
385,    Food Regularly Consumed Outside the Home,13.59,4.35,7.87,-9.24,3.52
386,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
387,Alcoholic Beverages and Tobacco,1.86,1.14,1.02,-0.72,-0.12
388,Clothing and Footwear,2.09,0.93,1.45,-1.15,0.51
389,"Housing, Water, Electricity, Gas and Other Fuels",24.8,32.86,31.02,8.06,-1.85
390,Furnishings and Routine Household Maintenance,1.39,1.38,2.38,0,1
391,Health,1.55,2.55,2.92,1,0.37
392,Transport,5.51,3.63,6.43,-1.89,2.8
393,Information and Communication,2.65,4.45,4.27,1.8,-0.18
394,"Recreation, Sport and Culture",0.55,0.17,0.5,-0.37,0.33
395,Education,2.75,1.34,2.63,-1.41,1.29
396,Hotels (Accommodation Services),0.02,0.07,0.02,0.04,-0.05
397,Insurance and Financial Services,0,3.71,3.23,3.71,-0.48
398,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.93,3.41,3.34,-3.52,-0.08
399,Durable Furniture and Equipment,4.96,4.4,0.82,-0.57,-3.58
400,Special Family Occasion,2.26,1.02,1.44,-1.24,0.42
401,Other Expenditures,3.14,0.79,1.49,-2.35,0.71
402,,,,,,
403,City of Taguig,,,,,
404,Share to Family Expenditure,100,100.0,100,,
405,Food and Non-Alcoholic Beverages,41.65,40.42,36.12,-1.23,-4.29
406,    Food Consumed at Home,28.33,36.85,28.45,8.51,-8.39
407,    Food Regularly Consumed Outside the Home,13.32,3.57,7.67,-9.75,4.1
408,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
409,Alcoholic Beverages and Tobacco,1.49,1.26,1.1,-0.22,-0.17
410,Clothing and Footwear,2.43,0.75,1.76,-1.67,1
411,"Housing, Water, Electricity, Gas and Other Fuels",23.35,33.51,29.49,10.16,-4.01
412,Furnishings and Routine Household Maintenance,1.54,1.19,2.61,-0.35,1.42
413,Health,1.82,2.05,2.81,0.23,0.76
414,Transport,5.53,3.87,6.45,-1.66,2.57
415,Information and Communication,2.68,4.37,3.89,1.69,-0.48
416,"Recreation, Sport and Culture",0.52,0.16,1.11,-0.36,0.95
417,Education,1.9,0.88,2.69,-1.02,1.81
