,"Table 3. Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
10,City of Mandaluyong,77146.17,2706.97,3517.13,3899.12,4683.56,4765.88,5746.47,6346.94,7644.74,10370.08,27465.28,62352.7,3956.37,4231.84,4447.2,5169.04,5413.22,5908.25,6108.5,7377.02,7770.84,11970.43,93875.35,4743.61,5620.73,6660.45,6622.14,7441.95,8095.61,9119.63,11302.84,12524.95,21743.44,-19.18,46.15,20.32,14.06,10.37,13.58,2.82,-3.76,-3.5,-25.06,-56.42,50.56,19.9,32.82,49.77,28.11,37.48,37.02,49.29,53.22,61.18,81.64
11,City of San Juan,17024.55,667.05,902.46,968.66,1100.89,1314.67,1406.52,1623.23,1623.09,2051.87,5366.1,15840.53,869.95,924.42,1228.94,1177.94,1465.38,1263.61,1698.37,1634.49,2058.52,3518.9,24320.15,927.18,1427.25,1480.95,1511.59,1722.84,2020.34,2265.23,1851.47,4226.9,6886.4,-6.95,30.42,2.43,26.87,7,11.46,-10.16,4.63,0.7,0.32,-34.42,53.53,6.58,54.39,20.51,28.32,17.57,59.89,33.38,13.27,105.34,95.7
12,Quezon City,340450.04,16200.91,19913.52,20545.99,23706.56,26909.54,30034.67,35953.16,39623.6,50215.87,77346.23,315867.49,17265.27,19203.69,22399.5,23882.82,27449.09,27241.02,31191.57,35536.29,39199.81,72498.44,359208.8,20501.01,25201.84,24932.28,29128.12,30704.25,31496.79,36983.61,41553.4,44645.26,74062.25,-7.22,6.57,-3.56,9.02,0.74,2.01,-9.3,-13.24,-10.32,-21.94,-6.27,13.72,18.74,31.23,11.31,21.96,11.86,15.62,18.57,16.93,13.89,2.16
13,City of Marikina,48538.67,2172.53,2525.15,3024.7,3523.89,3958.4,4241.79,4941.79,5974.21,6844.62,11331.59,51462.72,2408.44,2985.1,3725.41,4062.73,3960.24,4452.57,5140.25,6136.91,6930.35,11660.71,60399.48,3086.86,3654.14,3832.83,4551.19,5102.32,5477.41,6405.09,6708.86,8202.01,13378.77,6.02,10.86,18.21,23.17,15.29,0.05,4.97,4.02,2.72,1.25,2.9,17.37,28.17,22.41,2.88,12.02,28.84,23.02,24.61,9.32,18.35,14.73
14,City of Pasig,88774.66,4054.37,5193.79,6331.4,6688.45,7737.43,8222.33,9023.06,10888.25,11771.78,18863.82,91036.89,4587.14,5527.01,6336.98,7181.14,8036.58,8477,9076.68,11063.25,11258.18,19492.94,130765.02,5727.71,7108.99,8616.31,9190.88,11088.94,12045.15,13856.16,13573.81,16769.11,32787.96,2.55,13.14,6.42,0.09,7.37,3.87,3.1,0.59,1.61,-4.36,3.34,43.64,24.86,28.62,35.97,27.99,37.98,42.09,52.66,22.69,48.95,68.2
15,NCR III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,City of Caloocan,141351.28,6913.78,8804.2,9527.75,11662,12364.79,13480.48,14232.14,16910.58,19393.07,28062.5,129885.82,7449.83,8654.86,9641.16,10626.57,11525.44,12638.44,13693.4,15020.12,17998.65,22637.36,154161.91,9714.43,11273.81,11602.38,13567.6,14658.11,15307.98,17141.94,18023.03,19089.52,23783.1,-8.11,7.75,-1.7,1.19,-8.88,-6.79,-6.25,-3.79,-11.18,-7.19,-19.33,18.69,30.4,30.26,20.34,27.68,27.18,21.12,25.18,19.99,6.06,5.06
17,City of Malabon,31750.68,1866.51,2298.05,2408.53,2682.49,2647.08,2968.51,3298.03,3918.36,4178.4,5484.72,31403.2,1850.47,2159.84,2299.82,2528.62,2816.92,3258.91,3351.83,3674.22,3785.65,5676.91,34270.92,2104.7,2358.35,2660.35,2895.43,2970.05,3583.68,3716.05,3632.12,4682.16,5668.04,-1.09,-0.86,-6.01,-4.51,-5.74,6.42,9.78,1.63,-6.23,-9.4,3.5,9.13,13.74,9.19,15.68,14.51,5.44,9.97,10.87,-1.15,23.68,-0.16
18,City of Navotas,21905.68,1138.95,1314.04,1574.04,1731.19,1923.65,2097.62,2416.39,2393.69,2598.63,4717.48,20510.06,1336.5,1532.7,1649.29,1774.5,1806.73,2075.61,2167.24,2309.39,2493.03,3365.07,21291.41,1456.07,1594.94,1902.55,1825.99,1963.39,2140.99,2217.79,2340.4,2761.59,3087.7,-6.37,17.34,16.64,4.78,2.5,-6.08,-1.05,-10.31,-3.52,-4.06,-28.67,3.81,8.95,4.06,15.36,2.9,8.67,3.15,2.33,1.34,10.77,-8.24
19,City of Valenzuela,60113.79,3463.15,4296.1,4310.59,5109.59,5256.32,6258.84,6012.56,6724.42,7517.83,11164.38,62704.85,3450.18,4106.42,4563.09,5289.66,5260.84,5728.56,6971.48,7374.7,9328.28,10631.65,69892.16,4429.33,4856.89,5187.11,5997.13,6898.67,7275.01,7464.16,8269.32,8139.7,11374.83,4.31,-0.37,-4.42,5.86,3.52,0.09,-8.47,15.95,9.67,24.08,-4.77,11.46,28.38,18.28,13.68,13.37,31.13,27,7.07,12.13,-12.74,6.99
20,NCR IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,City of Las Piñas,77305.75,3428.67,4412.58,5303.65,5771.18,6461.74,7059.95,8437.25,8712.04,12413.93,15304.76,65582.27,3336.31,3976.73,4622.11,5025.24,5623.53,6565.61,6798.1,7748.51,8774.5,13111.64,96816.95,4905.24,5972.29,6668.52,7403.72,9040.78,9110.02,9793.41,11876.12,14072.9,17973.95,-15.17,-2.69,-9.88,-12.85,-12.93,-12.97,-7,-19.43,-11.06,-29.32,-14.33,47.63,47.03,50.18,44.27,47.33,60.77,38.75,44.06,53.27,60.38,37.08
22,City of Muntinlupa,64274.79,3094.77,3721.81,4188.18,4411.52,5038.91,5278.37,6383.3,6691.37,8691.8,16774.77,60390.76,3222.96,3875.35,4363.52,4461.54,5302.92,5836.26,6395.2,7899.76,8094.04,10939.21,80328.59,5055.53,5737.72,6193.05,6818.25,6806.8,8057.82,8179.7,8543.02,10218.37,14718.31,-6.04,4.14,4.13,4.19,1.13,5.24,10.57,0.19,18.06,-6.88,-34.79,33.01,56.86,48.06,41.93,52.82,28.36,38.06,27.9,8.14,26.25,34.55
23,City of Parañaque,93913.75,4137.54,5361.83,6406.64,6762.74,8068.85,8061.08,9618.36,10781.51,14856.41,19858.8,93220.34,4193.32,5262.76,6056.41,6152.67,7314.07,7372.59,9172.76,10429.75,12911.46,24354.55,114375.68,5989.89,7156.42,7495.51,9020.57,9714.27,9982.91,11765.98,12005.04,14393.33,26851.75,-0.74,1.35,-1.85,-5.47,-9.02,-9.35,-8.54,-4.63,-3.26,-13.09,22.64,22.69,42.84,35.98,23.76,46.61,32.82,35.41,28.27,15.1,11.48,10.25
24,Pasay City,49277.21,2444.21,3082.72,3527.71,4263.91,4662.4,4426.24,5524.07,6178.42,7014.22,8153.32,46705.45,2364.5,2842.66,3390,3737.06,4298.11,4483.05,5070.6,5922.81,6076.2,8520.46,58005.62,3517.44,4001.78,4292.48,4931.53,5563.65,6010.8,6272.59,6863.36,6914.58,9637.41,-5.22,-3.26,-7.79,-3.9,-12.36,-7.81,1.28,-8.21,-4.14,-13.37,4.5,24.19,48.76,40.78,26.62,31.96,29.44,34.08,23.7,15.88,13.8,13.11
25,City of Makati,112920.17,4657.52,6228.52,7312.5,8010.09,8592.26,8843.93,11013.34,12882.17,14364.95,31014.89,111574.69,4661.32,6335.13,7207.62,8581.83,7857.56,10612.38,10311.39,10838.87,12648.23,32520.35,164347.09,6053.1,7776.69,9866.18,10633.73,11484.72,12767.96,14146.57,15649.22,18259.65,57709.27,-1.19,0.08,1.71,-1.43,7.14,-8.55,20,-6.37,-15.86,-11.95,4.85,47.3,29.86,22.76,36.89,23.91,46.16,20.31,37.19,44.38,44.37,77.46
26,Pateros,6132.02,279.47,347.03,442.95,528.02,585.76,569.51,643.79,769.43,799.69,1166.37,5094.35,275.72,378.41,369.94,436.16,484.67,507.65,601.87,621.12,628.52,790.28,7135.91,346.14,445.65,485.88,593.5,652.19,714.14,726.48,847.15,1004.92,1319.84,-16.92,-1.34,9.04,-16.48,-17.4,-17.26,-10.86,-6.51,-19.28,-21.4,-32.24,40.07,25.54,17.77,31.34,36.07,34.56,40.68,20.7,36.39,59.89,67.01
27,City of Taguig,99716.19,5017.77,6478.48,7514.66,7850.06,8255.89,9784.64,11108.71,12214.75,12492.74,18998.48,99626.64,5348.52,6852.11,7221.94,8291.47,8354.49,9219.16,10476.48,11279.65,13546.87,19035.96,150373.59,6801.57,8700.42,10205.81,11041.54,11741.16,14197.15,14585.42,17123.33,18880.56,37096.64,-0.09,6.59,5.77,-3.9,5.62,1.19,-5.78,-5.69,-7.66,8.44,0.2,50.94,27.17,26.97,41.32,33.17,40.54,54,39.22,51.81,39.37,94.88
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CAR - CORDILLERA ADMINISTRATIVE REGION,149519.27,5049.78,6673.04,7894.88,8721.7,9950.63,12018.73,14531.63,17329.16,23351.73,43998,156804.61,6263.21,8041.11,9224.73,10274.89,11470.47,13059.27,14690.95,17590.63,22834.9,43354.44,166577.62,8179.28,10005.11,11317.53,12382.03,13233.02,15674,17556.35,20237.36,22973.95,35018.98,4.87,24.03,20.5,16.84,17.81,15.27,8.66,1.1,1.51,-2.21,-1.46,6.23,30.59,24.42,22.69,20.51,15.37,20.02,19.5,15.05,0.61,-19.23
30,Abra,13265.51,519.91,694.08,765.56,851.9,1064.84,1104.61,1195.11,1541.38,1934.13,3593.99,15355.87,694.62,843.86,907.82,1090.33,1119.67,1236.98,1347.06,1572.45,2141.94,4401.14,16345.74,836.56,1089.59,1135.91,1290.07,1365.17,1379.56,1577.71,1742.1,2142.13,3786.94,15.76,33.6,21.58,18.58,27.99,5.15,11.98,12.71,2.02,10.74,22.46,6.45,20.43,29.12,25.12,18.32,21.93,11.53,17.12,10.79,0.01,-13.96
31,Benguet (Excluding City of Baguio),41457.73,1423.52,1996.75,2317.04,2605.09,3094.73,3412,3895.42,4611.99,6032.35,12068.84,41403.86,1677.34,2188.64,2576.9,2952.5,3041.63,3554.32,4027.76,4634.49,5743.21,11007.08,46118.3,2281.58,2963.05,3419.54,3649.95,4009.02,4611.68,5133.4,5456.58,6069.14,8524.36,-0.13,17.83,9.61,11.22,13.34,-1.72,4.17,3.4,0.49,-4.79,-8.8,11.39,36.02,35.38,32.7,23.62,31.8,29.75,27.45,17.74,5.68,-22.56
32,City of Baguio,48710.34,1657.22,2274.62,2677.8,3432.33,3993.48,4323.03,4653.36,6323.42,7081.84,12293.22,46754.71,1940.61,2645.36,3049.44,3435.88,3599.15,3883.05,4709.76,5294.33,6137.62,12059.5,47232.91,2584,3071.87,3683.67,4127.47,4260.96,4822.58,5278.62,5831.41,5515.99,8056.36,-4.01,17.1,16.3,13.88,0.1,-9.87,-10.18,1.21,-16.27,-13.33,-1.9,1.02,33.15,16.12,20.8,20.13,18.39,24.2,12.08,10.14,-10.13,-33.19
33,Ifugao,14070.34,647.24,771.62,915.94,901.42,896.24,1092.87,1244.68,1439.37,2098.69,4062.26,15474.53,667.48,896.4,925.75,1099.51,1124.4,1299.62,1453.95,1727.88,2297.11,3982.42,15517.48,847.27,1021.03,1126.49,1087.27,1192,1234.29,1320.11,1551.73,2021.26,4116.04,9.98,3.13,16.17,1.07,21.98,25.46,18.92,16.81,20.04,9.45,-1.97,0.28,26.93,13.9,21.68,-1.11,6.01,-5.03,-9.21,-10.19,-12.01,3.36
34,Kalinga,15950.42,605.93,749.26,857.61,964.39,1029.51,1129.89,1389.37,1722.41,2241.12,5260.95,18713.76,734.24,891.57,1070.56,1116.41,1187.68,1328.19,1725.99,2049.7,2614.05,5995.37,18307.71,1008.72,1142.43,1253.13,1363.26,1409.71,1564.84,1828.26,1890.83,2499.14,4347.41,17.32,21.18,18.99,24.83,15.76,15.36,17.55,24.23,19,16.64,13.96,-2.17,37.38,28.14,17.05,22.11,18.69,17.82,5.93,-7.75,-4.4,-27.49
35,Mountain Province,9370.27,428.79,488.34,539.83,583.78,634.68,675.66,743.08,1042.43,1354.96,2878.72,10496.42,508.43,626.82,673.85,736.17,770,832.08,953.07,1090.36,1362.61,2943.04,12292.87,719.16,784.68,860.39,891.84,944.31,957.45,1188.46,1339.21,1685.43,2921.92,12.02,18.57,28.36,24.83,26.1,21.32,23.15,28.26,4.6,0.56,2.23,17.11,41.45,25.18,27.68,21.15,22.64,15.07,24.7,22.82,23.69,-0.72
36,Apayao,6694.66,239.85,333.39,379.15,418.52,454.31,511.33,583.22,690.81,959.45,2124.62,8605.46,405.15,504.13,538.89,601.86,639.17,695.38,731.17,854.88,1212.46,2422.37,10762.6,495.8,566.82,608.21,670.29,738.99,751.26,1010.32,1128.88,1406.27,3385.75,28.54,68.92,51.21,42.13,43.81,40.69,35.99,25.37,23.75,26.37,14.01,25.07,22.37,12.44,12.86,11.37,15.62,8.03,38.18,32.05,15.98,39.77
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,REGION I - ILOCOS REGION,348096.66,16594.67,20719.85,22609.04,25406.42,24970.35,29926.07,32401.88,37542.77,49936.34,87989.27,387243.14,16270.55,22044.92,23866.97,26533.85,28978.88,31395,34672.24,42234.41,56662.59,104583.75,443817.42,20800.51,25405.33,29636.14,31682.27,35946.23,39440.83,42646.17,49819,59085.74,109355.2,11.25,-1.95,6.4,5.56,4.44,16.05,4.91,7.01,12.5,13.47,18.86,14.61,27.84,15.24,24.17,19.4,24.04,25.63,23,17.96,4.28,4.56
39,Ilocos Norte,48315.93,2322.36,2786.09,3190.68,3536.61,3746.34,3846.5,4671.41,5448.41,6538.52,12229,55373.29,3018.59,3890.69,3957.98,3969.04,4341.26,4940.29,5088.1,5641.89,6978.2,13547.24,69671.55,4711.89,5421.01,5616.83,6009.98,6244.35,6388,7142.43,6819.18,7552.85,13765.02,14.61,29.98,39.65,24.05,12.23,15.88,28.44,8.92,3.55,6.72,10.78,25.82,56.1,39.33,41.91,51.42,43.84,29.3,40.38,20.87,8.23,1.61
40,Ilocos Sur,47618.66,2035.32,2552.97,2794.05,3291.27,3486.97,4000.15,4581.29,5230.05,6942.35,12704.25,54075.55,2141.28,2754.67,3094.63,3334.98,3908.27,4343.13,4907.43,6360.82,8284.18,14946.17,61961.57,2940.29,3767.09,4258.43,4365.73,4833.03,5421.32,6178.08,6635.85,8293.15,15268.6,13.56,5.21,7.9,10.76,1.33,12.08,8.57,7.12,21.62,19.33,17.65,14.58,37.31,36.75,37.61,30.91,23.66,24.83,25.89,4.32,0.11,2.16
41,La Union,64064.71,2762.85,3319.11,3908.56,4324.15,4724.42,5362.52,5982.1,6504.8,9790.56,17385.64,65716.6,2687.57,3482.65,3973.26,4106.44,4559,5482.32,5972.47,7543.84,10562.03,17347.04,81591.39,3372.36,4273.21,4941.37,5321.72,5923.39,7053.47,7992.03,9198.04,11806.84,21708.95,2.58,-2.72,4.93,1.66,-5.03,-3.5,2.23,-0.16,15.97,7.88,-0.22,24.16,25.48,22.7,24.37,29.59,29.93,28.66,33.81,21.93,11.79,25.15
42,Pangasinan,188097.36,9770.43,12052.69,13475.33,13965.56,14165.03,15841.8,18118,18931.92,26502.81,45273.79,212077.71,9158.39,11974.72,13741.59,14532.41,15727.7,17639.32,19306.11,20740.8,29024.28,60232.38,230592.91,11539.94,14958.38,14923.38,17909.92,18001.54,20975.38,21482.82,23738.63,30953.32,56109.6,12.75,-6.26,-0.65,1.98,4.06,11.03,11.35,6.56,9.55,9.51,33.04,8.73,26,24.92,8.6,23.24,14.46,18.91,11.27,14.45,6.65,-6.84
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,REGION II - CAGAYAN VALLEY,225944.52,8825.97,11540.87,13107.55,14549.75,16707,17601.34,20996.35,25006.66,31586.18,66022.84,260480.16,10625.43,13494.96,15383.78,16648.06,18245.72,20073.37,22666.08,26920.05,36863.04,79559.68,287625.5,14508.1,17996.76,19241.78,20823.24,22475.52,24531.24,26788.68,31892.21,39082.67,70285.28,15.29,20.39,16.93,17.37,14.42,9.21,14.04,7.95,7.65,16.71,20.5,10.42,36.54,33.36,25.08,25.08,23.18,22.21,18.19,18.47,6.02,-11.66
45,Batanes,1912.73,84.69,107,114.46,124.88,128.82,148.95,179.38,205.79,276.3,542.45,2483.16,97.48,140.36,154.83,133,189.1,228.39,258.21,268.09,410.98,602.73,2469.54,101.36,137.92,174.92,167.17,180.94,210.82,226.34,270.69,365.79,633.6,29.82,15.1,31.18,35.27,6.5,46.79,53.33,43.95,30.27,48.74,11.11,-0.55,3.98,-1.74,12.98,25.69,-4.31,-7.69,-12.34,0.97,-11,5.12
46,Cagayan,80635.06,3004.87,3823.62,4656.65,5117.68,5921.02,6460.78,7731.95,9349.09,11827.4,22742,86833.08,3843.27,4588.6,5088.12,6175.55,6214.12,6573.5,7536.42,9551.83,12720.3,24541.39,101392.29,4687.22,6014.72,6748.96,6824.69,7621.64,8654.43,9019.1,11002.32,13426.19,27393.03,7.69,27.9,20.01,9.27,20.67,4.95,1.74,-2.53,2.17,7.55,7.91,16.77,21.96,31.08,32.64,10.51,22.65,31.66,19.67,15.19,5.55,11.62
47,Isabela,94120.41,3887.29,5343.77,5705.15,6193.89,7181.7,7567.59,8331.02,10130.75,12632.16,27147.1,120811.82,4529.05,5797.67,7023.41,7223.72,8325.14,9032.7,10107.81,11802.56,16381.11,40588.66,127976.88,6922.26,8470.13,8752.04,9697.3,10342.74,11001.55,12314.68,14317.06,18014.85,28144.26,28.36,16.51,8.49,23.11,16.63,15.92,19.36,21.33,16.5,29.68,49.51,5.93,52.84,46.1,24.61,34.24,24.24,21.8,21.83,21.3,9.97,-30.66
48,Nueva Vizcaya,36531.22,1392.07,1764.85,1983.72,2314.16,2812.21,2770,3318.15,4028.38,5286.13,10861.54,35394.13,1557.79,2023.83,2212.65,2459.04,2591.67,2856.35,3374.16,3971.41,4868.99,9478.24,40791.86,2203.22,2502.46,2660.76,3031.42,3258.92,3465.7,4045.03,4482.5,5092.64,10049.21,-3.11,11.9,14.67,11.54,6.26,-7.84,3.12,1.69,-1.41,-7.89,-12.74,15.25,41.43,23.65,20.25,23.28,25.75,21.33,19.88,12.87,4.59,6.02
49,Quirino,12745.1,521.85,637.8,713.02,777.37,906.6,923.98,1044.04,1239.52,1579.59,4401.35,14957.96,674.45,789.34,879.14,1030.55,1125.16,1147.45,1272.68,1626.55,2089.93,4322.72,14994.93,726.54,830.72,928.47,943.91,1182.19,1164.04,1327.76,1680.78,2049.76,4160.75,17.36,29.24,23.76,23.3,32.57,24.11,24.19,21.9,31.22,32.31,-1.79,0.25,7.72,5.24,5.61,-8.41,5.07,1.45,4.33,3.33,-1.92,-3.75
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,REGION III - CENTRAL LUZON,929598.3,40704.13,53981.85,61209.2,68448.76,74945.19,85259.16,92157.39,105258.82,127463.19,220170.62,982521.54,45272.97,58542.73,67233.02,71139.71,80694.12,90308.7,98768.22,113102.82,134972.99,222486.26,1172048.83,62324.78,78402.18,88461.46,95915.16,102489.34,112017.76,122421.89,134118.59,153606.87,222290.8,5.69,11.22,8.45,9.84,3.93,7.67,5.92,7.17,7.45,5.89,1.05,19.29,37.66,33.92,31.57,34.83,27.01,24.04,23.95,18.58,13.81,-0.09
52,Aurora,14727.37,613.6,727.45,861.82,870.65,944.17,996.03,1089.4,1606.7,2217.29,4800.27,15420.13,615.34,772.23,911.73,1000.28,1072.69,1196.01,1431.43,1595.95,2103.14,4721.34,17467.09,840.35,1015.84,1090.25,1108.23,1271.27,1341.3,1429.71,1808.66,2374.78,5186.72,4.7,0.28,6.16,5.79,14.89,13.61,20.08,31.4,-0.67,-5.15,-1.64,13.27,36.57,31.55,19.58,10.79,18.51,12.15,-0.12,13.33,12.92,9.86
53,Bataan,74626.73,2960.18,4007.2,4614.35,5231.8,6113.36,6483.69,6840.08,8444.53,9551.95,20379.59,76371.47,2889.87,4054.09,4705.24,5218.69,5561.95,6382.95,7075.05,8559.97,9471.29,22452.36,83190.7,3663.45,4612.39,5101.35,6257.03,6880.33,7385.34,7945.03,9469.98,11637.52,20238.28,2.34,-2.38,1.17,1.97,-0.25,-9.02,-1.55,3.44,1.37,-0.84,10.17,8.93,26.77,13.77,8.42,19.9,23.7,15.7,12.3,10.63,22.87,-9.86
54,Bulacan,289140.33,13347.37,16170.3,19603.63,21732.12,24108.05,27779.06,27796.07,31916.33,42411.01,64276.4,301231.77,13696.51,19038.71,20477.3,21213.87,25647.67,26006.34,30471.34,33663.69,41397.88,69618.47,342693.71,19188.78,23684.81,26399.89,28168.57,28215.41,33627.41,36692.92,38859.48,46692.62,61163.82,4.18,2.62,17.74,4.46,-2.38,6.39,-6.38,9.62,5.47,-2.39,8.31,13.76,40.1,24.4,28.92,32.78,10.01,29.3,20.42,15.43,12.79,-12.14
55,Nueva Ecija,165534.08,6864.4,8628.78,9538.76,10806.35,12333.21,13045.16,14603.62,17431.09,24036.77,48245.94,153064.11,7913.22,9155.88,9983.68,11449.88,12792.84,13588.87,15138.33,16188.33,20590.88,36262.2,194488.54,11480.74,13683.66,14776.88,16578.2,16799.76,18761.34,19950.4,22610.58,23756.34,36090.64,-7.53,15.28,6.11,4.66,5.96,3.73,4.17,3.66,-7.13,-14.34,-24.84,27.06,45.08,49.45,48.01,44.79,31.32,38.06,31.79,39.67,15.37,-0.47
56,Pampanga (Excluding City of Angeles),186598.49,11025.36,13280.67,14567.2,16014.04,16386.91,17921.42,17929.12,19813.78,24561.5,35098.49,208224.49,12836.63,14281.04,14939.41,18069.98,18017.38,20090.63,21338.51,23676.55,26576.93,38397.42,251756.6,16335.87,18777.17,20174.45,22525.39,21067.45,24400.81,26185.87,27841.23,30527.82,43920.54,11.59,16.43,7.53,2.56,12.84,9.95,12.1,19.02,19.5,8.21,9.4,20.91,27.26,31.48,35.04,24.66,16.93,21.45,22.72,17.59,14.87,14.38
