,,,,,,,,,,,,,,"Summary Statistics for Human Health and Social Work Activities Establishments by Geolocation, Industry Description, Year and Data Items"
..CALABARZON,Human Health and Social Work Activities,1158,33437,33024,1760,40466548,32407641,6997042,25410600,18607015,1605202,-45097,-,24856
..CALABARZON,..Hospital activities,220,26735,26665,1667,27978663,23008621,5908502,17100119,13950857,1258363,12763,-,16452
..CALABARZON,..Medical and dental practice activities,851,5554,5373,84,9660307,7347100,959411,6387689,3699289,333002,-57641,-,-
..CALABARZON,..Other human health activities,53,568,406,..,93460,87239,45168,42072,56287,2636,149,-,-
..CALABARZON,..Residential nursing care facilities,c,c,c,c,c,c,c,c,c,c,c,c,c
..CALABARZON,"..Residential care activities for mental retardation,  mental health and substance abuse",8,100,100,2,45030,43006,13809,29196,21404,-,-,-,-
..CALABARZON,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..CALABARZON,"..Other residential care activities, n.e.c.",10,80,80,..,13684,12780,7116,5664,9692,-,-,-,-
..CALABARZON,..Social work activities without accommodation  for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..CALABARZON,"..Other social work activities without accommodation, n.e.c.",17,400,400,7,2675405,1908895,63035,1845859,869485,11201,-368,-,8404
..MIMAROPA Region,Human Health and Social Work Activities,97,3168,3123,139,2931348,2421910,532878,1889032,1230394,108145,-181452,-,14
..MIMAROPA Region,..Hospital activities,28,2061,2056,139,2424159,1982940,383201,1599739,967590,83429,-152829,-,-
..MIMAROPA Region,..Medical and dental practice activities,59,976,949,-,357882,295845,136168,159678,233706,24646,-27968,-,-
..MIMAROPA Region,..Other human health activities,c,c,c,c,c,c,c,c,c,c,c,c,c
..MIMAROPA Region,..Residential nursing care facilities,,,,,,,,,,,,,
..MIMAROPA Region,"..Residential care activities for mental retardation,  mental health and substance abuse",c,c,c,c,c,c,c,c,c,c,c,c,c
..MIMAROPA Region,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..MIMAROPA Region,"..Other residential care activities, n.e.c.",5,48,35,-,22971,20506,3854,16652,15639,-,-655,-,14
..MIMAROPA Region,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..MIMAROPA Region,"..Other social work activities without accommodation, n.e.c.",5,83,83,..,126336,122619,9655,112964,13458,69,1,-,-
..Bicol Region,Human Health and Social Work Activities,266,5505,5453,167,3686409,3187520,1091788,2095731,1911579,568630,-2469,-,1158
..Bicol Region,..Hospital activities,61,4109,4109,115,2439191,2233694,850502,1383192,1318235,524279,2737,-,-
..Bicol Region,..Medical and dental practice activities,160,1017,1000,..,936771,783383,159551,623832,360886,44352,-4307,-,-
..Bicol Region,..Other human health activities,8,20,20,..,4411,4775,1181,3594,1283,-,12,-,-
..Bicol Region,..Residential nursing care facilities,,,,,,,,,,,,,
..Bicol Region,"..Residential care activities for mental retardation,  mental health and substance abuse",3,32,32,..,17994,16102,8089,8013,10143,-,-,-,-
..Bicol Region,..Residential care activities for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..Bicol Region,"..Other residential care activities, n.e.c.",5,32,22,-,9708,5690,2053,3637,6578,-,26,-,1158
..Bicol Region,..Social work activities without accommodation  for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..Bicol Region,"..Other social work activities without accommodation, n.e.c.",30,295,270,52,278334,143875,70412,73463,214454,-,-936,-,-
..Western Visayas,Human Health and Social Work Activities,339,11646,11604,906,9472413,8687890,2447525,6240365,4410047,844413,-160884,-,-
..Western Visayas,..Hospital activities,33,8668,8648,807,7500868,7090668,1908418,5182250,3286146,647896,-58140,-,-
..Western Visayas,..Medical and dental practice activities,275,2564,2564,95,1739428,1453131,483079,970052,961207,196483,-103347,-,-
..Western Visayas,..Other human health activities,11,162,162,1,89077,34162,13028,21135,79493,-,603,-,-
..Western Visayas,..Residential nursing care facilities,,,,,,,,,,,,,
..Western Visayas,"..Residential care activities for mental retardation,  mental health and substance abuse",c,c,c,c,c,c,c,c,c,c,c,c,c
..Western Visayas,..Residential care activities for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..Western Visayas,"..Other residential care activities, n.e.c.",5,85,73,1,53176,32376,13353,19023,36014,34,-,-,-
..Western Visayas,..Social work activities without accommodation  for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..Western Visayas,"..Other social work activities without accommodation, n.e.c.",16,168,157,2,89864,77551,29647,47905,47187,-,-,-,-
..Central Visayas,Human Health and Social Work Activities,501,17069,16940,777,17412637,15742594,4041914,11700680,7760957,841572,-167470,-,-
..Central Visayas,..Hospital activities,65,13385,13331,611,12549381,11780481,3297553,8482927,5661096,691702,-137830,-,-
..Central Visayas,..Medical and dental practice activities,357,2754,2726,125,3380119,2895708,481927,2413782,1144187,70780,-26480,-,-
..Central Visayas,..Other human health activities,23,162,142,3,428783,335647,40949,294697,244487,7274,-,-,-
..Central Visayas,..Residential nursing care facilities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Visayas,"..Residential care activities for mental retardation,  mental health and substance abuse",6,105,85,6,24076,23666,11713,11953,17832,558,-3172,-,-
..Central Visayas,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Central Visayas,"..Other residential care activities, n.e.c.",14,102,94,2,47396,44382,24181,20202,32635,15,11,-,-
..Central Visayas,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..Central Visayas,"..Other social work activities without accommodation, n.e.c.",36,563,563,30,982882,662710,185591,477119,660721,71243,-,-,-
..Eastern Visayas,Human Health and Social Work Activities,156,3758,3734,293,2695298,2201091,746766,1454325,1285417,54866,134903,-,3832
..Eastern Visayas,..Hospital activities,44,3186,3178,293,2379996,1974680,668065,1306615,1097586,49277,137720,-,161
..Eastern Visayas,..Medical and dental practice activities,103,511,495,..,271262,186860,61299,125561,163187,5288,-2819,-,-
..Eastern Visayas,..Other human health activities,7,17,17,..,1996,1898,563,1335,920,-,-,-,-
..Eastern Visayas,..Residential nursing care facilities,,,,,,,,,,,,,
..Eastern Visayas,"..Residential care activities for mental retardation,  mental health and substance abuse",,,,,,,,,,,,,
..Eastern Visayas,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Eastern Visayas,"..Other residential care activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..Eastern Visayas,"..Other social work activities without accommodation, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,Human Health and Social Work Activities,88,4232,4231,68,2898188,2322163,781405,1540758,1635755,33588,33921,-,-
..Zamboanga Peninsula,..Hospital activities,39,3792,3792,68,2530804,2058288,719505,1338783,1409665,33367,24484,-,-
..Zamboanga Peninsula,..Medical and dental practice activities,42,344,344,..,281838,193527,45093,148434,147591,-,9206,-,-
..Zamboanga Peninsula,..Other human health activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,..Residential nursing care facilities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,"..Residential care activities for mental retardation,  mental health and substance abuse",,,,,,,,,,,,,
..Zamboanga Peninsula,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Zamboanga Peninsula,"..Other residential care activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..Zamboanga Peninsula,"..Other social work activities without accommodation, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,Human Health and Social Work Activities,165,7713,7663,445,6033695,5121263,1610030,3511232,3427061,1526981,-210071,-,-
..Northern Mindanao,..Hospital activities,57,6101,6081,428,4785915,4231025,1373472,2857553,2532099,1290335,-187409,-,-
..Northern Mindanao,..Medical and dental practice activities,86,1299,1272,17,1039741,671508,174308,497200,660621,42807,-22666,-,-
..Northern Mindanao,..Other human health activities,7,33,33,..,5073,5865,2069,3796,3836,7908,-,-,-
..Northern Mindanao,..Residential nursing care facilities,,,,,,,,,,,,,
..Northern Mindanao,"..Residential care activities for mental retardation,  mental health and substance abuse",c,c,c,c,c,c,c,c,c,c,c,c,c
..Northern Mindanao,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Northern Mindanao,"..Other residential care activities, n.e.c.",5,44,41,-,8652,7269,4352,2918,7404,5122,4,-,-
..Northern Mindanao,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..Northern Mindanao,"..Other social work activities without accommodation, n.e.c.",10,236,236,..,194313,205596,55830,149766,223101,180809,-,-,-
..Davao Region,Human Health and Social Work Activities,386,12036,11937,305,8941807,8120174,2320270,5799904,4027386,223751,-47677,-,18191
..Davao Region,..Hospital activities,104,8378,8331,272,6153440,5631745,1682741,3949004,2890734,223547,-93691,-,18171
..Davao Region,..Medical and dental practice activities,217,1950,1937,26,2287154,1882746,434815,1447931,955002,-,46048,-,-
..Davao Region,..Other human health activities,14,135,135,..,142539,164476,31127,133349,20979,204,-,-,-
..Davao Region,..Residential nursing care facilities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Davao Region,"..Residential care activities for mental retardation,  mental health and substance abuse",3,93,87,1,25953,18425,10583,7841,18857,-,185,-,-
..Davao Region,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Davao Region,"..Other residential care activities, n.e.c.",12,156,151,5,155795,158878,30808,128070,66603,-,-,-,-
..Davao Region,..Social work activities without accommodation  for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..Davao Region,"..Other social work activities without accommodation, n.e.c.",36,1323,1296,-,176926,263904,130196,133708,75210,-,-219,-,20
..SOCCSKSARGEN,Human Health and Social Work Activities,307,10165,10086,694,6448800,5795723,1953913,3841810,3365945,436402,17421,-,4681
..SOCCSKSARGEN,..Hospital activities,94,9098,9071,639,5667138,5211432,1838400,3373032,3012602,435182,-66386,-,4376
..SOCCSKSARGEN,..Medical and dental practice activities,182,788,738,55,645984,524688,90733,433955,248516,1220,84056,-,-
..SOCCSKSARGEN,..Other human health activities,9,58,58,..,69098,13439,8961,4479,66605,-,-228,-,-
..SOCCSKSARGEN,..Residential nursing care facilities,,,,,,,,,,,,,
..SOCCSKSARGEN,"..Residential care activities for mental retardation,  mental health and substance abuse",c,c,c,c,c,c,c,c,c,c,c,c,c
..SOCCSKSARGEN,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..SOCCSKSARGEN,"..Other residential care activities, n.e.c.",6,84,81,-,38550,28986,5200,23785,15415,-,-21,-,305
..SOCCSKSARGEN,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..SOCCSKSARGEN,"..Other social work activities without accommodation, n.e.c.",16,137,137,..,28029,17177,10618,6559,22808,-,-,-,-
..Caraga,Human Health and Social Work Activities,63,1933,1933,81,4095535,3926096,367837,3558259,1204722,335695,114987,-,-
..Caraga,..Hospital activities,25,1497,1497,66,3738749,3559588,290439,3269149,1110857,330720,90250,-,-
..Caraga,..Medical and dental practice activities,26,332,332,4,313484,327245,64387,262859,73132,-,24277,-,-
..Caraga,..Other human health activities,6,34,34,2,15266,15938,4256,11682,5840,4975,347,-,-
..Caraga,..Residential nursing care facilities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,"..Residential care activities for mental retardation,  mental health and substance abuse",3,39,39,7,12061,9938,3355,6585,6089,-,113,-,-
..Caraga,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Caraga,"..Other residential care activities, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c
..Caraga,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..Caraga,"..Other social work activities without accommodation, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Autonomous Region in Muslim Mindanao,Human Health and Social Work Activities,13,591,567,..,162100,131613,75606,56007,109094,16953,-3298,-,-
..Autonomous Region in Muslim Mindanao,..Hospital activities,6,381,363,..,106291,88747,56657,32089,78023,16443,-1805,-,-
..Autonomous Region in Muslim Mindanao,..Medical and dental practice activities,7,210,204,-,55809,42867,18949,23919,31071,510,-1493,-,-
..Autonomous Region in Muslim Mindanao,..Other human health activities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Autonomous Region in Muslim Mindanao,..Residential nursing care facilities,,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,"..Residential care activities for mental retardation,  mental health and substance abuse",,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,"..Other residential care activities, n.e.c.",,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,"..Other social work activities without accommodation, n.e.c.",,,,,,,,,,,,,
