,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summary Statistics for Financial and Insurance Activities Establishments
..Foreign exchange dealing,217,6,211,1143,144,999,1143,144,999,1109545,138979,970565,454253,81876,372377,221442,42141,179300,232811,39734,193077,947821,104547,843274,1671,1034,637,1,0,1,0,0,0,0,0,0
..Other activities auxiliary to financial service activities,148,32,116,8349,7289,1060,8349,7289,1060,11906981,9411161,2495821,12494860,8303859,4191002,3531499,3302234,229265,8963361,5001625,3961737,5308176,5480033,-171856,66785,66320,465,2691,2691,0,0,0,0,0,0,0
..Risk and damage evaluation,20,3,17,339,177,162,339,177,162,384359,268000,116359,291135,197988,93147,150013,101163,48850,141122,96825,44297,279828,198186,81642,1035,871,164,-147,-44,-104,0,0,0,0,0,0
..Activities of insurance agents and brokers,254,39,215,4282,3109,1173,4260,3087,1173,37044403,35644414,1399989,26792457,25769518,1022939,3324558,3001463,323095,23467899,22768056,699844,32537801,31780550,757251,101495,72870,28626,-224,-224,0,0,0,0,0,0,0
..Pre-need plan for health,34,19,15,6555,6453,102,6554,6453,101,34240447,33940176,300270,24389334,24232395,156939,2170624,2148371,22253,22218710,22084024,134686,12548954,12369862,179092,539387,539387,0,-4813,-4599,-214,0,0,0,0,0,0
..Pre-need plan for education,3,..,3,7,..,7,7,..,7,1464871,..,1464871,906030,..,906030,3537,..,3537,902493,..,902493,565834,..,565834,0,..,0,31,..,31,0,..,0,0,..,0
..Pre-need plan for memorial and interment,9,5,4,439,407,32,439,407,32,14808738,14018622,790115,13888731,13099454,789277,585094,571661,13432,13303637,12527792,775845,1853451,1837205,16245,1522,730,792,-28377,-28377,0,0,0,0,0,0,0
..Pre-need plan for pension,11,6,5,598,591,7,532,525,7,6241494,6194693,46802,5906590,5832533,74057,451440,449565,1876,5455150,5382968,72182,874829,882320,-7491,12973,12973,0,-1337,-1337,0,0,0,0,0,0,0
..Other activities auxilary to insurance and pension funding,12,2,10,191,88,103,191,88,103,318872,179167,139705,198428,95173,103255,77136,42183,34953,121293,52990,68303,227434,146132,81302,4731,0,4731,0,0,0,0,0,0,0,0,0
..Fund management activities,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..
