"films_film_id";"title";"release_year";"country";"duration";"language";"certification";"gross";"budget";"num_user";"num_critic";"imdb_score";"num_votes";"facebook_likes"
2094;"Barbershop 2: Back in Business";2004;"USA";106;"English";"PG-13";"64955956";"18000000";69;50;5.69999981;10104;265
788;"Richard III";1995;"UK";104;"English";"R";"2600000";"6000000";88;56;7.5;11612;0
1622;"Osmosis Jones";2001;"USA";95;"English";"PG";"13596911";"70000000";123;81;6.19999981;25572;2000
578;"Total Recall";1990;"USA";113;"English";"R";"119412921";"65000000";391;196;7.5;240241;0
368;"WarGames";1983;"USA";114;"English";"PG";"79568000";"12000000";152;84;7.0999999;71842;0
2274;"Vanity Fair";2004;"USA";141;"English";"PG-13";"16123851";"23000000";148;118;6.19999981;17373;767
4516;"Stories of Our Lives";2014;"Kenya";60;"Swahili";"";"";"15000";1;6;7.4000001;70;45
1835;"Serving Sara";2002;"Germany";99;"English";"PG-13";"16930185";"29000000";101;64;5.30000019;14315;201
1575;"How High";2001;"USA";93;"English";"R";"31155435";"12000000";102;34;6.19999981;42644;0
671;"Poetic Justice";1993;"USA";109;"English";"R";"27515786";"14000000";31;12;5.9000001;8904;0
4714;"Pan";2015;"USA";111;"English";"PG";"34964818";"150000000";186;256;5.80000019;39975;24000
3014;"Hancock";2008;"USA";102;"English";"PG-13";"227946274";"150000000";590;318;6.4000001;343648;0
1354;"Billy Elliot";2000;"UK";110;"English";"R";"21994911";"5000000";433;151;7.69999981;98354;0
1351;"Bedazzled";2000;"USA";93;"English";"PG-13";"37879996";"48000000";254;125;6.0;81888;0
2888;"Sublime";2007;"USA";113;"English";"R";"";"1800000";103;53;5.30000019;6267;368
1572;"Hearts in Atlantis";2001;"USA";101;"English";"PG-13";"24185781";"31000000";268;135;6.9000001;30339;0
4724;"R.L. Stine's Monsterville: The Cabinet of Souls";2015;"USA";85;"English";"PG";"";"4400000";4;5;5.9000001;917;224
269;"Lion of the Desert";1980;"Libya";156;"English";"PG";"";"35000000";55;24;8.39999962;9852;0
613;"A Few Good Men";1992;"USA";138;"English";"R";"141340178";"40000000";319;81;7.5999999;181879;0
730;"Street Fighter";1994;"Japan";102;"English";"PG-13";"33423521";"35000000";282;63;3.79999995;53115;0
1933;"Cradle 2 the Grave";2003;"USA";101;"English";"R";"34604054";"30000000";185;109;5.80000019;34942;1000
703;"Crooklyn";1994;"USA";115;"English";"PG-13";"13640000";"14000000";39;25;6.9000001;6011;905
3098;"Synecdoche, New York";2008;"USA";124;"English";"R";"3081925";"21000000";274;245;7.5;55842;13000
1577;"Impostor";2001;"USA";102;"English";"R";"6114237";"40000000";207;83;6.19999981;19986;892
1733;"Changing Lanes";2002;"USA";91;"English";"R";"66790248";"45000000";350;167;6.5;57281;0
3149;"Train";2008;"USA";94;"English";"R";"";"";52;33;4.80000019;4790;804
2635;"Nacho Libre";2006;"Germany";92;"English";"PG";"80197993";"32000000";441;163;5.69999981;65551;0
4314;"The Square";2013;"Egypt";108;"Arabic";"Not Rated";"";"1500000";42;68;8.10000038;6678;0
1655;"The Brothers";2001;"USA";106;"English";"R";"27457409";"6000000";43;52;6.30000019;3198;478
3700;"Contagion";2011;"USA";106;"English";"PG-13";"75638743";"60000000";411;436;6.5999999;180479;42000
3619;"The Last Godfather";2010;"South Korea";100;"English";"PG-13";"163591";"13400000";17;4;3.5999999;912;502
3653;"Vampires Suck";2010;"USA";82;"English";"PG-13";"36658108";"20000000";187;122;3.5;39095;16000
3318;"Oceans";2009;"France";104;"French";"G";"19406406";"40000000";42;113;7.80000019;7630;0
1792;"Juwanna Mann";2002;"USA";91;"English";"PG-13";"13571817";"15600000";40;32;4.5;5312;939
2179;"Million Dollar Baby";2004;"USA";132;"English";"PG-13";"100422786";"30000000";1106;268;8.10000038;482064;14000
528;"Friday the 13th Part VIII: Jason Takes Manhattan";1989;"USA";100;"English";"R";"14343976";"5000000";291;129;4.5;22961;1000
1934;"Daddy Day Care";2003;"USA";92;"English";"PG";"104148781";"60000000";116;81;5.5;49486;886
1686;"Tomcats";2001;"USA";95;"English";"R";"13558739";"11000000";121;75;5.30000019;15427;449
1078;"He Got Game";1998;"USA";136;"English";"R";"21554585";"25000000";109;48;6.9000001;36108;0
1263;"Mystery, Alaska";1999;"Canada";119;"English";"R";"8888143";"28000000";123;74;6.69999981;22250;913
2470;"The Proposition";2005;"Australia";104;"English";"R";"1900725";"2000000";232;168;7.4000001;43205;0
2863;"Ratatouille";2007;"USA";111;"English";"G";"206435493";"150000000";626;318;8.0;473887;10000
4150;"Buen DÃ­a, RamÃ³n";2013;"Mexico";120;"German";"PG-13";"100412";"4000000";7;26;7.69999981;2112;0
35;"The Valley of Decision";1945;"USA";119;"English";"Passed";"";"2160000";29;7;7.5;1314;68
1662;"The Forsaken";2001;"USA";90;"English";"R";"6755271";"5000000";131;56;5.30000019;7319;327
1320;"The Talented Mr. Ripley";1999;"USA";139;"English";"R";"81292135";"40000000";696;203;7.30000019;137891;0
3590;"Step Up 3D";2010;"USA";107;"English";"PG-13";"42385520";"30000000";86;138;6.19999981;47297;16000
3856;"The Rite";2011;"USA";114;"English";"PG-13";"33037754";"37000000";197;267;6.0;75864;23000
4246;"Philomena";2013;"UK";98;"English";"PG-13";"37707719";"12000000";233;354;7.5999999;76094;37000
420;"Red Sonja";1985;"Netherlands";89;"English";"PG-13";"";"17900000";95;59;5.0;30215;0
2944;"When Did You Last See Your Father?";2007;"UK";92;"English";"PG-13";"1071240";"8000000";34;90;6.9000001;3571;429
3222;"Case 39";2009;"USA";109;"English";"R";"13248477";"27000000";174;167;6.19999981;60555;0
4634;"Cinderella";2015;"USA";105;"English";"PG";"201148159";"95000000";322;343;7.0;103737;56000
1673;"The One";2001;"USA";85;"English";"PG-13";"43905746";"49000000";294;98;5.9000001;77684;0
2998;"Flash of Genius";2008;"USA";119;"English";"PG-13";"4234040";"20000000";45;99;7.0;14301;0
1968;"In the Cut";2003;"Australia";113;"English";"R";"4717455";"12000000";354;138;5.30000019;18632;656
2280;"White Chicks";2004;"USA";109;"English";"PG-13";"69148997";"37000000";251;62;5.4000001;98794;0
4006;"Rise of the Guardians";2012;"USA";97;"English";"PG";"103400692";"145000000";174;256;7.30000019;123553;25000
3955;"Holy Motors";2012;"France";115;"French";"Not Rated";"";"";110;332;7.0999999;29440;12000
4799;"The World Is Mine";2015;"Romania";104;"Romanian";"";"";"168000";1;5;6.5;354;34
3165;"Welcome Home, Roscoe Jenkins";2008;"USA";114;"English";"PG-13";"42168445";"35000000";39;76;5.30000019;10791;464
600;"Slacker";1991;"USA";100;"English";"R";"1227508";"23000";80;61;7.0999999;15103;2000
2144;"Garden State";2004;"USA";102;"English";"R";"26781723";"2500000";978;205;7.5999999;187595;0
1885;"The Sum of All Fears";2002;"USA";124;"English";"PG-13";"118471320";"68000000";568;176;6.4000001;86504;0
3377;"The Hole";2009;"USA";92;"English";"PG-13";"";"12000000";69;147;5.69999981;19157;0
1935;"Darkness Falls";2003;"USA";96;"English";"PG-13";"32131483";"11000000";369;140;4.9000001;25870;2000
2049;"The Mudge Boy";2003;"USA";94;"English";"R";"";"800000";30;17;7.19999981;3480;396
4452;"Jack Ryan: Shadow Recruit";2014;"USA";105;"English";"PG-13";"50549107";"60000000";289;313;6.19999981;99035;17000
2444;"The Descent";2005;"UK";100;"English";"R";"26005908";"3500000";1100;342;7.19999981;154938;10000
1443;"Sexy Beast";2000;"UK";89;"English";"R";"6940281";"";346;149;7.30000019;43135;0
3642;"Toy Story 3";2010;"USA";103;"English";"G";"414984497";"200000000";733;453;8.30000019;544884;30000
4542;"The Hundred-Foot Journey";2014;"USA";122;"English";"PG";"54235441";"22000000";185;180;7.30000019;52894;55000
3733;"Hobo with a Shotgun";2011;"Canada";86;"English";"Not Rated";"703002";"3000000";230;272;6.0999999;37495;37000
1226;"Fantasia 2000";1999;"USA";74;"English";"G";"60507228";"80000000";186;129;7.30000019;27543;607
4144;"Bending Steel";2013;"USA";92;"English";"";"";"50000";10;10;7.9000001;53;33
4746;"Star Wars: Episode VII - The Force Awakens";2015;"USA";136;"English";"PG-13";"936627416";"245000000";4080;828;8.10000038;644227;1364147
759;"Casper";1995;"USA";100;"English";"PG";"100328194";"50000000";92;26;6.0;85903;0
1527;"Baby Boy";2001;"USA";130;"English";"R";"28734552";"16000000";81;41;6.4000001;9566;1000
326;"Creepshow";1982;"USA";130;"English";"R";"";"8000000";211;127;6.9000001;29935;0
3178;"16 to Life";2009;"USA";89;"English";"";"";"1000000";6;3;6.30000019;397;143
1806;"Minority Report";2002;"USA";145;"English";"PG-13";"132014112";"102000000";1331;252;7.69999981;399651;0
2804;"Freedom Writers";2007;"Germany";123;"English";"PG-13";"36581633";"21000000";235;84;7.5;52533;10000
1236;"Godzilla 2000";1999;"Japan";99;"Japanese";"PG";"10037390";"1000000000";140;107;6.0;5442;339
328;"E.T. the Extra-Terrestrial";1982;"USA";120;"English";"PG";"434949459";"10500000";515;215;7.9000001;281842;34000
4721;"Pound of Flesh";2015;"Canada";104;"English";"R";"";"7500000";29;36;5.0999999;4099;0
1541;"Corky Romano";2001;"USA";86;"English";"PG-13";"23978402";"11000000";100;62;4.5999999;10966;365
2008;"Rugrats Go Wild";2003;"USA";80;"English";"PG";"39399750";"25000000";35;45;5.5999999;5674;329
4223;"Mutual Friends";2013;"USA";86;"English";"";"";"450000";3;3;6.80000019;64;31
524;"Born on the Fourth of July";1989;"USA";145;"English";"R";"70001698";"14000000";173;72;7.19999981;76842;4000
2650;"Phat Girlz";2006;"USA";99;"English";"PG-13";"7059537";"3000000";101;37;3.0;8279;837
1486;"The Whole Nine Yards";2000;"USA";98;"English";"R";"57262492";"24000000";318;129;6.69999981;90374;0
922;"Air Bud";1997;"USA";98;"English";"PG";"24629916";"3000000";34;35;5.0999999;12942;902
691;"True Romance";1993;"USA";121;"English";"R";"12281500";"13000000";460;122;8.0;163492;15000
2703;"The Holiday";2006;"USA";138;"English";"PG-13";"63224849";"85000000";483;157;6.9000001;182757;19000
2747;"Zoom";2006;"USA";83;"English";"PG";"11631245";"35000000";113;63;4.19999981;15015;494
862;"Mars Attacks!";1996;"USA";106;"English";"PG-13";"37754208";"70000000";405;132;6.30000019;172217;0
4048;"The Collection";2012;"USA";82;"English";"R";"6842058";"10000000";99;147;6.0999999;36029;14000
535;"Major League";1989;"USA";107;"English";"R";"49797148";"11000000";97;57;7.19999981;49007;0
954;"Flubber";1997;"USA";90;"English";"PG";"92969824";"80000000";64;53;5.19999981;63625;0
4448;"Interstellar";2014;"USA";169;"English";"PG-13";"187991439";"165000000";2725;712;8.60000038;928227;349000
3082;"Slumdog Millionaire";2008;"UK";120;"English";"R";"141319195";"15000000";1017;418;8.0;641997;13000
4917;"The Veil";2016;"USA";93;"English";"R";"";"4000000";29;39;4.69999981;4146;0
1547;"Donnie Darko";2001;"USA";133;"English";"R";"727883";"4500000";2110;283;8.10000038;580999;33000
4363;"Amnesiac";2014;"USA";90;"English";"";"";"3000000";15;30;4.30000019;2157;421
625;"Hoffa";1992;"USA";140;"English";"R";"24276500";"35000000";68;32;6.5999999;17124;949
972;"Liar Liar";1997;"USA";86;"English";"PG-13";"181395380";"45000000";243;73;6.80000019;220392;0
4224;"My Lucky Star";2013;"China";114;"Chinese";"";"50000";"";2;11;5.0999999;322;81
2578;"Flags of Our Fathers";2006;"USA";135;"English";"R";"33574332";"90000000";415;279;7.0999999;101221;0
4605;"Alvin and the Chipmunks: The Road Chip";2015;"USA";92;"English";"PG";"85884815";"90000000";53;70;5.0;9418;0
4502;"Rudderless";2014;"USA";105;"English";"R";"37440";"5000000";60;44;7.5;12672;0
2528;"Bandidas";2006;"France";93;"English";"PG-13";"";"32000000";76;58;5.69999981;28848;0
1399;"I Dreamed of Africa";2000;"USA";114;"English";"PG-13";"6543194";"34000000";61;52;5.5999999;3740;314
620;"Bram Stoker's Dracula";1992;"USA";155;"English";"R";"82522790";"40000000";654;181;7.5;143835;14000
2336;"End of the Spear";2005;"USA";108;"English";"PG-13";"11703287";"10000000";148;47;7.0;4360;1000
2100;"Bobby Jones: Stroke of Genius";2004;"USA";128;"English";"PG";"2694071";"";64;35;6.69999981;3222;352
4293;"The Heat";2013;"USA";123;"English";"R";"159578352";"43000000";380;270;6.5999999;133177;24000
804;"The Jerky Boys";1995;"USA";82;"English";"R";"7557877";"";37;10;4.5999999;2129;138
1623;"Out Cold";2001;"USA";89;"English";"PG-13";"13903262";"11000000";90;37;6.30000019;14656;0
3583;"Shrek Forever After";2010;"USA";93;"English";"PG";"238371987";"165000000";173;226;6.4000001;138661;0
3425;"Whatever Works";2009;"USA";92;"English";"PG-13";"5306447";"15000000";169;218;7.19999981;58967;10000
4850;"Ghostbusters";2016;"USA";116;"English";"PG-13";"118099659";"144000000";1211;464;5.5;69757;62000
3295;"Little Nicholas";2009;"France";91;"French";"";"";"";17;56;7.19999981;9214;0
3516;"Insidious";2010;"USA";103;"English";"PG-13";"53991137";"1500000";752;445;6.80000019;202800;60000
1945;"Freaky Friday";2003;"USA";97;"English";"PG";"110222438";"26000000";271;129;6.0999999;96693;0
3704;"Damsels in Distress";2011;"USA";99;"English";"PG-13";"1007535";"";54;152;5.69999981;7625;0
811;"Things to Do in Denver When You're Dead";1995;"USA";115;"English";"R";"529766";"7000000";144;52;6.80000019;22345;0
2569;"Facing the Giants";2006;"USA";111;"English";"PG";"10174663";"100000";382;31;6.69999981;12399;0
899;"The Island of Dr. Moreau";1996;"USA";99;"English";"PG-13";"27663982";"40000000";164;70;4.4000001;26051;0
18;"You Can't Take It with You";1938;"USA";126;"English";"Approved";"";"1644736";133;51;8.0;17799;0
2328;"Doom";2005;"UK";113;"English";"R";"28031250";"60000000";814;237;5.19999981;88146;0
561;"Ghost";1990;"USA";127;"English";"PG-13";"217631306";"22000000";252;77;7.0;154199;0
912;"Twister";1996;"USA";113;"English";"PG-13";"241688385";"92000000";395;114;6.30000019;144053;0
3457;"Blue Valentine";2010;"USA";112;"English";"R";"9701559";"3500000";283;377;7.4000001;141425;25000
3455;"Black Swan";2010;"USA";108;"English";"R";"106952327";"13000000";1140;669;8.0;551363;106000
4382;"Born of War";2014;"UK";109;"English";"R";"";"5000000";3;8;4.4000001;237;190
4147;"Blue Jasmine";2013;"USA";98;"English";"PG-13";"33404871";"18000000";384;415;7.30000019;150082;36000
3815;"Spy Kids: All the Time in the World in 4D";2011;"USA";89;"English";"PG";"38536376";"27000000";83;76;3.5999999;15866;0
1389;"Gossip";2000;"USA";90;"English";"R";"5108820";"24000000";112;63;5.9000001;12519;853
3044;"Milk";2008;"USA";128;"English";"R";"31838002";"20000000";281;324;7.5999999;136673;10000
3384;"The Janky Promoters";2009;"USA";85;"English";"R";"";"";10;4;5.19999981;1097;402
1403;"Little Nicky";2000;"USA";90;"English";"PG-13";"39442871";"80000000";237;87;5.30000019;80639;0
498;"Dangerous Liaisons";1988;"USA";119;"English";"R";"34700000";"14000000";143;51;7.69999981;52846;0
1447;"Small Time Crooks";2000;"USA";94;"English";"PG";"17071230";"18000000";192;128;6.69999981;31169;812
1126;"Star Trek: Insurrection";1998;"USA";103;"English";"PG";"70117571";"58000000";515;160;6.4000001;56741;1000
3146;"The X Files: I Want to Believe";2008;"USA";108;"English";"PG-13";"20981633";"30000000";492;270;5.9000001;78256;0
51;"Deadline - U.S.A.";1952;"USA";87;"English";"";"";"";28;27;7.19999981;1756;169
6;"The Broadway Melody";1929;"USA";100;"English";"Passed";"2808000";"379000";71;36;6.30000019;4546;167
3187;"A Shine of Rainbows";2009;"Canada";101;"English";"PG";"";"6000000";19;37;7.19999981;1696;1000
3830;"The Darkest Hour";2011;"USA";89;"English";"PG-13";"21426805";"30000000";211;195;4.9000001;49312;0
1472;"The Ladies Man";2000;"USA";84;"English";"R";"13592872";"11000000";79;58;5.0999999;10777;671
3256;"Fantastic Mr. Fox";2009;"USA";87;"English";"PG";"20999103";"40000000";245;335;7.80000019;139114;15000
3616;"The King's Speech";2010;"UK";118;"English";"R";"138795342";"15000000";636;479;8.0;503631;64000
4744;"Spectre";2015;"UK";148;"English";"PG-13";"200074175";"245000000";994;602;6.80000019;275868;85000
2582;"For Your Consideration";2006;"USA";86;"English";"PG-13";"5542025";"12000000";150;144;6.30000019;12197;650
4388;"Closer to the Moon";2014;"Romania";112;"English";"Not Rated";"";"5000000";13;18;7.0999999;2841;0
1713;"Austin Powers in Goldmember";2002;"USA";94;"English";"PG-13";"213079163";"63000000";795;194;6.19999981;162909;0
1917;"Anything Else";2003;"USA";108;"English";"R";"3203044";"18000000";155;128;6.4000001;25165;827
4263;"Snitch";2013;"USA";112;"English";"PG-13";"42919096";"15000000";122;238;6.5;64748;12000
4607;"American Hero";2015;"USA";86;"English";"";"";"990000";23;16;4.9000001;2706;549
4344;"3 Days to Kill";2014;"USA";123;"English";"PG-13";"30688364";"28000000";211;211;6.19999981;69355;10000
4064;"The Lords of Salem";2012;"USA";101;"English";"R";"1163508";"2500000";166;234;5.0999999;20376;15000
2791;"Death Sentence";2007;"USA";111;"English";"R";"9525276";"20000000";299;166;6.80000019;60156;0
1266;"One Man's Hero";1999;"Spain";121;"English";"R";"229311";"11350000";42;10;6.19999981;899;271
658;"Jason Goes to Hell: The Final Friday";1993;"USA";91;"English";"R";"15935068";"2500000";317;112;4.30000019;19331;949
4317;"The Way Way Back";2013;"USA";103;"English";"PG-13";"21501098";"5000000";216;276;7.4000001;115813;22000
958;"Good Will Hunting";1997;"USA";126;"English";"R";"138339411";"10000000";682;161;8.30000019;604904;31000
2594;"I Served the King of England";2006;"Czech Republic";113;"Czech";"R";"617228";"84450000";27;99;7.4000001;6183;1000
1659;"The Fast and the Furious";2001;"USA";106;"English";"PG-13";"144512310";"38000000";988;187;6.69999981;272223;14000
2468;"The Producers";2005;"USA";134;"English";"PG-13";"19377727";"45000000";409;168;6.4000001;35140;0
3156;"Untraceable";2008;"USA";101;"English";"R";"28687835";"35000000";245;195;6.19999981;40964;0
225;"Sorcerer";1977;"USA";92;"English";"PG";"";"12000000";116;84;7.69999981;9513;0
1916;"American Wedding";2003;"USA";74;"English";"R";"104354205";"55000000";332;153;6.30000019;162331;0
3691;"Blackthorn";2011;"Spain";102;"English";"R";"199652";"";40;92;6.5999999;7390;0
3958;"House at the End of the Street";2012;"Canada";101;"English";"PG-13";"31607598";"6900000";160;224;5.5999999;58366;10000
4215;"Lone Survivor";2013;"USA";121;"English";"R";"125069696";"40000000";420;319;7.5999999;203963;58000
289;"Escape from New York";1981;"UK";106;"English";"R";"25244700";"6000000";284;201;7.19999981;91017;0
4589;"Wild";2014;"USA";115;"English";"R";"37877959";"15000000";252;349;7.0999999;86664;38000
314;"The Postman Always Rings Twice";1981;"USA";122;"English";"R";"";"12000000";48;34;6.5999999;16764;1000
4278;"The Christmas Candle";2013;"UK";100;"English";"PG";"2209479";"";34;9;5.80000019;844;962
1009;"The Fifth Element";1997;"France";126;"English";"PG-13";"63540020";"93000000";742;173;7.69999981;343274;18000
4894;"The 5th Wave";2016;"USA";112;"English";"PG-13";"34912982";"38000000";266;194;5.19999981;55617;14000
2757;"A Mighty Heart";2007;"USA";108;"English";"R";"9172810";"16000000";118;190;6.69999981;24150;923
454;"Top Gun";1986;"USA";110;"English";"PG";"176781728";"15000000";388;173;6.9000001;219171;19000
3886;"Zookeeper";2011;"USA";102;"English";"PG";"80360866";"80000000";127;178;5.19999981;44662;0
2730;"This Is England";2006;"UK";101;"English";"Unrated";"327919";"1500000";192;172;7.69999981;99177;11000
2983;"Delgo";2008;"USA";94;"English";"PG";"511920";"40000000";26;41;4.4000001;2458;211
