Device Name,Price,Description,Device Type,Review Count
Lenovo V510 Black,$487.8,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",Laptop,9 reviews
Acer Swift 1 SF113-31 Silver,$488.6,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",Laptop,4 reviews
Dell Vostro 15,$488.8,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",Laptop,14 reviews
Acer Aspire 3 A315-51 Black,$494.7,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",Laptop,2 reviews
Dell Vostro 15 (3568) Red,$497.2,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",Laptop,9 reviews
Lenovo V510 Black,$498.2,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",Laptop,5 reviews
HP 250 G3,$521.0,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",Laptop,13 reviews
Acer Spin 5,$565.0,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",Laptop,0 reviews
HP 350 G1,$578.0,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",Laptop,10 reviews
Aspire E1-572G,$582.0,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",Laptop,2 reviews
Pavilion,$610.0,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",Laptop,4 reviews
Acer Aspire A515-51-5654,$679.0,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",Laptop,9 reviews
Dell Inspiron 15 (5567) Fog Gray,$679.0,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",Laptop,7 reviews
Asus VivoBook S14 (S406UA-BV041T) Starry Grey,$729.0,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",Laptop,2 reviews
ProBook,$740.0,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",Laptop,8 reviews
Inspiron 15,$746.0,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",Laptop,12 reviews
Asus ROG STRIX GL553VD-DM256,$799.0,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",Laptop,7 reviews
Acer Nitro 5 AN515-51,$809.0,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",Laptop,0 reviews
Asus ROG STRIX GL553VD-DM256,$899.0,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",Laptop,7 reviews
Lenovo ThinkPad L570,$999.0,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",Laptop,11 reviews
ThinkPad Yoga,$1034.0,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",Laptop,13 reviews
Lenovo ThinkPad L460,$1096.0,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",Laptop,14 reviews
Dell Inspiron 15 (7567) Black,$1098.4,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",Laptop,7 reviews
MSI GL72M 7RDX,$1099.0,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",Laptop,1 reviews
MSI GL72M 7RDX,$1099.0,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd",Laptop,9 reviews
"Apple MacBook Air 13.3""",$1101.8,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",Laptop,4 reviews
Dell Latitude 5280,$1102.7,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",Laptop,8 reviews
Dell Latitude 5480,$1110.1,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",Laptop,4 reviews
Lenovo Legion Y520-15IKBM,$1112.9,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",Laptop,1 reviews
Toshiba Portege Z30-C-16J Grey,$1114.5,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",Laptop,0 reviews
Acer Predator Helios 300 (PH317-51),$1123.9,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home",Laptop,1 reviews
Acer Aspire 7 A715-71G,$1123.9,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",Laptop,4 reviews
Dell Inspiron 17 2in1 (7779) Silver,$1124.2,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",Laptop,10 reviews
Dell Latitude 5480,$1133.8,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro",Laptop,14 reviews
Lenovo Legion Y520,$1133.9,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",Laptop,13 reviews
Asus AsusPro Advanced BU401LA-FA271G Dark Grey,$1139.5,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",Laptop,7 reviews
Acer Nitro 5 AN515-51,$1140.6,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home",Laptop,14 reviews
Dell Latitude 5480,$1143.4,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",Laptop,5 reviews
Dell Inspiron 15 (7567) Black,$1144.2,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",Laptop,2 reviews
Dell Latitude 5580,$1144.4,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",Laptop,10 reviews
Lenovo Legion Y520-15IKBM,$1149.0,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",Laptop,11 reviews
MSI GP62M 7RDX Leopard,$1149.0,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",Laptop,11 reviews
Lenovo Yoga 720 Grey,$1149.7,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",Laptop,12 reviews
Toshiba Portege Z30-C-16L Grey,$1154.0,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",Laptop,7 reviews
Acer TravelMate P645-S-511A Black,$1170.1,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",Laptop,0 reviews
Dell Latitude 5580,$1178.2,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home",Laptop,6 reviews
ThinkPad T540p,$1179.0,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",Laptop,2 reviews
MSI GS63 7RD Stealth,$1179.0,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home",Laptop,2 reviews
Dell Latitude 5480,$1187.9,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",Laptop,5 reviews
Acer Predator Helios 300 (PH317-51),$1188.0,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home",Laptop,14 reviews
MSI GL62M 7REX,$1199.0,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",Laptop,7 reviews
MSI GL62M 7REX2,$1199.0,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",Laptop,12 reviews
Lenovo Yoga 910 Grey,$1199.7,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",Laptop,7 reviews
Toshiba Portege X30-D-10J Black/Blue,$1203.4,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",Laptop,13 reviews
Lenovo IdeaPad Miix 510 Platinum Silver,$1212.2,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",Laptop,0 reviews
Acer Predator Helios 300 (PH317-51),$1221.6,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",Laptop,9 reviews
ThinkPad Yoga,$1224.0,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",Laptop,2 reviews
Asus VivoBook Pro 15 N580VN-FI006T Gold Metal,$1235.5,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd",Laptop,10 reviews
Dell Latitude 5480,$1238.4,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",Laptop,0 reviews
Asus ZenBook UX530UX-FY040T Blue,$1239.2,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",Laptop,14 reviews
ThinkPad X230,$1245.0,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",Laptop,10 reviews
Asus ROG Strix GL753VE-GC096T,$1259.0,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",Laptop,7 reviews
"Apple MacBook Air 13""",$1260.1,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",Laptop,8 reviews
Dell Latitude 5480,$1271.1,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro",Laptop,13 reviews
Hewlett Packard Spectre 13-v106na Dark Ash Silver,$1273.1,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",Laptop,8 reviews
Dell XPS 13,$1282.0,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",Laptop,4 reviews
Toshiba Portege Z30-C-16K Grey,$1294.7,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",Laptop,6 reviews
MSI GL62VR 7RFX,$1299.0,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",Laptop,1 reviews
Dell Latitude 5480,$1310.4,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",Laptop,8 reviews
ThinkPad X240,$1312.0,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",Laptop,12 reviews
Hewlett Packard ProBook 640 G3,$1326.8,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",Laptop,2 reviews
"Apple MacBook Pro 13"" Space Gray",$1333.0,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",Laptop,0 reviews
Dell Latitude 5580,$1337.3,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro",Laptop,6 reviews
Dell Latitude 5480,$1338.4,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",Laptop,11 reviews
Dell Latitude 5580,$1341.2,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",Laptop,3 reviews
"Apple MacBook Air 13""",$1347.8,"Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS",Laptop,11 reviews
Lenovo ThinkPad T470,$1349.2,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",Laptop,5 reviews
Lenovo ThinkPad Yoga 370 Black,$1362.2,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",Laptop,12 reviews
Toshiba Portege X20W-D-10V Black/Blue,$1366.3,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro",Laptop,11 reviews
Asus ASUSPRO B9440UA-GV0279R Gray,$1381.1,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",Laptop,4 reviews
Lenovo Legion Y720,$1399.0,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",Laptop,8 reviews
Asus ROG Strix GL702VM-GC146T,$1399.0,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd",Laptop,10 reviews
Asus ROG Strix GL702ZC-GC154T,$1769.0,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",Laptop,7 reviews
Asus ROG Strix GL702ZC-GC209T,$1769.0,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",Laptop,8 reviews
Asus ROG Strix SCAR Edition GL503VM-ED115T,$1799.0,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",Laptop,8 reviews
Lenovo IdeaTab,$70.0,"7"" screen, Android",Tablet,7 reviews
IdeaTab A3500L,$89.0,"Black, 7"" IPS, Quad-Core 1.2GHz, 8GB, Android 4.2",Tablet,7 reviews
Acer Iconia,$97.0,"7"" screen, Android, 16GB",Tablet,7 reviews
Galaxy Tab 3,$98.0,"7"", 8GB, Wi-Fi, Android 4.2, White",Tablet,2 reviews
Black,$100.0,"Black, 7"", 1.6GHz Dual-Core, 8GB, Android 4.4",Tablet,1 reviews
Memo Pad HD 7,$102.0,"IPS, Dual-Core 1.2GHz, 8GB, Android 4.3",Tablet,10 reviews
Asus MeMO Pad,$103.0,"7"" screen, Android, 8GB",Tablet,14 reviews
Amazon Kindle,$104.0,"6"" screen, wifi",Tablet,3 reviews
Galaxy Tab 3,$108.0,"7"", 8GB, Wi-Fi, Android 4.2, Yellow",Tablet,14 reviews
IdeaTab A8-50,$122.0,"Blue, 8"" IPS, Quad-Core 1.3GHz, 16GB, Android 4.2",Tablet,13 reviews
MeMO Pad 7,$131.0,"White, 7"", Atom 1.2GHz, 8GB, Android 4.4",Tablet,11 reviews
Blue,$149.0,"Blue, 7"" IPS, Quad-Core 1.3GHz, 8GB, 3G, Android 4.2",Tablet,9 reviews
IdeaTab S5000,$173.0,"Silver, 7"" IPS, Quad-Core 1.2Ghz, 16GB, 3G, Android 4.2",Tablet,8 reviews
Galaxy Tab 4,$234.0,"LTE (SM-T235), Quad-Core 1.2GHz, 8GB, Black",Tablet,1 reviews
Galaxy Tab,$252.0,"16GB, White",Tablet,14 reviews
White,$321.0,"White, 10.1"" IPS, 1.6GHz, 2GB, 16GB, Android 4.2",Tablet,7 reviews
Galaxy Note,$400.0,"10.1"", 3G, Android 4.0, Garnet Red",Tablet,12 reviews
Galaxy Note,$490.0,"12.2"", 32GB, WiFi, Android 4.4, White",Tablet,9 reviews
Wi-Fi + Cellular,$538.0,"Wi-Fi + Cellular, 32GB, Silver",Tablet,8 reviews
"10.1""",$588.0,"10.1"", 32GB, Black",Tablet,6 reviews
Apple iPad Air,$604.0,"Wi-Fi, 64GB, Silver",Tablet,7 reviews
Nokia 123,$25.0,7 day battery,Phone,11 reviews
LG Optimus,$58.0,"3.2"" screen",Phone,11 reviews
Samsung Galaxy,$94.0,5 mpx. Android 5.0,Phone,3 reviews
Nokia X,$110.0,"Andoid, Jolla dualboot",Phone,4 reviews
Sony Xperia,$119.0,"GPS, waterproof",Phone,6 reviews
Ubuntu Edge,$500.0,Sapphire glass,Phone,2 reviews
Iphone,$900.0,White,Phone,10 reviews
Iphone,$900.0,Silver,Phone,8 reviews
Iphone,$900.0,Black,Phone,1 reviews
