"track_name","bpm","key","mode","danceability_%","valence_%","energy_%","acousticness_%","instrumentalness_%","liveness_%","speechiness_%","cover_url","artist_id","date_id","spotify_tracking_id","apple_tracking_id","deezer_tracking_id","shazam_tracking_id"
"Peso Pluma: Bzrp Music Sessions, Vol. 55",133,"F","Minor",85,81,67,26,0,12,5,"https://i.scdn.co/image/ab67616d0000b27315583045b2fdb7d7bab10e81",107,29,96,45,20,18
"SABOR FRESA",130,"G","Minor",79,96,86,9,0,9,9,"https://i.scdn.co/image/ab67616d0000b273cfe3eb72c48b93971e53efd9",109,26,98,46,21,12
"Calm Down (with Selena Gomez)",107,"B","Major",80,82,80,43,0,14,4,"Not Found",111,31,102,48,22,19
"MOJABI GHOST",122,"F#","Minor",81,74,71,14,0,56,4,"https://i.scdn.co/image/ab67616d0000b273de7b9af78fbdda96c5a0635b",112,34,104,49,23,20
"Last Night",204,"F#","Major",52,52,68,46,0,15,4,"https://i.scdn.co/image/ab67616d0000b273fc1df8423733f6f3c9e8dea2",116,35,106,50,24,21
"Dance The Night (From Barbie The Album)",110,"B","Minor",67,78,85,2,0,33,5,"https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192",61,50,108,52,25,14
"Rush",126,"F","Minor",74,35,84,0,0,11,6,"https://i.scdn.co/image/ab67616d0000b273a4ffb2049ffce92bdae5f559",88,52,152,63,26,22
"TULUM",168,"F#","Major",56,63,87,39,0,11,5,"https://i.scdn.co/image/ab67616d0000b2732fb583ed96f8f35cbf2897ba",210,54,155,65,27,23
"Creepin'",98,"C#","Minor",71,17,61,36,0,8,5,"https://i.scdn.co/image/ab67616d0000b273703d523982199b2d1f2c77f5",213,55,156,67,28,24
"Anti-Hero",97,"E","Major",64,51,63,12,0,19,5,"https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5",52,56,157,69,29,25
"TQG",180,"E","Minor",72,61,63,67,0,9,28,"https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335",219,59,159,70,30,26
"Los del Espacio",120,"","Major",81,63,68,11,0,11,4,"Not Found",246,8,161,72,31,27
"Frï¿½ï¿½gil (feat. Grupo Front",150,"F#","Major",61,39,73,37,0,11,3,"Not Found",247,60,163,74,32,28
"Blank Space",96,"F","Major",75,57,68,9,0,13,6,"https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148",52,61,164,76,33,29
"Style",95,"D","Major",60,48,79,0,0,12,4,"https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148",52,61,165,77,34,30
"TQM",125,"F","Minor",79,96,85,27,0,11,6,"https://i.scdn.co/image/ab67616d0000b273832ea5d2f8c10f95fc3cc66d",109,63,168,147,35,31
"El Azul",144,"A","Minor",56,84,65,23,0,10,6,"https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6",262,64,178,150,36,32
"I'm Good (Blue)",128,"G","Minor",56,38,97,4,0,35,4,"Not Found",265,65,182,152,37,33
"See You Again",79,"F#","Major",56,58,56,37,0,11,10,"https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3",267,68,185,154,38,34
"Angels Like You",122,"F","Major",67,49,64,10,0,10,3,"https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142",271,72,187,156,39,35
"I Ain't Worried",140,"","Major",71,82,81,11,0,6,5,"https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13",273,73,189,158,40,36
"Die For You",134,"C#","Minor",59,51,52,9,0,15,7,"https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a",187,74,194,161,41,37
"Die For You - Remix",67,"C#","Minor",53,50,53,23,0,44,7,"Not Found",300,21,195,163,42,38
"El Cielo",106,"A#","Minor",72,17,64,7,0,10,5,"Not Found",302,75,196,165,43,39
"Baby Don't Hurt Me",128,"G","Major",60,23,91,0,0,12,3,"https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a",306,76,198,166,44,40
"AMARGURA",107,"F#","Minor",92,55,70,18,0,15,7,"https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335",311,21,200,167,45,41
"(It Goes Like) Nanana - Edit",130,"G","Minor",67,96,88,12,19,8,4,"https://i.scdn.co/image/ab67616d0000b2739a8459318ff1a68ecfd74522",314,77,202,52,46,14
"Moonlight",137,"G","Minor",64,88,72,51,0,17,5,"https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17",316,21,204,169,47,42
"La Bachata",125,"G","Minor",84,85,68,58,0,22,4,"https://i.scdn.co/image/ab67616d0000b273c9f744b0d62da795bc21d04a",319,78,206,172,48,43
"S91",128,"","Minor",86,42,72,59,0,9,19,"https://i.scdn.co/image/ab67616d0000b273890cfb712167a0186918644e",311,1,209,174,49,44
"cardigan",130,"","Minor",61,53,58,55,0,27,4,"https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc",52,79,210,177,50,45
"Tï¿½ï¿",130,"B","Major",86,59,96,50,1,9,5,"Not Found",380,80,211,179,51,46
"Boy's a liar Pt. 2",133,"F","Major",70,86,81,25,0,25,5,"https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7",398,81,217,182,52,47
"Left and Right (Feat. Jung Kook of BTS)",101,"D","Major",88,72,59,62,0,9,3,"https://i.scdn.co/image/ab67616d0000b27335d2e0ed94a934f2cc46fa49",407,82,219,186,53,14
"BESO",95,"F","Minor",77,53,64,74,0,17,14,"Not Found",420,24,222,187,54,48
"Hey Mor",98,"C#","Minor",90,40,59,0,0,10,29,"https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45",422,84,224,204,55,38
"Karma",90,"G#","Major",64,10,62,7,0,48,7,"https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5",52,56,225,207,56,49
"People",198,"A#","Minor",59,71,42,55,0,10,7,"https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735",428,55,226,210,57,50
"Overdrive",140,"C#","Major",56,48,73,0,0,35,4,"https://i.scdn.co/image/ab67616d0000b27372694fed173af6d24d22eefb",430,1,229,211,58,51
"Enchanted (Taylor's Version)",82,"G#","Major",51,22,53,1,0,15,3,"https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481",52,12,231,213,59,52
"BABY HELLO",130,"C#","Minor",77,84,89,17,0,43,5,"https://i.scdn.co/image/ab67616d0000b2730ff08e0346b55268e735a4e9",432,86,235,215,60,53
"golden hour",94,"C#","Minor",51,14,59,65,18,25,3,"https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954",50,88,237,220,61,54
"Quevedo: Bzrp Music Sessions, Vol. 52",128,"D","Major",62,55,78,1,3,23,4,"https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf",438,90,262,223,62,41
"Here With Me",132,"E","Major",58,27,48,50,0,12,3,"https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7",441,92,264,226,63,55
"Unholy (feat. Kim Petras)",131,"D","Major",71,24,47,1,0,27,9,"https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4",443,94,266,228,64,56
"Yandel 150",168,"F#","Minor",78,58,73,5,0,10,7,"https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700",446,96,284,231,65,8
"CORAZï¿½ï¿½N VA",98,"C#","Major",68,40,79,33,0,30,6,"Not Found",449,26,287,234,66,57
"Until I Found You (with Em Beihold) - Em Beihold Version",101,"A#","Major",34,32,57,78,0,20,3,"Not Found",452,98,289,236,67,58
"Novidade na ï¿½ï¿",130,"F","Major",63,36,34,76,0,35,9,"Not Found",455,86,291,238,68,59
"Back To December (Taylor's Version)",142,"D","Major",50,20,64,1,0,12,3,"https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481",52,12,292,240,69,60
"El Merengue",124,"G#","Minor",78,70,68,3,1,11,4,"https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f",457,100,294,242,70,61
"Me Porto Bonito",92,"C#","Minor",91,43,71,9,0,9,8,"Not Found",477,102,296,244,71,62
"Fast Car",98,"G#","Major",71,67,60,19,0,12,3,"https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1",478,24,298,246,72,63
"What It Is (Solo Version)",172,"C#","Minor",74,76,76,6,0,10,9,"https://i.scdn.co/image/ab67616d0000b2732ee85751f6f503fa9a533eba",480,16,299,248,41,64
"Coco Chanel",150,"D","Major",68,14,76,4,0,10,4,"Not Found",483,16,301,249,73,30
"Donï¿½ï¿½ï¿½t Bl",136,"A","Minor",62,19,53,11,0,6,4,"Not Found",52,104,359,251,74,65
"Still With You",88,"C#","Minor",53,34,47,9,0,83,4,"https://i.scdn.co/image/ab67616d0000b273a7f42c375578df426b37638d",489,106,360,253,75,14
"All My Life (feat. J. Cole)",143,"D#","Major",83,69,44,15,0,10,33,"Not Found",492,108,361,255,76,66
"Say Yes To Heaven",100,"F#","Minor",49,17,35,71,9,11,3,"https://i.scdn.co/image/ab67616d0000b273aa27708d07f49c82ff0d0dae",506,16,364,257,77,14
"Snooze",143,"F","Major",56,39,55,14,0,11,13,"https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1",16,111,366,259,18,67
"Take Two",93,"G","Major",62,57,59,3,0,38,3,"https://i.scdn.co/image/ab67616d0000b2738a701e76e8845928f6cd81c8",288,113,368,260,78,68
"Lover",206,"G","Major",43,50,55,50,0,15,10,"https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647",52,115,373,262,79,52
"Too Many Nights (feat. Don Toliver & with Future)",88,"G","Minor",68,17,71,15,0,11,5,"https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2",513,55,376,265,80,69
"Chemical",170,"D","Major",50,37,90,0,0,12,5,"https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c",430,116,380,267,81,70
"New Jeans",134,"E","Minor",81,53,72,51,0,12,5,"https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af",84,12,382,273,82,71
"Primera Cita",158,"A#","Major",54,50,40,61,0,10,6,"https://i.scdn.co/image/ab67616d0000b273dc0bb68a08c069cf8467f1bd",521,117,384,274,83,72
"Dandelions",117,"C#","Major",61,45,69,2,0,9,3,"https://i.scdn.co/image/ab67616d0000b27397e971f3e53475091dc8d707",522,118,386,276,84,73
"Bones",114,"F","Minor",77,65,72,2,0,7,5,"https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13",523,119,388,278,85,74
"Money Trees",144,"E","Minor",74,37,53,7,0,21,10,"https://i.scdn.co/image/ab67616d0000b273d28d2ebdedb220e479743797",527,115,389,280,86,75
"Tak Segampang Itu",130,"F","Major",51,18,44,76,0,11,3,"https://i.scdn.co/image/ab67616d0000b2732844c4e4e984ea408ab7fd6f",529,55,390,282,74,76
"LAGUNAS",116,"B","Major",77,79,62,33,1,15,3,"Not Found",531,26,391,284,87,27
"Mine (Taylor's Version)",121,"G","Major",65,49,78,0,0,17,4,"https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481",52,12,397,286,88,14
"No Role Modelz",100,"A#","Minor",70,47,52,30,0,6,33,"https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8",535,120,566,288,89,77
"Tattoo",150,"D#","Minor",55,30,78,24,0,12,8,"https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6",537,121,568,290,90,78
"Rara Vez",120,"F","Minor",84,96,71,18,0,34,17,"https://i.scdn.co/image/ab67616d0000b273d467bed4e6b2a01ea8569100",539,122,570,292,91,79
"VAGABUNDO",127,"B","Minor",82,89,85,4,0,23,6,"Not Found",541,108,572,294,92,80
"august",90,"F","Major",51,42,61,53,0,9,3,"https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc",52,79,574,295,93,81
"LUNA",128,"A","Minor",75,79,63,33,0,15,4,"Not Found",262,26,582,297,94,82
"Miracle (with Ellie Goulding)",143,"A","Major",64,31,87,4,4,8,4,"https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0",546,123,583,299,95,83
"Nonsense",139,"G#","Major",74,68,68,3,0,26,4,"https://i.scdn.co/image/ab67616d0000b273700f7bf79c9f063ad0362bdf",547,88,584,301,96,84
"Que Vuelvas",162,"A#","Major",49,78,64,19,0,11,4,"https://i.scdn.co/image/ab67616d0000b2735c7336d25ca101fbb0855647",548,111,588,302,97,85
"Por las Noches",92,"","Major",81,39,60,31,0,7,3,"https://i.scdn.co/image/ab67616d0000b273427d9aa38866b43ed45f6b0c",550,124,589,305,98,86
"Feliz Cumpleaï¿½ï¿½os Fe",95,"F","Major",87,57,55,10,0,29,7,"Not Found",399,125,590,307,99,87
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",128,"B","Major",78,59,65,10,0,26,5,"Not Found",432,127,592,309,100,79
"Queencard",130,"E","Minor",82,69,83,3,0,27,5,"https://i.scdn.co/image/ab67616d0000b27382dd2427e6d302711b1b9616",462,15,596,311,101,88
"OMG",127,"A","Minor",80,74,77,36,0,11,4,"https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01",84,129,598,316,24,89
"Radio",150,"D","Major",42,20,86,21,0,9,9,"https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7",506,131,600,318,102,90
"Shakira: Bzrp Music Sessions, Vol. 53",122,"D","Minor",78,50,63,27,0,9,5,"Not Found",576,133,601,320,103,89
"505",140,"","Major",52,20,85,0,0,7,5,"https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90",105,135,602,322,104,91
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",140,"","Major",63,22,54,46,0,12,8,"https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f",578,75,604,324,105,92
"Trance (with Travis Scott & Young Thug)",119,"C#","Minor",75,48,53,18,0,18,34,"https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2",579,55,605,325,106,41
"Tere Vaaste (From ""Zara Hatke Zara Bachke"""")""",110,"G","Minor",76,96,72,32,0,9,4,"Not Found",580,137,607,326,107,93
"Romantic Homicide",132,"F#","Major",56,20,55,45,1,32,3,"https://i.scdn.co/image/ab67616d0000b273bd1a52b3d5903ee01c216da0",441,139,609,327,108,94
"Novo Balanï¿½",124,"D#","Minor",84,65,50,67,0,13,6,"Not Found",582,63,610,329,109,95
"Gol Bolinha, Gol Quadrado 2",133,"B","Minor",93,68,65,42,0,12,25,"https://i.scdn.co/image/ab67616d0000b27319d60821e80a801506061776",583,8,612,331,110,95
"QUEMA",97,"","Major",79,92,89,5,0,6,5,"Not Found",584,52,614,333,111,96
"Stargirl Interlude",90,"F","Minor",59,52,48,38,5,10,11,"https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a",586,74,615,335,69,91
"Ojitos Lindos",80,"D#","Minor",65,27,69,8,0,53,4,"Not Found",589,102,618,337,112,97
"Those Eyes",120,"E","Major",60,24,35,73,0,31,3,"https://i.scdn.co/image/ab67616d0000b2731bb5dc21200bfc56d8f7ef41",594,141,619,338,113,98
"El Gordo Trae El Mando",140,"G","Minor",74,96,80,18,0,5,5,"https://i.scdn.co/image/ab67616d0000b2736a6ab689151163a1e9f60f36",595,144,620,340,87,99
"Mi Bello Angel",128,"A","Minor",81,90,77,1,0,9,5,"https://i.scdn.co/image/ab67616d0000b273e2e093427065eaca9e2f2970",596,5,622,342,114,57
"Bye",122,"","Major",78,70,81,57,0,10,5,"https://i.scdn.co/image/ab67616d0000b27310c8a001a18fd9f1b3552a9d",550,145,625,344,59,100
"Danza Kuduro",130,"","Major",47,86,92,8,0,5,24,"https://i.scdn.co/image/ab67616d0000b2734640a26eb27649006be29a94",598,146,626,349,115,101
"Nosso Quadro",160,"A","Major",69,61,71,33,0,31,20,"Not Found",599,147,627,351,116,59
"Locked Out Of Heaven",144,"F","Major",73,87,70,6,0,28,5,"https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46",418,149,629,52,117,14
"Un Finde | CROSSOVER #2",192,"B","Major",50,85,52,11,0,28,6,"Not Found",601,151,639,352,118,102
"Jimmy Cooks (feat. 21 Savage)",163,"","Major",54,40,67,0,0,9,17,"https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37",471,152,640,353,119,71
"PRC",138,"G","Minor",78,89,83,10,0,12,5,"Not Found",603,154,641,355,120,103
"Gasolina",96,"","Major",86,74,80,33,0,8,6,"https://i.scdn.co/image/ab67616d0000b2736bdcdf82ecce36bff808a40c",129,156,643,357,121,104
"Enchanted",164,"G#","Major",45,24,62,8,0,16,3,"https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481",52,146,654,359,122,105
"Save Your Tears",118,"","Major",68,61,82,2,0,50,3,"https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36",187,158,656,361,123,106
"Sure Thing",81,"B","Minor",68,51,60,3,0,19,10,"https://i.scdn.co/image/ab67616d0000b273d5a8395b0d80b8c48a5d851c",607,160,658,363,124,107
"Every Breath You Take - Remastered 2003",117,"C#","Major",82,73,45,54,0,7,3,"https://i.scdn.co/image/ab67616d0000b2730408dc279dd7c7354ff41014",608,162,659,368,125,108
"The Night We Met",174,"D","Major",45,10,37,97,25,64,4,"https://i.scdn.co/image/ab67616d0000b2739d2efe43d5b7ebc7cb60ca81",609,165,660,370,126,64
"When I Was Your Man",145,"","Major",60,43,27,94,0,14,4,"https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46",418,149,661,52,127,14
"Let Me Down Slowly",150,"C#","Minor",65,51,55,73,0,14,3,"https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370",611,167,662,52,128,14
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",90,"A","Minor",60,13,53,4,0,21,4,"https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f",612,75,664,372,129,81
"ýýýýýýýýýýýý",166,"C#","Major",57,84,94,11,0,37,9,"Not Found",613,169,665,373,94,109
"Reminder",160,"G#","Major",71,40,50,16,0,16,22,"https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452",187,171,667,374,130,110
"SNAP",170,"","Major",56,53,64,11,0,45,6,"https://i.scdn.co/image/ab67616d0000b2731391b1fdb63da53e5b112224",373,173,668,376,131,14
"Fin de Semana",98,"","Major",70,37,54,6,0,9,8,"https://i.scdn.co/image/ab67616d0000b2739b7e1ea3815a172019bc5e56",616,175,671,378,88,111
"Car's Outside",150,"A","Major",34,24,56,4,0,11,3,"https://i.scdn.co/image/ab67616d0000b273dc16d839ab77c64bdbeb3660",617,177,673,379,132,112
"Apocalypse",94,"F","Major",37,17,47,2,46,11,3,"https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161",618,179,682,380,133,113
"Cheques",90,"E","Minor",74,36,63,26,0,27,5,"https://i.scdn.co/image/ab67616d0000b2731a8c4618eda885a406958dd0",619,63,685,381,74,114
"Pink + White",160,"A","Major",54,54,55,67,0,42,11,"https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526",536,181,686,382,134,115
"Circles",120,"","Major",70,59,75,24,0,9,4,"https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02",430,183,688,383,135,47
"Bebe Dame",157,"G","Major",54,75,60,30,0,7,5,"https://i.scdn.co/image/ab67616d0000b2735f3aef5159749e4b61686670",622,185,689,384,136,116
"You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve",130,"F#","Major",63,49,73,5,0,9,3,"Not Found",52,186,691,385,107,117
"Titi Me Preguntï¿",107,"F","Minor",65,19,72,10,0,13,25,"Not Found",27,102,692,386,137,118
"Better Than Revenge (Taylor's Version)",146,"B","Minor",50,67,89,0,0,19,8,"https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481",52,12,693,387,138,91
"Shut up My Moms Calling",139,"A","Minor",48,37,41,32,0,10,10,"https://i.scdn.co/image/ab67616d0000b273350ab7a839c04bfd5225a9f5",49,187,694,388,139,119
"Have You Ever Seen The Rain?",116,"","Major",74,76,70,7,0,13,3,"https://i.scdn.co/image/ab67616d0000b27351f311c2fb06ad2789e3ff91",627,188,695,389,140,46
"Es un Secreto",95,"F#","Minor",84,52,77,12,0,7,4,"https://i.scdn.co/image/ab67616d0000b273913ef74e0272d688c512200b",628,189,697,390,139,14
"POLARIS - Remix",170,"G#","Minor",62,55,80,15,0,37,7,"Not Found",629,190,698,391,141,120
"Ditto",134,"F#","Minor",81,18,64,3,0,10,11,"https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f",84,191,700,392,142,121
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",146,"B","Minor",61,20,48,21,0,12,6,"https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f",631,75,701,393,143,65
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)",74,"A#","Minor",53,24,67,11,0,10,28,"https://i.scdn.co/image/ab67616d0000b273445afb6341d2685b959251cc",632,192,705,394,24,14
"Acrï¿½ï¿½s",144,"B","Major",75,35,48,84,0,10,12,"Not Found",633,193,707,395,144,122
"AMG",136,"B","Minor",77,79,73,15,0,27,10,"https://i.scdn.co/image/ab67616d0000b273fbf10e7799f39fbcd301e55a",634,194,708,396,145,87
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"""")""",100,"E","Major",56,53,55,53,0,12,4,"Not Found",635,15,710,397,107,122
"S-Class",105,"F","Minor",89,67,78,9,0,7,33,"https://i.scdn.co/image/ab67616d0000b273e27ba26bc14a563bf3d09882",141,75,711,398,69,17
"Hits Different",106,"F","Major",67,24,78,15,0,30,4,"https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0",52,145,714,399,146,14
"Chanel",132,"D","Major",85,53,68,40,0,9,4,"https://i.scdn.co/image/ab67616d0000b273c3bb167f0e78b15e5588c296",638,195,715,400,147,51
"Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)",120,"A","Major",78,5,30,21,0,13,5,"https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f",639,75,716,401,69,119
"Area Codes",155,"C#","Major",82,51,39,2,0,9,49,"https://i.scdn.co/image/ab67616d0000b2733eecc265c134153c14794aab",640,16,717,402,148,48
"Abcdario",129,"G#","Major",70,42,43,78,0,11,3,"Not Found",641,196,719,404,149,123
"Obsessed",135,"F","Minor",80,85,74,62,0,8,9,"Not Found",642,197,731,406,150,124
"Piï¿½ï¿½man Deï¿",98,"A#","Minor",73,45,62,28,0,13,13,"Not Found",643,75,732,408,149,125
"FLOWER",124,"A","Minor",84,64,39,3,0,11,4,"https://i.scdn.co/image/ab67616d0000b273f35b8a6c03cc633f734bd8ac",644,22,734,410,151,126
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",135,"A","Minor",77,28,55,18,0,22,15,"https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f",645,75,735,412,69,14
"Eyes Closed",107,"D","Major",78,39,53,30,0,11,6,"https://i.scdn.co/image/ab67616d0000b273a0aea3805ed6a87aa394c796",466,2,736,414,152,127
"Escapism.",96,"D","Major",54,25,74,14,0,9,11,"https://i.scdn.co/image/ab67616d0000b27394e5237ce925531dbb38e75f",647,199,738,416,153,128
"La Jumpa",123,"G#","Major",71,58,70,30,0,32,19,"https://i.scdn.co/image/ab67616d0000b27330326b23e30ae93d4d48165b",648,201,739,418,154,60
"Karma (feat. Ice Spice)",90,"G#","Major",62,7,62,6,0,58,6,"https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0",649,145,741,422,105,14
"Superhero (Heroes & Villains) [with Future & Chris Brown]",117,"F","Minor",72,45,59,14,0,20,21,"https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2",650,55,742,424,155,129
"Las Morras",133,"A","Minor",78,90,84,31,0,7,4,"Not Found",651,151,744,426,149,91
"CHORRITO PA LAS ANIMAS",96,"G#","Minor",74,61,83,11,0,35,6,"https://i.scdn.co/image/ab67616d0000b2737cc7b0d6a82846cd8b158f99",399,55,745,427,156,87
"Ch y la Pizza",149,"G#","Major",66,85,60,40,0,14,13,"https://i.scdn.co/image/ab67616d0000b273cdbbe3160616f7c85e2eb2c8",653,205,747,428,157,77
