"track_name","artist_name","artist_id","artist_count"
"AMARGURA","Karol G",311,1
"Cash In Cash Out","Pharrell Williams, Tyler, The Creator, 21 Savage",312,4
"Potion (with Dua Lipa & Young Thug)","Calvin Harris, Dua Lipa, Young Thug",313,3
"(It Goes Like) Nanana - Edit","Peggy Gou",314,1
"Born Singer","BTS",315,0
"Moonlight","Kali Uchis",316,1
"Little Freak","Harry Styles",317,0
"La Llevo Al Cielo (Ft. ï¿½ï¿½engo F","Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",318,4
"La Bachata","Manuel Turizo",319,1
"True Love","Kanye West, XXXTENTACION",320,2
"Satellite","Harry Styles",321,0
"Pass The Dutchie","Musical Youth",322,1
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",323,2
"Don't Be Shy","Tiï¿½ï¿½sto, Kar",324,2
"LA FAMA (with The Weeknd)","The Weeknd, ROSALï¿½",325,2
"S91","Karol G",326,0
"The Family Madrigal","Olga Merediz, Stephanie Beatriz, Encanto - Cast",327,3
"cardigan","Taylor Swift",328,0
"Love Of My Life","Harry Styles",329,0
"Phantom Regret by Jim","The Weeknd",330,0
"Grapejuice","Harry Styles",331,0
"So Good","Halsey",332,1
"Belly Dancer","BYOR, Imanbek",333,2
"Keep Driving","Harry Styles",334,0
"Cinema","Harry Styles",335,0
"Die Young (feat. 347aidan)","Sleepy hallow, 347aidan",336,2
"Dos Oruguitas","Sebastian Yatra",337,0
"Only Love Can Hurt Like This","Paloma Faith",338,1
"Freaks","Surf Curse",339,1
"Hold My Hand","Lady Gaga",340,1
"Daydreaming","Harry Styles",341,0
"Acapulco","Jason Derulo",342,1
"Numb","Marshmello, Khalid",343,2
"Daddy Issues","The Neighbourhood",344,0
"Nos Comemos (feat. Ozuna)","Ozuna, Tiago pzk",345,2
"Me and Your Mama","Childish Gambino",346,1
"thought i was playing","21 Savage, Gunna",347,2
"Crazy What Love Can Do","David Guetta, Ella Henderson, Becky Hill",348,3
"SLOW DANCING IN THE DARK","Joji",349,0
"ELEVEN","IVE",350,0
"Antes de Perderte","Duki",351,1
"Boyfriends","Harry Styles",352,0
"What Else Can I Do?","Stephanie Beatriz, Diane Guerrero",353,2
"295","Sidhu Moose Wala",354,1
"DANCE CRIP","Trueno",355,1
"Miserable Man","David Kushner",356,1
"Tak Ingin Usai","Keisya Levronka",357,1
"happier","Olivia Rodrigo",358,0
"En El Radio Un Cochinero","Victor Cibrian",359,1
"Praise God","Kanye West",360,1
"Master of Puppets (Remastered)","Metallica",361,1
"BREAK MY SOUL","Beyoncï¿",362,1
"Get Into It (Yuh)","Doja Cat",363,0
"ULTRA SOLO REMIX","De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",364,5
"Before You Go","Lewis Capaldi",365,1
"Massive","Drake",366,1
"Betty (Get Money)","Yung Gravy",367,1
"Ojos Marrones","Lasso",368,1
"POP!","Nayeon",369,1
"Layla","Schï¿½ï¿½rze, DJ R",370,2
"MORE","j-hope",371,1
"Last Last","Burna Boy",372,1
"SNAP","Rosa Linn",373,1
"Sticky","Drake",374,0
"Hot Shit (feat. Ye & Lil Durk)","Kanye West, Lil Durk, Cardi B",375,3
"Ai Preto","L7nnon, DJ Biel do Furduncinho, Bianca",376,3
"La Loto","Anitta, Tini, Becky G",377,3
"die first","Nessa Barrett",378,1
"Afraid To Feel","LF System",379,1
"Tï¿½ï¿","dennis, MC Kevin o Chris",380,2
"Sky","Playboi Carti",381,1
"Sobrio","Maluma",382,1
"Peru","Ed Sheeran, Fireboy DML",383,2
"favorite crime","Olivia Rodrigo",384,0
"Thunder","Prezioso, Gabry Ponte, LUM!X",385,3
"The Business","Tiï¿½ï¿",386,1
"positions","Ariana Grande",387,1
"Baile no Morro","Mc Vitin Da Igrejinha, MC Tairon, DJ Win",388,3
"I WANNA BE YOUR SLAVE","Mï¿½ï¿½ne",389,0
"cï¿½ï¿½mo dormi","Rels B",390,1
"Vai Lï¿½ï¿½ Em Casa ","Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",391,2
"The Feels","TWICE",392,1
"Bad Decisions (with BTS & Snoop Dogg)","Snoop Dogg, BTS, Benny Blanco",393,3
"HEARTBREAK ANNIVERSARY","Giveon",394,1
"STAYING ALIVE (feat. Drake & Lil Baby)","Drake, DJ Khaled, Lil Baby",395,3
"OUT OUT (feat. Charli XCX & Saweetie)","Charli XCX, Jax Jones, Joel Corry, Saweetie",396,4
"Caile","Luar La L",397,1
"Boy's a liar Pt. 2","PinkPantheress, Ice Spice",398,2
"Si Te La Encuentras Por Ahï¿","Feid",399,1
"Pope Is a Rockstar","SALES",400,1
"GIVENCHY","Duki",401,0
"2055","Sleepy hallow",402,1
"ALIEN SUPERSTAR","Beyoncï¿",403,0
"Mary On A Cross","Ghost",404,1
"Bored","Billie Eilish",405,1
"Attention","NewJeans",406,0
"Left and Right (Feat. Jung Kook of BTS)","Charlie Puth, BTS, Jung Kook",407,3
"Happier Than Ever - Edit","Billie Eilish",408,0
"THE SHADE","Rex Orange County",409,1
"Come Back Home - From ""Purple Hearts""""""","Sofia Carson",410,1
"Astronaut In The Ocean","Masked Wolf",411,1
"El Rescate","Grupo Marca Registrada, Junior H",412,2
"Ley Seca","Anuel Aa, Jhay Cortez",413,2
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",414,4
"Siempre Pendientes","Peso Pluma, Luis R Conriquez",415,2
"Every Summertime","NIKI",416,1
"JGL","Luis R Conriquez, La Adictiva",417,2
"Talking To The Moon","Bruno Mars",418,1
"Don't You Worry","David Guetta, Shakira, Black Eyed Peas",419,3
"BESO","Rauw Alejandro, ROSALï¿½",420,2
"you broke me first","Tate McRae",421,1
"Hey Mor","Ozuna, Feid",422,2
"Take My Breath","The Weeknd",423,0
"Pipoco","Melody, Ana Castela, Dj Chris No Beat",424,3
"Hold Me Closer","Elton John, Britney Spears",425,2
"Karma","Taylor Swift",426,0
"Forget Me","Lewis Capaldi",427,0
"People","Libianca",428,1
"After LIKE","IVE",429,0
"Overdrive","Post Malone",430,1
"Enchanted (Taylor's Version)","Taylor Swift",431,0
"BABY HELLO","Rauw Alejandro, Bizarrap",432,2
"Bound 2","Kanye West",433,0
"B.O.T.A. (Baddest Of Them All) - Edit","Interplanetary Criminal, Eliza Rose",434,2
"golden hour","JVKE",435,0
"Talk that Talk","TWICE",436,0
"Way 2 Sexy (with Future & Young Thug)","Drake, Future, Young Thug",437,3
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",438,2
"BILLIE EILISH.","Armani White",439,1
"Ferxxo 100","Feid",440,0
"Here With Me","d4vd",441,1
"KU LO SA - A COLORS SHOW","Oxlade",442,1
"Unholy (feat. Kim Petras)","Sam Smith, Kim Petras",443,2
"Prohibidox","Feid",444,0
"Static","Steve Lacy",445,1
"Yandel 150","Yandel, Feid",446,2
"Sparks","Coldplay",447,1
"Talk","YEAT",448,0
"CORAZï¿½ï¿½N VA","Maria Becerra",449,1
"XQ Te Pones Asï¿","Yandel, Feid",450,0
"Selfish","PnB Rock",451,1
"Until I Found You (with Em Beihold) - Em Beihold Version","Em Beihold, Stephen Sanchez",452,2
"Sin Seï¿½ï","Ovy On The Drums, Quevedo",453,2
"Lady Mi Amor","Feid",454,0
"Novidade na ï¿½ï¿","Mc Livinho, DJ Matt D",455,2
"Back To December (Taylor's Version)","Taylor Swift",456,0
"El Merengue","Marshmello, Manuel Turizo",457,2
"Poland","Lil Yachty",458,1
"THE LONELIEST","Mï¿½ï¿½ne",459,0
"Bye Bye","Marshmello, Juice WRLD",460,2
"BABY OTAKU","Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",461,4
"Nxde","(G)I-DLE",462,1
"Miss You","Southstar",463,1
"we fell in love in october","girl in red",464,1
"2 Be Loved (Am I Ready)","Lizzo",465,0
"Celestial","Ed Sheeran",466,1
"Typa Girl","BLACKPINK",467,1
"California Breeze","Lil Baby",468,0
"Bamba (feat. Aitch & BIA)","Luciano, Aitch, Bï¿½",469,3
"Casei Com a Putaria","MC Ryan SP, Love Funk, Mc Paiva ZS",470,3
"Major Distribution","Drake, 21 Savage",471,2
"Pussy & Millions (feat. Travis Scott)","Drake, Travis Scott, 21 Savage",472,3
"Vigilante Shit","Taylor Swift",473,0
"Question...?","Taylor Swift",474,0
"On BS","Drake, 21 Savage",475,0
"Mastermind","Taylor Swift",476,0
"Me Porto Bonito","Chencho Corleone, Bad Bunny",477,2
"Fast Car","Luke Combs",478,1
"Circo Loco","Drake, 21 Savage",479,0
"What It Is (Solo Version)","Doechii",480,1
"Labyrinth","Taylor Swift",481,0
"Spin Bout U","Drake, 21 Savage",482,0
"Coco Chanel","Bad Bunny, Eladio Carrion",483,2
"Sweet Nothing","Taylor Swift",484,0
"Would've, Could've, Should've","Taylor Swift",485,0
"Donï¿½ï¿½ï¿½t Bl","Taylor Swift",486,0
"Con La Brisa","Ludwig Goransson, Foudeqush",487,2
"Cï¿½ï¿½","Rauw Alejandro",488,0
"Still With You","Jung Kook",489,1
"Privileged Rappers","Drake, 21 Savage",490,0
"Enemy - from the series Arcane League of Legends","Imagine Dragons, League of Legends, Arcane",491,3
"All My Life (feat. J. Cole)","J. Cole, Lil Durk",492,2
"Quï¿½ï¿½ Mï¿½ï¿","J Balvin, Maria Becerra",493,2
"Fair Trade (with Travis Scott)","Drake, Travis Scott",494,2
"The Astronaut","Jin",495,1
"Bar","Tini, L-Gante",496,2
"BackOutsideBoyz","Drake",497,0
"The Rumbling (TV Size)","SiM",498,1
"family ties (with Kendrick Lamar)","Kendrick Lamar, Baby Keem",499,2
"Blessed-Cursed","ENHYPEN",500,1
"AM Remix","J Balvin, Nio Garcia, Bad Bunny",501,3
"Streets","Doja Cat",502,0
"Polaroid Love","ENHYPEN",503,0
"Leave Before You Love Me (with Jonas Brothers)","Marshmello, Jonas Brothers",504,2
"Permission to Dance","BTS",505,0
"Say Yes To Heaven","Lana Del Rey",506,1
"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",507,4
"RAPSTAR","Polo G",508,1
"Snooze","SZA",509,0
"Se Le Ve","Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",510,8
"Take Two","BTS",511,0
"Lover","Taylor Swift",512,0
"Too Many Nights (feat. Don Toliver & with Future)","Future, Metro Boomin, Don Toliver",513,3
"25k jacket (feat. Lil Baby)","Gunna, Lil Baby",514,2
"When Iï¿½ï¿½ï¿½m Gone (with Katy ","Katy Perry, Alesso",515,2
"Esqueï¿½ï¿½a-Me Se For C","Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",516,2
"Chemical","Post Malone",517,0
