industry_description,number_of_establishments_all_employment_sizes_2016,number_of_establishments_total_employment_of_20_and_over_2016,number_of_establishments_total_employment_of_less_than_20_2016,total_employment_all_employment_sizes_2016,total_employment_total_employment_of_20_and_over_2016,total_employment_total_employment_of_less_than_20_2016,paid_employees_all_employment_sizes_2016,paid_employees_total_employment_of_20_and_over_2016,paid_employees_total_employment_of_less_than_20_2016,total_income_all_employment_sizes_2016,total_income_total_employment_of_20_and_over_2016,total_income_total_employment_of_less_than_20_2016,total_expense_all_employment_sizes_2016,total_expense_total_employment_of_20_and_over_2016,total_expense_total_employment_of_less_than_20_2016,compensation_all_employment_sizes_2016,compensation_total_employment_of_20_and_over_2016,compensation_total_employment_of_less_than_20_2016,other_expense_all_employment_sizes_2016,other_expense_total_employment_of_20_and_over_2016,other_expense_total_employment_of_less_than_20_2016,value_added_all_employment_sizes_2016,value_added_total_employment_of_20_and_over_2016,value_added_total_employment_of_less_than_20_2016,gross_additions_to_fixed_assets_all_employment_sizes_2016,gross_additions_to_fixed_assets_total_employment_of_20_and_over_2016,gross_additions_to_fixed_assets_total_employment_of_less_than_20_2016,change_in_inventories_all_employment_sizes_2016,change_in_inventories_total_employment_of_20_and_over_2016,change_in_inventories_total_employment_of_less_than_20_2016,subsidies_all_employment_sizes_2016,subsidies_total_employment_of_20_and_over_2016,subsidies_total_employment_of_less_than_20_2016,e-commerce_sales_all_employment_sizes_2016,e-commerce_sales_total_employment_of_20_and_over_2016,e-commerce_sales_total_employment_of_less_than_20_2016
Investment house operation,59,16,43,1474,1304,169,1474,1304,169,7279693,7005923,273770,4573998,4447814,126184,1337776,1289619,48157,3236222,3158195,78027,6020984,5807271,213713,106406,106515,-109,1764,1764,0,0,0,0,0,0,0
"Securities dealership, own account",52,14,38,784,546,238,780,542,238,6658091,6209206,448884,5845968,4108361,1737608,2000317,1946424,53894,3845651,2161937,1683714,2908895,4117177,-1208282,20220,20220,0,-7765,0,-7765,0,0,0,0,0,0
Trust and investment management corporation operation,4,0,0,65,0,0,65,0,0,2186732,0,0,1862809,0,0,69719,0,0,1793090,0,0,665724,0,0,42373,0,0,-1485,0,0,0,0,0,0,0,0
Financial leasing,8,0,0,205,0,0,205,0,0,2792754,0,0,1964046,0,0,179983,0,0,1784063,0,0,1774458,0,0,2129,0,0,6,0,0,0,0,0,0,0,0
Credit card activities,13,4,9,1721,1630,91,1721,1630,91,14236174,13977704,258470,10020571,9824018,196552,1766990,1741862,25128,8253580,8082156,171424,12100913,11973919,126994,86176,70597,15579,0,0,0,0,0,0,0,0,0
Lending investor activities,1305,172,1133,95390,18557,76833,95201,18470,76730,11380012,8394645,2985367,8891607,6805193,2086414,3972435,2997512,974923,4919172,3807680,1111491,8494346,6210609,2283737,149738,134951,14787,16033,25711,-9679,31633,31633,0,0,0,0
Financing company operations,372,116,256,31025,26879,4147,31018,26872,4147,64301181,61941527,2359653,42345533,40413157,1932376,8780675,7871320,909356,33564857,32541837,1023020,43126227,41586512,1539715,324689,321049,3640,-116472,-118247,1776,750000,750000,0,0,0,0
"Other credit granting, n.e.c",61,23,38,16081,15449,632,15981,15449,532,11965958,10048350,1917608,9959704,7039904,2919800,4825632,3746338,1079293,5134072,3293566,1840506,8655457,7773702,881755,429668,104873,324794,-492,-492,0,0,0,0,0,0,0
Pawnshop operations,1292,153,1139,27089,21660,5429,26967,21623,5344,16131823,14463792,1668031,13305730,11865532,1440198,5559677,4917827,641850,7746054,6947705,798349,10244054,9214358,1029695,120326,120326,0,461,461,0,15172,15172,0,0,0,0
Mutual building and loan association operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-stock savings and loan association operation,66,12,54,2836,2419,417,2726,2419,307,28817308,28636580,180728,21027271,20929470,97802,1288974,1241313,47661,19738297,19688157,50140,10765533,10626970,138563,281097,279783,1314,324,-200,524,0,0,0,0,0,0
Credit cooperative activities,2351,224,2127,37774,18772,19002,36524,18528,17995,35660735,25817288,9843447,24959866,17186352,7773514,7899856,4579511,3320345,17060010,12606841,4453169,22279847,15152141,7127706,2993803,1082474,1911329,21724,-72708,94433,17213,17213,0,0,0,0
Mutual benefit association operation,17,7,10,1509,1426,83,1509,1426,83,11205350,10923807,281543,6982993,6730512,252481,844015,814057,29957,6138979,5916455,222524,5503284,5389040,114243,67610,67610,0,3616,2544,1072,0,0,0,0,0,0
"Non-bank thrift institution operations, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Life insurance,39,28,11,10170,10113,57,10170,10113,57,202000934,201930576,70358,153856444,153814453,41992,14969516,14959305,10211,138886928,138855147,31781,66742229,66696399,45830,-1696527,-1696527,0,750,750,0,0,0,0,0,0,0
Non-life insurance,96,62,34,11920,10837,1083,11920,10837,1083,65569396,54264247,11305149,57472693,46460378,11012315,7116064,6381881,734183,50356629,40078497,10278132,17753091,16579961,1173130,1006088,1005822,266,-32719,-36803,4084,0,0,0,0,0,0
Pension funding,6,3,3,210,190,20,210,190,20,943212,922268,20944,472006,453955,18050,140151,132853,7298,331854,321103,10752,486691,476293,10398,1273,1273,0,135,135,0,0,0,0,0,0,0
Administration of financial markets,4,0,0,163,0,0,163,0,0,1775831,0,0,807687,0,0,232573,0,0,575114,0,0,1313932,0,0,196,0,0,0,0,0,0,0,0,0,0,0
Security and commodity contracts brokerage,45,11,34,612,323,290,612,323,290,2498771,2142097,356674,2122750,1869442,253308,584656,466719,117937,1538094,1402723,135371,1122212,875059,247153,5651,5359,292,0,0,0,0,0,0,0,0,0
Foreign exchange dealing,217,6,211,1143,144,999,1143,144,999,1109545,138979,970565,454253,81876,372377,221442,42141,179300,232811,39734,193077,947821,104547,843274,1671,1034,637,1,0,1,0,0,0,0,0,0
Other activities auxiliary to financial service activities,148,32,116,8349,7289,1060,8349,7289,1060,11906981,9411161,2495821,12494860,8303859,4191002,3531499,3302234,229265,8963361,5001625,3961737,5308176,5480033,-171856,66785,66320,465,2691,2691,0,0,0,0,0,0,0
Risk and damage evaluation,20,3,17,339,177,162,339,177,162,384359,268000,116359,291135,197988,93147,150013,101163,48850,141122,96825,44297,279828,198186,81642,1035,871,164,-147,-44,-104,0,0,0,0,0,0
Activities of insurance agents and brokers,254,39,215,4282,3109,1173,4260,3087,1173,37044403,35644414,1399989,26792457,25769518,1022939,3324558,3001463,323095,23467899,22768056,699844,32537801,31780550,757251,101495,72870,28626,-224,-224,0,0,0,0,0,0,0
Pre-need plan for health,34,19,15,6555,6453,102,6554,6453,101,34240447,33940176,300270,24389334,24232395,156939,2170624,2148371,22253,22218710,22084024,134686,12548954,12369862,179092,539387,539387,0,-4813,-4599,-214,0,0,0,0,0,0
Pre-need plan for education,3,0,3,7,0,7,7,0,7,1464871,0,1464871,906030,0,906030,3537,0,3537,902493,0,902493,565834,0,565834,0,0,0,31,0,31,0,0,0,0,0,0
Pre-need plan for memorial and interment,9,5,4,439,407,32,439,407,32,14808738,14018622,790115,13888731,13099454,789277,585094,571661,13432,13303637,12527792,775845,1853451,1837205,16245,1522,730,792,-28377,-28377,0,0,0,0,0,0,0
Pre-need plan for pension,11,6,5,598,591,7,532,525,7,6241494,6194693,46802,5906590,5832533,74057,451440,449565,1876,5455150,5382968,72182,874829,882320,-7491,12973,12973,0,-1337,-1337,0,0,0,0,0,0,0
Other activities auxilary to insurance and pension funding,12,2,10,191,88,103,191,88,103,318872,179167,139705,198428,95173,103255,77136,42183,34953,121293,52990,68303,227434,146132,81302,4731,0,4731,0,0,0,0,0,0,0,0,0
Fund management activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
