"Summary Statistics for Human Health and Social Work Activities Establishments"

"Industry Description","2016 Number of establishments All Employment Sizes","2016 Number of establishments Total Employment of 20 and Over","2016 Number of establishments Total Employment of Less than 20","2016 Total employment All Employment Sizes","2016 Total employment Total Employment of 20 and Over","2016 Total employment Total Employment of Less than 20","2016 Paid Employees All Employment Sizes","2016 Paid Employees Total Employment of 20 and Over","2016 Paid Employees Total Employment of Less than 20","2016 Total income All Employment Sizes","2016 Total income Total Employment of 20 and Over","2016 Total income Total Employment of Less than 20","2016 Total expense All Employment Sizes","2016 Total expense Total Employment of 20 and Over","2016 Total expense Total Employment of Less than 20","2016 Compensation All Employment Sizes","2016 Compensation Total Employment of 20 and Over","2016 Compensation Total Employment of Less than 20","2016 Other expense All Employment Sizes","2016 Other expense Total Employment of 20 and Over","2016 Other expense Total Employment of Less than 20","2016 Value added All Employment Sizes","2016 Value added Total Employment of 20 and Over","2016 Value added Total Employment of Less than 20","2016 Goss additions to fixed assets All Employment Sizes","2016 Goss additions to fixed assets Total Employment of 20 and Over","2016 Goss additions to fixed assets Total Employment of Less than 20","2016 Change in inventories All Employment Sizes","2016 Change in inventories Total Employment of 20 and Over","2016 Change in inventories Total Employment of Less than 20","2016 Subsidies All Employment Sizes","2016 Subsidies Total Employment of 20 and Over","2016 Subsidies Total Employment of Less than 20","2016 E-Commerce sales All Employment Sizes","2016 E-Commerce sales Total Employment of 20 and Over","2016 E-Commerce sales Total Employment of Less than 20"
"..Residential nursing care facilities",6,3,3,138,110,28,93,68,25,36625,29870,6755,33479,27371,6108,9931,7120,2811,23548,20251,3296,20749,16943,3806,637,0,637,0,0,0,0,0,0,0,0,0
"..Rehabilitation of people addicted to drugs or alcohol",29,5,24,473,303,170,452,289,163,325780,230072,95708,311105,220436,90669,72533,43558,28975,238572,176878,61694,103989,66857,37131,7492,7492,0,-234,-234,0,0,0,0,0,0,0
"..Caring for the mentally and physically handicapped",46,10,36,730,392,338,730,392,338,485294,183841,301453,419869,168100,251769,110009,62304,47704,309860,105796,204064,314338,88643,225695,129725,2499,127226,540,540,0,1556,1556,0,0,0,0
"..Residential care activities for the elderly and disabled",5,s,s,68,s,s,68,s,s,22871,s,s,19485,s,s,8549,s,s,10935,s,s,12428,s,s,0,s,s,19,s,s,0,s,s,0,s,s
"..Child care services",60,19,41,1180,803,377,1021,771,250,1010469,675979,334490,743100,453394,289706,223406,176358,47048,519694,277036,242659,617900,412462,205439,4620,1946,2675,946,896,49,2341,607,1733,0,0,0
"..Caring for unwed mothers and children",5,s,s,51,s,s,29,s,s,15139,s,s,9506,s,s,4085,s,s,5422,s,s,12051,s,s,4218,s,s,24,s,s,0,s,s,0,s,s
"..Caring for the aged and orphans",23,3,20,382,232,150,338,198,140,268602,81149,187452,243278,80536,162742,60902,40722,20180,182376,39814,142562,91248,36870,54378,1194,0,1194,50,50,0,0,0,0,0,0,0
"..Other residential care activities, n.e.c.",20,4,16,324,204,120,301,204,97,126576,59270,67307,106642,46131,60511,40195,17823,22372,66447,28308,38139,82796,38655,44142,7130,134,6996,155,0,155,0,0,0,0,0,0
"..Welfare and guidance counseling activities (elderly and disabled)",4,s,s,80,s,s,80,s,s,77115,s,s,72306,s,s,31228,s,s,41077,s,s,43764,s,s,41,s,s,109,s,s,0,s,s,0,s,s
"..Vocational rehabilitation and habilitation activities for disabled adults",6,s,s,140,s,s,133,s,s,98240,s,s,94646,s,s,37190,s,s,57456,s,s,44484,s,s,3781,s,s,1223,s,s,200,s,s,0,s,s
"..Welfare and guidance counseling activities for children and adolescents",52,3,49,508,125,383,493,125,368,539329,348807,190521,468820,333555,135265,106166,55411,50755,362654,278144,84510,373719,243777,129942,3550,3550,0,202,0,202,8500,0,8500,0,0,0
"..Child-care activities (includi ng for the handicapped)",10,4,6,303,259,44,293,259,34,336171,321444,14728,325740,311340,14401,95592,92358,3234,230148,218982,11166,161781,158419,3361,3324,3324,0,83,0,83,0,0,0,0,0,0
"..Charitable activities",195,33,162,4994,3781,1213,4730,3777,953,9565754,9008586,557169,9008662,8560706,447957,1241133,1015154,225979,7767529,7545552,221978,6433469,6081989,351480,23910,22733,1176,43465,42530,935,27491,27491,0,0,0,0
"..Other social work activities without accommodation, n.e.c.",157,11,146,1318,400,918,1147,400,747,1709934,714347,995586,2157114,657361,1499753,214701,56298,158403,1942414,601064,1341350,241991,267991,-26000,27554,852,26702,247,247,0,0,0,0,0,0,0
