Content		'Keyword'
By the way, perhaps even more important than the "If it was important the writer would just send it again" rule is another rule I've had for the longest time: if I don't have to reply, I don't. If I get a piece of email and my reaction is that somebody else could have handled it, I will just ignore it. Some busy email people have an automatic reply saying "sorry, I'll try to get to your email eventually". Me, I just ignore anything where I feel it doesn't absolutely concern me. I do that simply because I feel like I can't afford to encourage people to email me more		'Email, Writer, Longest, Automatic, Busy'
So I get a lot of email, but I don't actually answer most of it at all. In a very real sense, much of my job is to be on top of things and know what's going on. So I see a lot of emails, but I don't usually write a lot		'Emails, Email, Usually, Job, Write'
Bob: At a talk at the Washington DC Linux user group meeting back in May 1995, that Don Becker organized, you stopped halfway through and asked the audience if anyone knew the score of the Finland-Sweden men's world championship hockey game. As the token Canadian in the room, I was able to assure you that Finland won that game. On that topic: Finland's recent win of the World Junior Championship must have been fun for you. Or were you cheering for the US		'Hockey, Canadian, Finland, Championship, Sweden'
Linus: Heh. Hockey may be the Finnish national sport (and playing against Sweden makes it more personal—I speak Swedish as my mother language, but I'm Finnish when it comes to nationality), but I'm not a huge sports fan. And moving to the US didn't mean that I picked up baseball and football, it just meant that ice hockey lost that "people around me cared" part too		'Hockey, Swedish, Finnish, Sweden, Ice'
Bob: Many of us admire your willingness to call a spade a spade in public debates on Linux technology decisions. Others, um, dislike your forthright style of arguing. Do you think you are becoming more or less diplomatic as time has goes on		'Spade, Linux, Debates, Arguing, Diplomatic'
Linus: If anything, I think I have become quieter. I wouldn't say "more diplomatic", but perhaps more self-aware, and I'm trying to be less forceful		'Quieter, Trying, Self, Diplomatic, Wouldn'
Part of it is that people read me a different way from how they used to. It used to be a more free-wheeling environment, and we were a group of geeks having fun and playing around. It's not quite the same environment any more. It's not as personal, for one thing—we have thousands of people involved with development now, and that's just counting actual people sending patches, not all the people working around it		'Geeks, Group, People, Playing, Fun'
And part of the whole "read me in a different way" is that people take me seriously in a way they didn't do back in 1994. And that's absolutely not some kind of complaint about how I wasn't taken seriously back then—quite the reverse. It's more me grumbling that people take me much too seriously now, and I can't say silly stupid cr*p any more		'Grumbling, Stupid, 1994, Complaint, Different'
So I'll still call out people (and particularly companies) for doing dumb things, but now I have to do it knowing that it's news, and me giving some company the finger will be remembered for a decade afterwards. Whether deserved or not, it might not be worth it		'Decade, Deserved, News, Companies, Remembered'
Bob: Anything else you want to comment on, either publicly or otherwise		'Bob, Want, Comment, Publicly'
Linus: I've never had some "message" that I wanted to spread, so		'Spread, Wanted, Ve, Message, Linus'
About Robert Young and What He's Been Up to in the Past 25 Years		'Years, 25, Robert, Past, Young'
Graduating from the University of Toronto in 1976 after studying history, Young took a job selling typewriters. In 1978, he founded his first company and then spent 15 years in Canada at the helm of two computer-leasing companies. He sold the second of these to a larger firm who moved him to Connecticut in 1992 to grow their small US subsidiary. Shortly after, the new parent company ran into financial difficulties, otherwise known as bankruptcy, and Young found himself working out of his wife's sewing closet		'Canada, Bankruptcy, Typewriters, Toronto, Connecticut'
Robert Young, LJ's First Publisher		'Publisher, Young, Robert, Lj'
Although that event led directly to, in 1993, co-founding Red Hat (NYSE: RHT) with Marc Ewing, a young North Carolina-based software engineer. Both of them had fallen in love with free software, now known as open source—Ewing because he could innovate with software that came with source code and a license that allowed him to innovate, and Young because he could see how technology customers could be better served with open technology than the closed proprietary alternatives the industry offered at the time. Serving as CEO from founding through Red Hat's IPO in 1999, he then moved to the role of Chairman, and the brilliant Matthew Szulik took over as CEO, building the early Red Hat into a great business. Red Hat is now a member of the S&P 500 Index of the largest US public companies		'Ceo, Engineer, Innovate, Software, 1993'
In 2000, Young and Ewing co-founded the Center for Public Domain, a non-profit foundation created to bolster healthy conversation of intellectual property, patent and copyright law, and the management of the public domain for the common good. Grant recipients included the Electronic Frontier Foundation and the Creative Commons		'2000, Foundation, Copyright, Patent, Commons'
In 2003, Young purchased the Hamilton Tiger-Cats of the Canadian Football League, and he currently serves as the league's Vice-Chairman		'Canadian, Football, Hamilton, Tiger, Cats'
Working with a talented team led by Gart Davis, he helped launch Lulu.com in 2004 as the first online self-publishing services to use print-on-demand technology to enable a new generation of authors to bring their works directly to market, avoiding the delays, expense and limited profitability of publishing through traditional channels. Under the direction of Kathy Hensgen, Lulu continues to be a leading innovator helping authors bring their works to market		'Online, Innovator, Authors, Lulu, Profitability'
In 2012 Young invested in PrecisionHawk, a small drone company led by Ernie Earon and Christopher Dean. PrecisionHawk, based in Raleigh, has become one of the leading drone technology companies in the US. He continues to serve as Chairman, with CEO Michael Chasen		'Ceo, Companies, 2012, Drone, Raleigh'
Since 2016, Young has been involved with Scott Mitchell and a team based in Toronto, helping organize the Canadian Premier League, a professional soccer league in Canada. He owns the Hamilton Forge franchise. The league will begin play this month (April 2019)		'Canada, Canadian, Toronto, April, 2016'
His favorite current project is helping his wife Nancy run Raleigh-based Elizabeth Bradley Design Ltd and its Needlepoint.com store, a leading needlepoint supplier. Their mission is nothing less than to make the world a more beautiful place, by growing the community of enthusiastic needlepointers around the world		'Wife, Favorite, Needlepointers, Elizabeth, Nancy'
His most beloved pastime is spending time with his growing family. He and his wife Nancy welcomed their first grandchild a year ago. Young also enjoys pursuing a bunch of hobbies, always badly. These include fly fishing, kite boarding, golf, and he collects the occasional antique typewriter—a nod to his beginnings as a typewriter salesman		'Grandchild, Wife, Hobbies, Salesman, Family'
Sidenote: the Faces of Open Source Project		'Sidenote, Project, Faces, Open, Source'
The photo of Linus in this article is by Peter Adams, a photographer I met a few months ago when he introduced me to a series he started in 2014 called Faces of Open Source. On that site, Peter writes, "Despite its wide ranging impact, the open source revolution remains all but unknown to most people who now, more than ever before, depend on its survival. This project is an attempt to change that." His purpose applies not only to the muggles who rely on open source, but to the wizards who write their own code and put it to use. Knowing who created the Open Source world we have now will surely help as we code up a future that embodies the same good values.—Doc Searls		'Muggles, Wizards, 2014, Doc, Months'
