sub_object_id,sub_object
113,Contribution Transfer In from 1G - General Fund for MTA Population Basin
114,Copy Machine
115,Spcl Inspection & Testing Svcs
116,Lumber
117,Dental Supplies
118,Other Office Supplies
119,Construction Management Svcs
120,Vehicle Parts-Supplies
121,Contribution Transfer In from 1G - General Fund
122,Other Fringe Benefits
123,Other Professional Services
124,General Fund - City Planning
125,Exp Rec Fr Airport (AAO)
126,Interfund Transfer In From 4D/COP - COP Bond
127,Hardware
128,Painters Supplies
129,Supplemental Assistance SB813 - Prior Year Secured
130,Sidewalk Flower Markets
131,Travel Costs Paid To Employees
132,Taxes
133,Overage(Shortage) Cash Receipt
134,Medi-CalManagdCareO-PGrossChrg
135,Electrical
136,Management Consulting Services
137,Recreation and Athletic Supplies
138,Rents-Leases-Bldgs&Struct-Bdgt
139,Healthy San Francisco With Health Care Coverage Initiative - Outpatient Gross Charges
140,Holiday Pay - Misc
141,Retirement Payout - Sick Pay and Vacation - Miscellaneous
142,"Other Hospitals, Clinics and Lab Supplies"
143,Buildings Structures and Improvement Expense
144,Fishing Boat Dockage
145,Temporary Miscellaneous Holiday Pay
146,Training Costs Paid To Emplye
147,Is-Purch-Reproduction
148,Administration Data Policy and Privacy
149,Plumbing Supplies
150,Overhead-Budget
151,Loans Issued By City
152,Department of Technology - SFGov TV Services
153,Other Public Safety Charges
154,Property Tax - Administrative Cost
155,Subscriptions
156,Food
157,Architectural Services
158,Medicare Managed Care I-P Rev
159,Expense Recovery From Cleanwater (All Agency Operations)
160,Printing
161,Temp Nurse Regular Salaries
162,Beginning Fund Balance - Budget Only
163,Patient Billing Outpatient Medicare Financial Class 2
164,Outpatient Adjustment Medicare Managed Health Maintenance Organization Financial Class 110
165,Small Tools and Instruments
166,Outpatient Adjustment Medicare Financial Class 2
167,Hospital Billing Outpatient Healthy San Francisco Financial Class 113
168,Temp Misc Other Timeoff
169,Scavenger Services
170,Outpatient Adjustment Other Financial Class 12
171,Other General Government Chrge
172,Settlements
173,Engineering Services
174,Minor Furnishings
175,Is-Purch-Centrl Shop-AutoMaint
176,Other State Grants & Subventns
177,Custom Work
178,General Fund - Adult Probation
179,Enterprise Fund - Public Utilities Commission - Water
180,Automotive & Other Vehicles
181,Sludge Removal
182,Ordnance
183,Interfund Transfer In from 5P - Port of San Francisco
184,Judgements - Claims
185,Intangible Asset Depreciable
186,"Medical, Dental & Lab Equipmnt"
187,Agricultural Supplies
188,Retiree Contribution - CCD - Dental
189,Expense Recovery From Community Health Services (All Agency Operations)
190,Other Operating Revenue
191,Street Repair - Department of Public Works - Urban Forestry
192,Other Fees
193,Promotional & Entertainmnt Exp
194,Interest Earned - Loans-Leases
195,Day Care Assistance
196,Temporary Miscellaneous Vacation
197,Property Rent
198,Other Non-Operating Revenue
199,Transportation Services
200,Cleaning Laundry
201,"Ret City Share, Misc (Old)"
202,Interfund Transfer In from 5M/Municipal Transportation Agency Transit Funds
203,Municipal Transportation Agency Overhead Cost Recovery
204,Other Medical Services
205,Senior - Department of Public Works - Building Repair
206,Litigation Expenses-Legal Fees
207,Programmatic Projects - Budget
208,Senior - Department of Public Works - General Administration
209,Gifts And Bequests
210,Power For Resale
211,Temporary Miscellaneous Sick Pay
212,General Fund - Controller - Internal Audits
213,Data Processing Supplies
214,General Fund - Recreation and Parks - Gardener
215,General Fund - Public Utilities Commission - Hetch Hetchy
216,Other Events
217,Graphics
218,Other San Francisco Internal Permit Fees
219,Travel - Budget
220,Federal Direct Contracts
221,Homeless Gross Receipts Tax
222,San Francisco Department of Public Health Other Permits and Fees
223,Lighting
224,Federal Direct Grant
225,General Fund - Controller - FAST Team
226,Membership Fees
227,Federal Grants Pass Through State/Other
228,Other Equipment Maintenance
229,General Fund - Human Rights Commission Services
230,San Francisco Department of Building Inspection Permits - Fees
231,Fuels & Lubricants
232,Interfund Transfer In from 1G - General Fund
233,General Fund - Mayor's - Community Development Block Grant
234,Maint Svcs-Bldgs & Impvts-Bdgt
235,Elimination - Transfer Adjustments - Uses
236,General Fund - Coroner-Medical Examiner
237,Auditing & Accounting
238,Interest Earned - Pooled Cash
239,Litigation Expenses
240,Employee Field Expenses-Budget
241,Health Service-Admin Cost
242,Elec Heat Water
243,Expense Recovery From City Attorney (All Agency Operations)
244,Interfund Transfer In From 5L - Laguna Honda Hospital Fund
245,Expense Recovery From Fine Arts Museum (All Agency Operations)
246,Exp Rec Fr Regstar Of Votr AAO
247,Power Distrib Transmission
248,Security
249,Retirement Pick Up
250,Other Current Expenses - Budget
251,Exp Rec Fr Sheriff (AAO)
252,Expense Recovery From Recreation and Parks (All Agency Operations)
253,Expense Recovery From Administrative Services (All Agency Operations)
254,Is-Purch-Centrl Shop-FuelStock
255,MTA Division Overhead Cost Recovery
256,Expense Recovery From Controller - Internal Audit (All Agency Operations)
257,Facilities Maintenance-Budget
258,Court Reporters
259,Exp Rec Fr EmergcyComcationAAO
260,Travel Costs Paid To Vendors
261,Exp Rec Fr Assessor (AAO)
262,General Fund - Social Services
263,Air Travel - Employees
264,General Fund - Controller - Accounting Operations
265,General Fund - Controller - Information System Operations
266,Minor Medical Equipment
267,Office Equip Maint
268,Paratransit Contract Expense
269,Exp Rec Fr City Planning (AAO)
270,Treasurer/Tax Collector - Escrow Fees
271,Expense Recovery From Juvenile Court (All Agency Operations)
272,Street Repair - Department of Public Works - Street Cleaning
273,OTI Fr 5M-MTA Transit Funds
274,Expense Recovery From Controller (All Agency Operations)
275,Expense Recovery From Health and Social Services (All Agency Operations)
276,Loan Principal Repayment
277,Department of Technology - Technology Infrastructure
278,General Fund - City Attorney - Legal Service
279,Administration - Real Estate Special Services
280,Kinship-Foster Care Emergency
281,General Fund - Human Resources - Employment Services
282,Exp Rec-General Unallocated
283,Emp Retirement Contributions
284,Construction Parking Meter Fee
285,Interfund Transfer Out to 5M - MTA Transit Funds
286,General Fund - Human Resources - Workers' Compensation Claims
287,Retirement Non-City (Public Employees' Retirement System)
288,Base Rent - Debt Service - Building Structure
289,General Fund - Community Health Services - Toxic Waste & Hazardous Materials Service
290,Sundry Business Licenses
291,General Fund - Public Utilities Commission - Light Heat and Power
292,Interfund Transfer Out To 2S/General Services Fund
293,Administration - Real Estate 49 SVN Rent
294,Department of Technology - Enterprise Technology Contracts
295,Community Improvement Impact Fee
296,Refugee Aid Payments
297,"Taxes, Licenses & Permits-Bdgt"
298,Expense Recovery From Hetch Hetchy (All Agency Operations)
299,Expense Recovery From Public Library (All Agency Operations)
300,Exp Rec Fr Asian Arts Musm AAO
301,Exp Rec Fr Human Services AAO
302,Calwin (Fed Admin)
303,Interfund Transfer In From 5A - Airport Funds
304,Expense Recovery From Public Defender (All Agency Operations)
305,Pest Control
306,Apartment License Fee
307,Exp Rec Fr Bldg Inspection AAO
308,General Fund - Rent Paid To Real Estate
309,Ssa-SSI Foster Care Reimb
310,Foster Home Licensing Assistance
311,Interfund Transfer Out to 2S/Public Library Fund
312,Allocated Chrgs-Spec Sources
313,Interfund Transfer In From 5N - MTA SM&Sustainable Streets
314,Expense Recovery From Convention Facilities Management (All Agency Operations)
315,General Fund - Purchasing - General Office
316,Ellis-O'Farrell Garage - Commercial
317,North Beach Garage
318,Reproduction Copier Store Prog
319,Exp Rec Fr Sf Gen Hospital AAO
320,General Fund - Community Health Services - Medical Service
321,Fortune Teller Permit Fees
322,Sewer Service
323,Community-Based Organization Services - Budget
324,General Fund - Library Services
325,Expense Recovery From Environment (All Agency Operations)
326,Expense Recovery From Medical Examiner-Coroner (All Agency Operations)
327,General Fund - Human Resources - Drug Testing
328,Hospital-Rents-Concess-OthOper
329,General Fund - Chief - Youth Works
330,Treasurer/Tax Collector - General Government Service Charges
331,Exp Rec From Isd (AAO)
332,Leases Paid To Real Estate
333,Expense Recovery From Child Support Services (All Agency Operations)
334,Medi-Cal O-P Gross Charges
335,Permits
336,Garage Rent
337,Equipment Purchase - Budget
338,Expense Recovery From Adult Probation (All Agency Operations)
339,Social Services Contracts
340,Expense Recovery From Homelessness Services All Agency Operations
341,Legal Services
342,Special Event Cash Fare
343,Exp Rec Fr Laguna Honda AAO
344,General Fund - Environment
345,Street Repair - Department of Public Works - Architecture
346,Supplemental Security Income - State Supplementary Program County Adult Assistance Program Interim Assistance Reimbursement
347,Expense Recovery From Municipal Transportation (All Agency Operations)
348,General Fund - Parking and Traffic
349,Expense Recovery From Police Commission (All Agency Operations)
350,Eqpmnt(5KOr_-Controlled Asset)
351,"Shop, Building and Field Maintenance Equipment"
352,Debt Svc-Admin And Fiscal Chrg
353,Enterprise Fund - Public Utilities Commission - Administrative Services
354,Enterprise Fund - Public Utilities Commission - Water Charges
355,General Fund - Business & Economic Development
356,OTI Fr 1G-General Fund
357,Supplemental Assistance Senate Bill 813 - Current Year Secured
358,Employee Recognition
359,SomaCommtyStabilizatnImpactFee
360,General Fund - Tax Collector
361,Abandoned Vehicle Fee
362,Medical Records Abstract Sales
363,Exp Rec Fr Human Rights (AAO)
364,General Fund - Fire
365,Expense Recovery From Parking and Traffic (All Agency Operations)
366,Municipal Railway Only Adult Monthly Pass
367,Rentals-Recreation Facilities
368,Data Processing Equipment
369,Exp Rec Fr CommMental Hlth AAO
370,Healthy San Francisco Patient Enrollment Fee
371,Plumbing Inspection
372,Outpatient Adjustment Medi-Cal Pending Financial Class 102
373,Subsidies
374,Senior Monthly Pass
375,Expense Recovery From Public Works (All Agency Operations)
376,Provision For Bad Debts - Outpatient
377,General Fund - Mayor's Office Services
378,Other City Property Rentals
379,Patient Payments
380,Rental - Airline Cargo Space
381,Expense Recovery From Business and Economic Development (All Agency Operations)
382,Expense Recovery From Academy of Science All Agency Operations
383,Debt Service-Budget
384,Fuel Sales & Maintenance Svcs
385,General Fund - Police Non-Security Services
386,Expense Recovery From Trial Courts Non-All Agency Operations
387,Moscone Retail
388,Museum Exhibition Admission
389,Car Park Solicitation
390,Environmental Health License Fee
391,Stipends
392,Exp Rec Fr Children & Fam AAO
393,Exp Rec Fr Police AcctbiltyAAO
394,ChildWelfareSvc-Ab118-Abx1 16
395,Expense Recovery From Real Estate (All Agency Operations)
396,Enterprise Fund - San Francisco General Hospital - Medical Service
397,Judgements & Claims-Budget
398,Exp Rec Fr Port Commission AAO
399,Other Outpatient Gross Charges
400,General Fund - Health Care Network - Community Health Network (All Agency Operations)
401,Eating Places
402,Welfare To Work (State-Admin)
403,Budget Hospital Revenue
404,State Whole Person Care Pilot
405,Exp Rec Fr Distrct Attorny AAO
406,Homeless Housing and Supportive Services
407,Insurance - Budget
408,Public Utilities Commission Sewer Service Charges
409,Art Commission Other Performances
410,Tow Surcharge Fee
411,Hlthy SF W-OHcci-E-R GrossChrg
412,Miscellaneous Terminal Fees
413,Designated For Health Care Appropriation
414,Exp Rec Fr Adm (AAO)
415,General Fund - Civil Service
416,Vehicle License Public Passenger
417,Expense Recovery From Public Works (Non-All Agency Operations)
418,Interfund Transfer In From 5W - Water Department Fund
419,Child Welfare Services Title XX Catalog of Federal Domestic Assistance 93.667
420,Exp Rec Fr Retirement Sys AAO
421,OTI Fr 5T-Hetch Hetchy W&P Fds
422,Senior - Child Support Services
423,Bond Fee-Public Administrator
424,Senior - Children and Families Commission - First 5 Commission
425,Electronic Collection-LIB Only
426,Cable Car Cash - Conductors
427,Misc Hospital Service Revenue
428,Crippled Children Care
429,Non-Sufficient Funds Checks
430,PropositionB RetHlthCarePretax
431,Imd Fee - Rep Payee
432,Cable Tv Franchise
433,Peace Officer Training
434,Exp Rec Fr Treas-Tx Col NonAAO
435,Miscellaneous Exhibit and Performance Service Charges
436,Opera House Rental
437,Expense Recovery From Public Transportation (All Agency Operations)
438,Adult Protective Services - Community Services Block Grant Health Related Title XIX
439,Payments To Other Govt
440,Interfund Transfer In from 5C/Cleanwater Program Fund
441,Bond Fee - Public Guardian
442,Is-Purch-Vehicle Leasing (AAO)
443,Bond Redemption
444,Short-DyleMedi-CalE-RGrossChrg
445,Medi-Cal Outpatient Contractual Adjustment
446,Temporary Miscellaneous Lump Sum Payoff
447,Interfund Transfer In From 3C/City Facilities Capital Project Fund
448,Short-DyleMedi-Cal I-PGrosChgs
449,Overtime - Unscheduled Miscellaneous
450,Routine Maint Elevtr-Escalator
451,Special Event
452,Payments To Poll Workers
453,Pacific Gas and Electric Electric
454,Interfund Transfer In From 2S/PWF - Public Works Fund
455,Food Stamps (State Administered)
456,General Fund - Administration - General (AAO)
457,Sudden Infant Death Syndrome
458,Rep-Payee Fees - Revenue
459,Interfund Transfer Out to 5Q - CleanPowerSF Funds
460,Residential Property Rentals
461,General Fund - General Services Agency - Facilities Management Services
462,Assessment Administration Charge
463,Homeowners Property Tax Relief
464,Office Machine Rental
465,Health Service - Other
466,Payroll Tax
467,Consumer Protection Fines
468,Atty Fees-Public Guardian
469,Port Penalty and Service Charges
470,Water Users Tax
471,Interfund Transfer In From 5O/Municipal Transportation Agency Taxi Commission Fund
472,Administration Contract Monitoring
473,Safety & Rescue Equipment
474,Expense Recovery From Fire Department (All Agency Operations)
475,Crt Fees & Other Compensation
476,Street Repair - Department of Public Works - Street Repair
477,Employee Parking
478,Parking Tax
479,3 Day Passport - Cable Car
480,Massage Establishment
481,Parking Meter Card
482,Expense Recovery From War Memorial (All Agency Operations)
483,Utilities Expenses-Budget
484,Developer Exactions
485,Central Permit Bureau Fee
486,Expense Recovery From Art Commission (All Agency Operations)
487,Port-Rent Parking
488,Administrative Office Tax
489,County Adult Assistance Program - Calm Aid - Cash Aid Link Medical
490,Non-Signatory Airline Surcharge Fee
491,Pharmaceutical
492,Construction Equip Maint
493,Street Repair - Department of Public Works - Street Use and Mapping
494,Library Services - History Center
495,Off Hours Plumbing Inspection
496,"General Fund - Children, Youth & Family Services"
497,Other Recreational Service Charges
498,Exp Rec Fr Civil Service (AAO)
499,Interfund Transfer Out to 1G - General Fund
500,Private Grants
501,Inpatient Adjustment Other Financial Class 12
502,Workers' Compensation - Medical Employee Reimbursement
503,Interfund Transfer Out to 2S/War Memorial Fund
504,PoliceAdmFee-TraffcOffendrProg
505,Sale Of Water
506,General Fund - Human Resources - Tuition Reimbursement Without
507,Patient Billing Outpatient County Indigent Financial Class 117
508,Microfilm Related Fee
509,Administrative Surcharge
510,PrivateInsurnceI-PGrosChgs
511,Retroactive Salaries - Misc
512,Books - Non Library Only
513,General Fund - Arts Commission
514,Vehicle Rental
515,Retirement Excess Benefit Pmts
516,Expense Recovery From Mayor (All Agency Operations)
517,Health Revenue USD - Over the Counter - Medical - Active
518,Inventories Adjustments
519,Sale of Scrap and Waste
520,False Alarm Response Fee
521,Addition Bldg Inspections
522,Condo Conversion Reports
523,Hospital Billing Outpatient Worker's Compensation Financial Class 5
524,Traffic Fines - Parking
525,General Fund - 311 Customer Service Center
526,General Fund - Human Resources - SF Fellows Program
527,Interfund Transfer Out To 5L/Laguna Honda Hospital Fund
528,General Fund - Human Resources - Employee Relations
529,General Fund - Human Resources - Tuition Reimbursement AAP
530,Administration Permit Center
531,In-Home Supportive Services Administration Health-Related Title XIX
532,Expense Recovery From Board of Supervisors (All Agency Operations)
533,Office of Contract Administration - Labor Standard Enforcement
534,Plan Checking
535,Resource Family Approval
536,Hospital Billing Outpatient County Indigent Financial Class 117
537,Expense Recovery From Treasurer-Tax Collector (All Agency Operations)
538,General Fund - Human Resources - Management Training
539,Reserve for Capital Improvement
540,Technology and Innovation Services - Special Projects (AAO)
541,Property Tax Current Year - Unsecured
542,Street Repair - Department of Public Works - Construction Management
543,Interfund Transfer Out to 4D/Certificate of Participation Bond
544,Interfund Transfer Out To 5M/Municipal Transportation Agency Transit Funds
545,Pierce Street Garage
546,PAES Transportation Services
547,Safe Path of Travel
548,Short-Doyle Medi-Cal
549,Water Sewage Treatment Eqpmnt
550,Expense Recovery From Rent Arbitration Board (All Agency Operations)
551,Interest Earned-FisclAgentAcct
552,General Fund - General Government Operations Budget Office Control 0.1% Recovery
553,General Fund - Real Estate Service
554,Interfund Transfer Out to 2S/ENV - Environmental Protection
555,Construction In Progress Exp
556,Interfund Transfer In from 5T/Hetch Hetchy Water and Power Funds
557,Construction In Progress Exp-A
558,Laboratory Supplies
559,Minor Video Equipment
560,Other Local - Regional Grants
561,One-Time Comp Time-Uniform
562,Building Structure Improvement - Direct Purchase
563,Health Posttax - City Plan
564,Administrative Costs - City and County of San Francisco - Retiree
565,Code Enforcement
566,Completed Capital Projects
567,Judgements - Penalty
568,Prop Tax Curr Yr-Secured
569,Admin Costs -CCD- Active
570,Realty Services
571,Court Fines
572,Proceeds From Other S-T Debts
573,Office Equipment
574,General Fund - Emergency Communications
575,Hospital-Chgs-Other Health Fee
576,San Francisco Department of Public Health Hazardous Materials - Hazardous Materials Unified Program Agency Fees
577,Revenue From Health Plan
578,Radiology Supplies
579,ERAF Property Tax Allocation
580,Janitorial Services
581,CharitableAlloI-PSlidingFeeAdj
582,Workers' Compensation Emergency Room Gross Charge
583,Penalties
584,Motor Vehicle In-Lieu County
585,Percentage Rental
586,Loan Rev-Principal Repmt
587,Music Concerts
588,Fire Fighting Rescue Supplies
589,Municipal Transportation Agency Departmental Overhead Cost Recovery
590,Managed Care - Medi-Cal-O-Patiend Adjustment
591,Witnesses
592,Interfund Transfer In from 2S/Building Inspection Fund
593,Air Travel - Non-Employees
594,Transit Impact Development Fee
595,Fringe Benefits – Proposition B Retiree Health Care Obligations – City’s Share of Contributions
596,Construction Equip Rental
597,Arbitrators
598,City Planning Applicatn Refund
599,Unsecured Installment 5-8 Year Plan
600,"Infrastructure and Technology Improvements Fund, Series 2S / Neighborhood Development Fund – Neighborhood Development Fee Fund"
601,Overtime - 10B Misc
602,Other Concessions - Misc
603,Contribution Transfer Out to 2S/Public Works Fund
604,Communications Equipment
605,San Francisco Unified School District Employee Contribution - Post Tax
606,Data Processing Equip Rental
607,HealthRevCCD-OTC-Dentl-Retiree
608,Interfund Transfer In from 5H/General Hospital Fund
609,Medical Equipment Rental
610,Rental - South Terminal T1 (Non-Airline)
611,San Francisco City Planning Permits and Fees
612,Hlth Svc-Medical Employee Reim
613,Misc Service Charges-DPW
614,Expense Recovery From General City Responsibilities (All Agency Operations)
615,Subpoena
616,Services To Other Govt Agencie
617,Exp Rec-Unallocated Non-AAO Fd
618,Penalty-Costs-Redemption
619,Sale of Development Rights TDR
620,Other E-R Gross Charges
621,Medical Multiple Plans - Vision Care
622,Interfund Transfer In from 2S/Open Space and Park Fund
623,Opera House Concessions
624,Exp Rec Fr Retre Hlth Trst Brd
625,Interest Earned-Tax Refund
626,City Planning Commission Fees
627,ReallocSourAmgProj-CleanupOnly
628,Recording Fees
629,Exp Rec From Mohcd
630,Supplemental Assistance Senate Bill 813 Prior Year Unsecured
631,Resale of Gas
632,Broadcast Equipment
633,Enterprise Fund - Municipal Railway
634,Encroachment Assessment Fee
635,Marine
636,Zellerbach Rehearsal Hall
637,Vision Care - USD - Retiree
638,Institutional Linen
639,Investment Services
640,In-Kind Contribution
641,Overhead Recovery
642,Managed Care C-A-Other-O-P Adj
643,Interfund Transfer Out to 2S/Culture and Recreation Fund
644,Interfund Transfer In From 5X/Municipal Transportation Agency Parking Garages
645,Excess ERAF
646,Health Revenue CCSF - Over the Counter - Dental - Active
647,Grounds Maintenance
648,Land Acquisition Cost
649,Interfund Transfer Out To 5N/Municipal Transportation Agency Sustainable Streets
650,Inventories-Purchase
651,Disabled Monthly Sticker
652,Prior Year Settlement-Medicare
653,Boiler Permit Penalties
654,Expense Recovery From Airport (Non-All Agency Operations)
655,Strong Motion Program Fee
656,Traffic Fines - Moving
657,Financial Services
658,Judgements - Legal Fees
659,Unrealized Gain (Loss) - Equity in Treasury Credit - Governmental Accounting Standards Board 31
660,Golf Fees
661,General Fund - Mental Health
662,Prop Tax Prior Yr - Unsecured
663,Board of Appeals Surcharge
664,"Health , Retiree Paid-Dental"
665,General Fund - Human Resources Department - Special Projects Without
666,Revolving Fund Activities
667,Street Repair - Department of Public Works - Engineering
668,Witness Reimbursements
669,Administrative Costs - COBRA
670,Food Preparation Equipment
671,Rent - Harbor Services
672,Childcare Requirement Fee
673,Legislative Expense
674,Managed Care C-A-Other-I-PAdj
675,St. Mary's Garage
676,Library Services - Visitors Card
677,Birth Certificate Fee
678,Jury Fees
679,Cap Leases Principal Repaymnt
680,Interfund Transfer In From 2S/Public Library Fund
681,Option One Death Benefit
682,Crt Reporter Transcripts Svcs
683,Demurrage
684,PayrollDeductnProcssingFee-Con
685,Prior Year Federal Revenue Adj
686,Interfund Transfer Out to 6I/TIF - DTIS Telecom and Information
687,Other Federal - Public Assistance Administration
688,OTI Fr 5C-Cleanwater ProgramFd
689,Metropolitan Transportation Commission Bridge Tolls - Capital
690,Gas Tax Prop-111 Sec2105 Conty
691,"Hospital - Rents, Concessions, Cafeteria Sales"
692,Penalty - Cost - Secured
693,Stage 1 Childcare (Fed-Aid)
694,Property Tax Redevelopment Increment
695,Court Fees
696,Senior - Clean Water Program - Clean Water Department
697,Internal Service - General Services Agency - Fleet Policy - Cars and Heavy Vehicles
698,Hotel Conversion Ordinance
699,Patient Co-Payments
700,Sale Of Electricity-Municipal
701,Mechanical Plan Review
702,General Fund - District Attorney
703,Civic Design Fee - Arts Comssn
704,Premium Plan Review
705,Planning - Environmental Review Fee
706,Entertainment & Promotion Bdgt
707,Exp Rec Fr Mayor-Cdbg Non-AAO
708,Exp Rec Fr Status Of Women AAO
709,Interfund Transfer In from 3C/Recreation and Park Capital Project Fund
710,Exp Rec Fr Emergency Comm Dept
711,City Depts Revenue From OCII
712,General Fund - War Memorial
713,Permit Referrl Fr Oth Agencies
714,Self Insurance Contributions
715,Designated For General Reserve
716,Transportation Development Act Sales Tax - Operating
717,Treasure Island Utilities Rev
718,Loan Interest Expense
719,Concess Rev-Gift&Merchndse-ITB
720,Street Repair - Building Inspection
721,Attorney Fees-Criminal
722,General Fund Support
723,Fire Residential Inspection Fee
724,Gas Tax Apportionment City
725,Art Comm Symphony Concerts
726,General Fund - Treasurer
727,Alarm Permit
728,OTI Fr 2S/CRF-Culture & Rec Fd
729,Interest Expense
730,Specialized Care for Improved Access and Performance Services
731,Interfund Transfer Out To 2S/Public Works Fund
732,Street Cleaning State Highway
733,Removal Permit Fee
734,Recreation & Athletic Eqpmnt
735,Parking Meter Collections
736,Community Mental Health Services
737,Insurance - I-P Adjustment
738,Medicare Managed Care O-P Rev
739,Cannabis Tax
740,County Adult Assistance Program - Homeless Aid
741,Hospital Billing Inpatient San Francisco Health Plan/San Francisco Health Network Medi-Cal Managed Financial Class 108
742,Seismic Safety Loans
743,Patient Billing Outpatient Other Government Financial Class 112
744,Proof Of Payment Fees
745,Inpatient Adjustment Provision For Bad Debts
746,Medical Equip Maint
747,General Fund - Taxi Commission
748,Promoting Safe&Stable Families
749,Clerical - Temporary
750,Vehicle Theft Crimes-Revenue
751,Davies Symphony Hall Concesson
752,Subsistence - Animals
753,Hospital Billing Outpatient Other Medi-Cal Managed Financial Class 109
754,Berth & Mooring Fees - East
755,Enterprise Fund - Laguna Honda Hospital - Others
756,Retirement - Budget
757,Rental-ITB (Non-Airline)
758,Compressed Natural Gas Services
759,Hospital Billing Inpatient Worker's Compensation Financial Class 5
760,Complaint Investigations Fees
761,Rental - Airline Superbay Hangar
762,Normal Contributions Paid As Death Benefits
763,Capital Aid Payments
764,Customer Service Transaction Fees
765,Working Families Credit Payments
766,Exp Rec Fr PublcTrnsprt NonAAO
767,Standard Paratransit
768,Lifeline Pass
769,San Francisco Employees' Retirement System Other Non-Operating Revenue
770,General Reserve
771,Patient Billing Inpatient Other Medi-Cal Managed Financial Class 109
772,San Francisco Department of Public Works Permits and Fees
773,"Ret Pickup, Misc (New)"
774,Community Health Network Services
775,Psych Medicare O-P Gross Chrg
776,Parcel Taxes
777,Transit Operating Assistance Federal
778,Calwin (State Administered)
779,OthFinancingSources-CapLeases
780,Hospital Billing Outpatient Medicare Managed Health Maintenance Organization Financial Class 110
781,Building Structure Improvement - Lease Purchase Initial
782,Transit Sustainability Fee
783,Temporary Nurse Vacation
784,Retirement Pretax - City Fire Old
