region_province_huc_by_sources_of_income,in_percent_2018,in_percent_2021,in_percent_2023,pct_point_change_2018_to_2021,pct_point_change_2021_to_2023
"Other Source Of Income, Nec",0.0,0.03,0.04,0.03,0.01
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.01,0.01,0.01,0.0,0.0
Net Receipt From Family Sustenance Activities,0.0,0.01,0.05,0.01,0.05
Received As Gifts,1.66,1.83,0.98,0.17,-0.86
Imputed Rent,12.72,10.74,12.48,-1.98,1.74
Quezon City,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,60.27,61.48,69.54,1.21,8.07
Entrepreneurial Activities,13.81,11.79,9.1,-2.02,-2.69
Cash Receipts From Abroad,6.95,4.9,3.22,-2.05,-1.67
Cash Receipts From Domestic Sources,2.85,3.25,1.63,0.4,-1.62
Rentals Received,0.81,0.81,1.2,0.0,0.39
Interest,0.02,0.05,0.05,0.03,0.0
Pension,2.94,4.58,2.73,1.64,-1.85
Dividends,0.0,0.17,0.69,0.17,0.52
"Other Source Of Income, Nec",0.03,0.06,0.01,0.03,-0.06
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.03,0.0,0.01,-0.03,0.01
Net Receipt From Family Sustenance Activities,0.01,0.01,0.01,0.0,0.0
Received As Gifts,1.03,0.9,0.86,-0.13,-0.03
Imputed Rent,11.24,12.01,10.95,0.77,-1.06
City Of Marikina,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,64.33,62.52,64.3,-1.81,1.77
Entrepreneurial Activities,10.09,7.96,9.31,-2.13,1.35
Cash Receipts From Abroad,6.23,5.95,5.37,-0.28,-0.58
Cash Receipts From Domestic Sources,2.8,3.0,2.22,0.2,-0.78
Rentals Received,0.63,0.52,0.79,-0.11,0.27
Interest,0.03,0.03,0.06,0.0,0.02
Pension,3.25,5.19,4.04,1.94,-1.16
Dividends,0.13,0.0,0.25,-0.13,0.24
"Other Source Of Income, Nec",0.01,0.02,0.01,0.01,0.0
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.01,0.13,0.0,0.12,-0.12
Net Receipt From Family Sustenance Activities,0.01,0.0,0.0,-0.01,0.0
Received As Gifts,1.06,0.87,1.25,-0.19,0.38
Imputed Rent,11.43,13.8,12.4,2.37,-1.41
City Of Pasig,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,62.18,63.99,69.24,1.81,5.25
Entrepreneurial Activities,14.31,10.31,10.64,-4.0,0.33
Cash Receipts From Abroad,5.38,4.92,3.53,-0.46,-1.4
Cash Receipts From Domestic Sources,1.99,2.95,1.62,0.96,-1.32
Rentals Received,1.05,0.97,0.67,-0.08,-0.3
Interest,0.05,0.1,0.03,0.05,-0.07
Pension,2.48,2.3,2.71,-0.18,0.41
Dividends,0.2,0.01,0.31,-0.19,0.3
"Other Source Of Income, Nec",0.02,0.13,0.04,0.11,-0.09
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.03,0.02,0.03,-0.01,0.01
Net Receipt From Family Sustenance Activities,0.01,0.0,0.01,-0.01,0.01
Received As Gifts,1.19,1.54,0.89,0.35,-0.65
Imputed Rent,11.1,12.76,10.28,1.66,-2.48
NCR III,0.0,0.0,0.0,0.0,0.0
City Of Caloocan,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,61.99,65.71,66.38,3.72,0.68
Entrepreneurial Activities,9.96,11.54,13.41,1.58,1.87
Cash Receipts From Abroad,8.84,4.64,6.14,-4.2,1.5
Cash Receipts From Domestic Sources,6.38,4.34,2.26,-2.04,-2.08
Rentals Received,0.54,0.33,0.41,-0.21,0.08
Interest,0.0,0.03,0.05,0.03,0.02
Pension,2.32,1.26,1.27,-1.06,0.02
Dividends,0.0,0.02,0.11,0.02,0.09
"Other Source Of Income, Nec",0.04,0.06,0.04,0.02,-0.03
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.03,0.02,0.0,-0.01,-0.02
Net Receipt From Family Sustenance Activities,0.01,0.02,0.01,0.01,-0.01
Received As Gifts,1.77,2.06,0.79,0.29,-1.27
Imputed Rent,8.11,9.97,9.14,1.86,-0.84
City Of Malabon,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,59.11,62.17,69.75,3.06,7.58
Entrepreneurial Activities,16.03,13.9,11.19,-2.13,-2.71
Cash Receipts From Abroad,9.43,4.12,4.97,-5.31,0.85
Cash Receipts From Domestic Sources,4.71,4.98,2.67,0.27,-2.32
Rentals Received,0.27,0.37,0.22,0.1,-0.15
Interest,0.0,0.07,0.07,0.07,0.0
Pension,1.17,1.69,1.23,0.52,-0.46
Dividends,0.01,0.01,0.0,0.0,-0.01
"Other Source Of Income, Nec",0.06,0.09,0.04,0.03,-0.05
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.02,0.01,0.01,-0.01,-0.01
Net Receipt From Family Sustenance Activities,0.0,0.02,0.03,0.02,0.01
Received As Gifts,1.34,2.04,0.64,0.7,-1.39
Imputed Rent,7.83,10.53,9.19,2.7,-1.34
City Of Navotas,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,59.88,66.93,71.67,7.05,4.75
Entrepreneurial Activities,15.38,11.39,9.74,-3.99,-1.65
Cash Receipts From Abroad,8.4,3.57,3.63,-4.83,0.06
Cash Receipts From Domestic Sources,5.78,4.75,3.01,-1.03,-1.74
Rentals Received,0.19,0.41,0.15,0.22,-0.26
Interest,0.21,0.02,0.02,-0.19,0.0
Pension,0.71,1.01,0.61,0.3,-0.41
Dividends,0.03,0.0,0.0,-0.03,0.0
"Other Source Of Income, Nec",0.01,0.08,0.02,0.07,-0.06
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.0,0.04,0.01,0.04,-0.03
Net Receipt From Family Sustenance Activities,0.0,0.02,0.0,0.02,-0.01
Received As Gifts,1.48,1.82,1.01,0.34,-0.81
Imputed Rent,7.93,9.97,10.12,2.04,0.15
City Of Valenzuela,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,62.72,65.53,72.07,2.81,6.54
Entrepreneurial Activities,10.28,11.65,9.58,1.37,-2.07
Cash Receipts From Abroad,6.97,5.48,4.19,-1.49,-1.29
Cash Receipts From Domestic Sources,6.27,4.56,2.44,-1.71,-2.11
Rentals Received,0.64,0.68,0.61,0.04,-0.07
Interest,0.01,0.0,0.02,-0.01,0.02
Pension,2.27,1.6,1.66,-0.67,0.07
Dividends,0.28,0.03,0.03,-0.25,0.0
"Other Source Of Income, Nec",0.25,0.01,0.01,-0.24,0.0
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.01,0.06,0.01,0.05,-0.05
Net Receipt From Family Sustenance Activities,0.0,0.01,0.01,0.01,0.0
Received As Gifts,1.59,1.06,0.78,-0.53,-0.28
Imputed Rent,8.72,9.32,8.58,0.6,-0.75
NCR IV,0.0,0.0,0.0,0.0,0.0
City Of Las Piñas,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,62.12,62.83,69.69,0.71,6.86
Entrepreneurial Activities,6.62,8.13,5.76,1.51,-2.37
Cash Receipts From Abroad,9.26,6.14,6.35,-3.12,0.22
Cash Receipts From Domestic Sources,1.37,2.8,1.41,1.43,-1.39
Rentals Received,0.51,0.68,0.44,0.17,-0.24
Interest,0.11,0.09,0.04,-0.02,-0.04
Pension,3.47,3.13,2.96,-0.34,-0.18
Dividends,0.99,0.1,0.3,-0.89,0.2
"Other Source Of Income, Nec",0.04,0.03,0.04,-0.01,0.02
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.0,0.01,0.04,0.01,0.04
Net Receipt From Family Sustenance Activities,0.0,0.01,0.02,0.01,0.0
Received As Gifts,1.02,1.34,0.9,0.32,-0.44
Imputed Rent,14.48,14.73,12.05,0.25,-2.68
City Of Muntinlupa,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,65.09,69.38,68.28,4.29,-1.1
Entrepreneurial Activities,10.19,7.97,7.37,-2.22,-0.6
Cash Receipts From Abroad,6.63,4.56,8.53,-2.07,3.97
Cash Receipts From Domestic Sources,2.29,2.68,3.01,0.39,0.33
Rentals Received,0.56,0.78,0.88,0.22,0.1
Interest,0.0,0.02,0.04,0.02,0.01
Pension,2.54,3.16,1.76,0.62,-1.4
Dividends,0.88,0.41,0.25,-0.47,-0.16
"Other Source Of Income, Nec",0.04,0.14,0.08,0.1,-0.06
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.02,0.0,0.01,-0.02,0.0
Net Receipt From Family Sustenance Activities,0.02,0.01,0.04,-0.01,0.04
Received As Gifts,1.19,1.0,0.66,-0.19,-0.34
Imputed Rent,10.55,9.89,9.09,-0.66,-0.8
City Of Parañaque,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,63.69,60.36,63.17,-3.33,2.81
Entrepreneurial Activities,8.6,11.82,9.4,3.22,-2.42
Cash Receipts From Abroad,6.78,4.17,6.87,-2.61,2.7
Cash Receipts From Domestic Sources,1.75,3.4,2.4,1.65,-0.99
Rentals Received,0.85,1.35,1.45,0.5,0.1
Interest,0.0,0.06,0.05,0.06,-0.01
Pension,2.86,3.07,2.06,0.21,-1.0
Dividends,0.68,0.05,2.99,-0.63,2.94
"Other Source Of Income, Nec",0.15,0.04,0.07,-0.11,0.03
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.05,0.01,0.0,-0.04,-0.01
Net Receipt From Family Sustenance Activities,0.01,0.01,0.01,0.0,0.0
Received As Gifts,0.99,1.12,1.01,0.13,-0.11
Imputed Rent,13.59,14.54,10.51,0.95,-4.03
Pasay City,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,62.98,62.71,69.11,-0.27,6.4
Entrepreneurial Activities,10.78,11.06,10.75,0.28,-0.3
Cash Receipts From Abroad,6.5,3.5,3.54,-3.0,0.03
Cash Receipts From Domestic Sources,2.58,5.02,4.56,2.44,-0.46
Rentals Received,1.36,1.3,0.88,-0.06,-0.42
Interest,0.02,0.04,0.01,0.02,-0.02
Pension,3.45,3.84,1.79,0.39,-2.05
Dividends,0.25,0.0,0.07,-0.25,0.07
"Other Source Of Income, Nec",0.57,0.05,0.03,-0.52,-0.02
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.01,0.01,0.02,0.0,0.01
Net Receipt From Family Sustenance Activities,0.0,0.01,0.0,0.01,-0.01
Received As Gifts,1.14,1.57,0.62,0.43,-0.95
Imputed Rent,10.37,10.9,8.62,0.53,-2.28
City Of Makati,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,55.67,58.76,60.22,3.09,1.46
Entrepreneurial Activities,12.04,11.41,12.59,-0.63,1.18
Cash Receipts From Abroad,4.77,3.66,3.1,-1.11,-0.56
Cash Receipts From Domestic Sources,1.3,1.83,0.85,0.53,-0.98
Rentals Received,3.06,1.65,1.32,-1.41,-0.33
Interest,0.23,0.08,0.19,-0.15,0.11
Pension,4.67,2.14,3.87,-2.53,1.72
Dividends,3.02,1.27,3.61,-1.75,2.33
"Other Source Of Income, Nec",0.09,0.68,0.04,0.59,-0.64
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.01,0.06,0.01,0.05,-0.05
Net Receipt From Family Sustenance Activities,0.0,2.14,0.0,2.14,-2.14
Received As Gifts,1.18,1.03,0.74,-0.15,-0.29
Imputed Rent,13.96,15.28,13.48,1.32,-1.81
Pateros,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,64.64,63.87,65.16,-0.77,1.28
Entrepreneurial Activities,12.74,14.37,14.08,1.63,-0.29
Cash Receipts From Abroad,5.08,3.2,5.08,-1.88,1.87
Cash Receipts From Domestic Sources,2.38,3.58,1.72,1.2,-1.87
Rentals Received,0.67,0.19,0.31,-0.48,0.12
Interest,0.18,0.02,0.03,-0.16,0.01
Pension,2.58,1.4,2.14,-1.18,0.74
Dividends,0.13,0.0,0.04,-0.13,0.03
"Other Source Of Income, Nec",0.03,0.08,0.24,0.05,0.16
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.19,0.01,0.01,-0.18,0.0
Net Receipt From Family Sustenance Activities,0.0,0.01,0.0,0.01,0.0
Received As Gifts,0.71,1.53,0.83,0.82,-0.7
Imputed Rent,10.65,11.72,10.36,1.07,-1.35
City Of Taguig,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,65.59,65.77,65.96,0.18,0.19
Entrepreneurial Activities,10.89,9.67,12.19,-1.22,2.52
Cash Receipts From Abroad,5.16,3.72,4.71,-1.44,1.0
Cash Receipts From Domestic Sources,2.13,3.3,1.8,1.17,-1.51
Rentals Received,1.72,2.34,1.22,0.62,-1.13
Interest,0.1,0.1,0.02,0.0,-0.08
Pension,2.8,1.8,2.82,-1.0,1.03
Dividends,0.02,0.0,0.56,-0.02,0.56
"Other Source Of Income, Nec",0.07,0.18,0.0,0.11,-0.18
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.0,0.01,0.14,0.01,0.14
Net Receipt From Family Sustenance Activities,0.01,0.01,0.01,0.0,0.0
Received As Gifts,0.93,1.22,0.84,0.29,-0.38
Imputed Rent,10.58,11.89,9.72,1.31,-2.17
CAR - Cordillera Administrative Region,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,43.11,48.24,51.4,5.13,3.16
Entrepreneurial Activities,26.34,19.32,19.3,-7.02,-0.02
Cash Receipts From Abroad,8.01,5.76,5.92,-2.25,0.15
Cash Receipts From Domestic Sources,4.37,4.18,3.82,-0.19,-0.36
Rentals Received,0.58,1.05,1.38,0.47,0.33
Interest,0.09,0.16,0.14,0.07,-0.02
Pension,3.09,3.47,3.38,0.38,-0.09
Dividends,0.06,0.07,0.17,0.01,0.09
"Other Source Of Income, Nec",0.03,0.32,0.13,0.29,-0.19
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.73,1.05,0.98,0.32,-0.07
Net Receipt From Family Sustenance Activities,1.57,2.33,1.43,0.76,-0.91
Received As Gifts,2.95,3.62,2.48,0.67,-1.14
Imputed Rent,9.07,10.42,9.48,1.35,-0.94
Abra,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,43.89,42.74,49.29,-1.15,6.55
Entrepreneurial Activities,19.3,16.71,15.38,-2.59,-1.34
Cash Receipts From Abroad,13.07,11.3,11.75,-1.77,0.45
Cash Receipts From Domestic Sources,7.25,6.17,7.36,-1.08,1.18
Rentals Received,0.22,0.39,0.47,0.17,0.07
Interest,0.06,0.05,0.07,-0.01,0.03
Pension,3.14,4.03,3.14,0.89,-0.89
Dividends,0.0,0.08,0.05,0.08,-0.03
"Other Source Of Income, Nec",0.02,0.1,0.15,0.08,0.06
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.93,1.38,0.68,0.45,-0.71
Net Receipt From Family Sustenance Activities,3.28,3.43,2.0,0.15,-1.43
Received As Gifts,2.45,4.07,2.15,1.62,-1.92
Imputed Rent,6.39,9.54,7.52,3.15,-2.02
Benguet (excluding City Of Baguio),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,39.5,46.96,45.75,7.46,-1.21
Entrepreneurial Activities,30.33,24.97,24.11,-5.36,-0.86
Cash Receipts From Abroad,7.62,4.74,5.04,-2.88,0.3
Cash Receipts From Domestic Sources,4.04,3.6,2.86,-0.44,-0.73
Rentals Received,0.58,0.84,1.28,0.26,0.43
Interest,0.03,0.06,0.02,0.03,-0.04
Pension,2.49,2.43,2.94,-0.06,0.51
Dividends,0.05,0.1,0.17,0.05,0.06
"Other Source Of Income, Nec",0.06,0.12,0.18,0.06,0.06
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.68,1.13,1.74,0.45,0.61
Net Receipt From Family Sustenance Activities,1.2,1.0,0.39,-0.2,-0.61
Received As Gifts,3.35,3.8,2.48,0.45,-1.31
Imputed Rent,10.08,10.25,13.04,0.17,2.79
City Of Baguio,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,44.57,54.08,60.53,9.51,6.45
Entrepreneurial Activities,21.65,11.88,11.78,-9.77,-0.1
Cash Receipts From Abroad,9.4,6.61,6.45,-2.79,-0.16
Cash Receipts From Domestic Sources,3.22,2.43,1.84,-0.79,-0.59
Rentals Received,0.79,2.05,2.68,1.26,0.63
Interest,0.05,0.01,0.03,-0.04,0.02
Pension,3.75,4.3,3.37,0.55,-0.93
Dividends,0.11,0.08,0.26,-0.03,0.18
"Other Source Of Income, Nec",0.02,0.7,0.17,0.68,-0.53
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.41,0.15,0.11,-0.26,-0.03
Net Receipt From Family Sustenance Activities,0.1,0.09,0.06,-0.01,-0.02
Received As Gifts,3.07,2.33,1.84,-0.74,-0.5
Imputed Rent,12.87,15.29,10.86,2.42,-4.42
Ifugao,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,40.51,46.36,46.49,5.85,0.13
Entrepreneurial Activities,33.21,23.75,24.48,-9.46,0.73
Cash Receipts From Abroad,6.65,4.14,4.67,-2.51,0.53
Cash Receipts From Domestic Sources,4.06,6.19,4.91,2.13,-1.28
Rentals Received,0.3,0.47,1.0,0.17,0.53
Interest,0.06,0.12,0.11,0.06,0.0
Pension,1.98,2.35,3.58,0.37,1.23
Dividends,0.09,0.03,0.11,-0.06,0.08
"Other Source Of Income, Nec",0.04,0.07,0.08,0.03,0.01
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.56,1.84,1.36,0.28,-0.48
Net Receipt From Family Sustenance Activities,3.35,4.2,3.82,0.85,-0.39
Received As Gifts,3.28,3.5,3.14,0.22,-0.36
Imputed Rent,4.9,6.99,6.24,2.09,-0.75
Kalinga,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,44.97,46.03,52.99,1.06,6.96
Entrepreneurial Activities,31.15,18.69,18.17,-12.46,-0.53
Cash Receipts From Abroad,4.31,4.23,4.53,-0.08,0.3
Cash Receipts From Domestic Sources,5.5,5.21,5.22,-0.29,0.0
Rentals Received,0.54,0.7,0.47,0.16,-0.23
Interest,0.28,0.97,0.85,0.69,-0.12
Pension,2.83,4.71,2.86,1.88,-1.85
Dividends,0.05,0.08,0.07,0.03,-0.02
"Other Source Of Income, Nec",0.03,0.03,0.08,0.0,0.06
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.89,1.31,0.89,0.42,-0.43
Net Receipt From Family Sustenance Activities,2.43,6.63,3.91,4.2,-2.73
Received As Gifts,1.63,4.06,2.98,2.43,-1.08
Imputed Rent,5.38,7.34,7.0,1.96,-0.34
Mountain Province,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,47.29,48.04,51.22,0.75,3.18
Entrepreneurial Activities,24.27,21.37,24.43,-2.9,3.06
Cash Receipts From Abroad,5.05,3.67,3.64,-1.38,-0.03
Cash Receipts From Domestic Sources,6.03,5.6,5.52,-0.43,-0.09
Rentals Received,0.87,0.54,0.93,-0.33,0.39
Interest,0.24,0.05,0.19,-0.19,0.14
Pension,4.97,4.05,3.39,-0.92,-0.66
Dividends,0.02,0.03,0.28,0.01,0.25
"Other Source Of Income, Nec",0.06,0.89,0.0,0.83,-0.89
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.58,0.96,0.95,0.38,0.0
Net Receipt From Family Sustenance Activities,2.28,3.95,1.62,1.67,-2.33
Received As Gifts,3.62,5.08,3.09,1.46,-1.99
Imputed Rent,4.74,5.78,4.74,1.04,-1.04
Apayao,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,48.37,40.85,43.25,-7.52,2.41
Entrepreneurial Activities,26.74,28.07,26.18,1.33,-1.89
Cash Receipts From Abroad,6.12,5.04,5.26,-1.08,0.23
Cash Receipts From Domestic Sources,4.73,5.33,5.37,0.6,0.04
Rentals Received,0.03,0.2,0.15,0.17,-0.05
Interest,0.08,0.16,0.11,0.08,-0.06
Pension,2.24,1.61,6.26,-0.63,4.65
Dividends,0.0,0.02,0.02,0.02,0.0
"Other Source Of Income, Nec",0.0,0.02,0.08,0.02,0.07
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.11,3.12,1.62,2.01,-1.5
Net Receipt From Family Sustenance Activities,4.49,4.3,3.08,-0.19,-1.22
Received As Gifts,2.07,6.43,3.26,4.36,-3.17
Imputed Rent,4.01,4.86,5.37,0.85,0.51
Region I - Ilocos Region,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,43.4,43.9,47.48,0.5,3.59
Entrepreneurial Activities,17.95,17.2,15.68,-0.75,-1.52
Cash Receipts From Abroad,16.52,13.08,13.77,-3.44,0.69
Cash Receipts From Domestic Sources,6.72,6.67,5.52,-0.05,-1.15
Rentals Received,0.2,0.59,1.24,0.39,0.64
Interest,0.02,0.07,0.05,0.05,-0.02
Pension,3.53,4.58,3.81,1.05,-0.77
Dividends,0.31,0.13,0.04,-0.18,-0.09
"Other Source Of Income, Nec",0.03,0.09,0.05,0.06,-0.04
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.27,0.49,0.54,0.22,0.04
Net Receipt From Family Sustenance Activities,1.11,1.28,0.96,0.17,-0.31
Received As Gifts,2.74,3.64,3.07,0.9,-0.57
Imputed Rent,7.22,8.28,7.79,1.06,-0.5
Ilocos Norte,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,36.88,42.55,42.36,5.67,-0.19
Entrepreneurial Activities,19.54,15.65,17.49,-3.89,1.84
Cash Receipts From Abroad,21.97,18.49,20.28,-3.48,1.79
Cash Receipts From Domestic Sources,6.02,5.56,5.32,-0.46,-0.24
Rentals Received,0.08,0.37,0.12,0.29,-0.25
Interest,0.02,0.08,0.02,0.06,-0.06
Pension,2.48,3.66,1.99,1.18,-1.67
Dividends,0.39,0.38,0.1,-0.01,-0.29
"Other Source Of Income, Nec",0.08,0.15,0.08,0.07,-0.07
