region_province_huc_by_expenditure_group,in_percent_2018,in_percent_2021,in_percent_2023,pct_point_change_2018_to_2021,pct_point_change_2021_to_2023
Insurance And Financial Services,0.0,2.8,2.79,2.8,-0.01
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.8,3.53,3.38,-3.27,-0.16
Durable Furniture And Equipment,3.91,1.9,2.01,-2.01,0.11
Special Family Occasion,1.74,0.53,1.07,-1.21,0.54
Other Expenditures,3.09,2.43,1.71,-0.66,-0.72
City Of Marikina,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,35.85,35.2,35.44,-0.66,0.24
Food Consumed At Home,24.08,28.69,24.53,4.61,-4.16
Food Regularly Consumed Outside The Home,11.77,6.51,10.91,-5.27,4.4
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.48,1.11,0.98,-0.37,-0.13
Clothing And Footwear,1.7,1.0,1.42,-0.7,0.42
"Housing, Water, Electricity, Gas And Other Fuels",25.02,31.23,28.14,6.2,-3.09
Furnishings And Routine Household Maintenance,2.28,2.33,2.97,0.05,0.64
Health,3.04,2.91,4.55,-0.13,1.63
Transport,7.92,5.57,7.43,-2.35,1.86
Information And Communication,3.04,4.36,3.79,1.32,-0.57
"Recreation, Sport And Culture",0.76,0.41,0.88,-0.35,0.47
Education,3.9,1.7,2.52,-2.2,0.82
Hotels (accommodation Services),0.02,0.0,0.04,-0.02,0.04
Insurance And Financial Services,0.0,4.18,3.24,4.18,-0.94
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.79,3.52,3.44,-3.27,-0.08
Durable Furniture And Equipment,2.71,3.64,1.45,0.93,-2.19
Special Family Occasion,1.31,1.03,1.37,-0.28,0.33
Other Expenditures,4.16,1.8,2.34,-2.36,0.54
City Of Pasig,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,38.76,35.4,32.0,-3.36,-3.4
Food Consumed At Home,27.07,31.62,25.2,4.55,-6.42
Food Regularly Consumed Outside The Home,11.7,3.78,6.79,-7.92,3.01
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.01,0.0,0.0
Alcoholic Beverages And Tobacco,1.51,1.17,1.17,-0.34,0.0
Clothing And Footwear,2.7,0.87,1.68,-1.83,0.81
"Housing, Water, Electricity, Gas And Other Fuels",24.69,34.27,30.18,9.59,-4.09
Furnishings And Routine Household Maintenance,2.14,1.65,2.5,-0.49,0.84
Health,2.1,2.37,3.5,0.27,1.13
Transport,5.96,4.74,6.56,-1.21,1.82
Information And Communication,2.94,4.61,4.13,1.68,-0.48
"Recreation, Sport And Culture",0.85,0.29,1.23,-0.56,0.94
Education,3.03,1.89,3.1,-1.14,1.21
Hotels (accommodation Services),0.03,0.0,0.01,-0.02,0.01
Insurance And Financial Services,0.0,3.75,4.19,3.75,0.44
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.67,3.46,3.19,-3.21,-0.27
Durable Furniture And Equipment,2.78,2.37,1.2,-0.41,-1.17
Special Family Occasion,2.55,0.82,1.43,-1.73,0.61
Other Expenditures,3.3,2.32,3.93,-0.97,1.6
NCR III,0.0,0.0,0.0,0.0,0.0
City Of Caloocan,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,44.52,44.88,40.92,0.36,-3.96
Food Consumed At Home,31.75,37.48,32.75,5.73,-4.72
Food Regularly Consumed Outside The Home,12.77,7.38,8.17,-5.39,0.79
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.03,0.0,0.03,-0.03
Alcoholic Beverages And Tobacco,1.96,1.67,0.93,-0.29,-0.75
Clothing And Footwear,1.77,1.09,1.62,-0.68,0.53
"Housing, Water, Electricity, Gas And Other Fuels",22.23,27.19,25.79,4.95,-1.4
Furnishings And Routine Household Maintenance,1.78,1.2,2.34,-0.58,1.14
Health,1.81,1.95,2.19,0.15,0.24
Transport,7.33,4.71,6.66,-2.62,1.95
Information And Communication,2.49,4.23,4.26,1.75,0.03
"Recreation, Sport And Culture",0.52,0.29,0.81,-0.23,0.52
Education,2.23,1.15,1.8,-1.08,0.65
Hotels (accommodation Services),0.04,0.12,0.02,0.08,-0.1
Insurance And Financial Services,0.0,2.48,2.52,2.48,0.03
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.95,4.2,3.89,-2.75,-0.31
Durable Furniture And Equipment,2.08,2.02,1.65,-0.05,-0.37
Special Family Occasion,2.55,1.51,1.87,-1.04,0.36
Other Expenditures,1.76,1.31,2.74,-0.45,1.42
City Of Malabon,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,47.0,41.41,43.91,-5.59,2.51
Food Consumed At Home,33.69,34.98,37.23,1.28,2.26
Food Regularly Consumed Outside The Home,13.31,6.43,6.67,-6.88,0.24
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.01,0.0,0.01
Alcoholic Beverages And Tobacco,2.0,1.51,1.04,-0.49,-0.47
Clothing And Footwear,1.36,1.04,1.61,-0.33,0.57
"Housing, Water, Electricity, Gas And Other Fuels",22.87,29.56,26.35,6.7,-3.21
Furnishings And Routine Household Maintenance,1.7,1.34,2.5,-0.36,1.17
Health,1.8,3.17,1.76,1.37,-1.41
Transport,6.21,4.4,5.25,-1.8,0.85
Information And Communication,2.24,4.13,4.05,1.89,-0.08
"Recreation, Sport And Culture",0.43,0.27,0.57,-0.16,0.3
Education,2.05,1.06,2.56,-0.99,1.5
Hotels (accommodation Services),0.03,0.08,0.0,0.05,-0.07
Insurance And Financial Services,0.0,3.0,2.11,3.0,-0.89
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.77,4.3,3.39,-2.47,-0.91
Durable Furniture And Equipment,2.04,1.83,1.39,-0.21,-0.44
Special Family Occasion,1.93,1.85,1.31,-0.08,-0.54
Other Expenditures,1.58,1.08,2.2,-0.5,1.12
City Of Navotas,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,47.88,44.39,43.71,-3.49,-0.68
Food Consumed At Home,36.27,37.68,36.52,1.41,-1.16
Food Regularly Consumed Outside The Home,11.61,6.71,7.19,-4.9,0.47
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.07,1.88,1.27,-0.19,-0.61
Clothing And Footwear,2.13,1.23,2.08,-0.9,0.85
"Housing, Water, Electricity, Gas And Other Fuels",22.93,28.97,26.74,6.03,-2.23
Furnishings And Routine Household Maintenance,1.98,1.7,2.75,-0.28,1.05
Health,1.7,2.2,1.9,0.5,-0.3
Transport,5.41,3.92,4.61,-1.49,0.69
Information And Communication,2.36,4.21,4.02,1.85,-0.19
"Recreation, Sport And Culture",0.41,0.22,0.65,-0.19,0.42
Education,1.65,0.9,1.14,-0.76,0.25
Hotels (accommodation Services),0.04,0.0,0.01,-0.04,0.01
Insurance And Financial Services,0.0,2.26,1.87,2.26,-0.39
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.66,4.5,3.89,-2.16,-0.61
Durable Furniture And Equipment,1.85,1.77,1.78,-0.08,0.01
Special Family Occasion,1.74,0.99,1.55,-0.74,0.55
Other Expenditures,1.17,0.85,2.03,-0.33,1.18
City Of Valenzuela,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,44.07,41.59,38.26,-2.48,-3.34
Food Consumed At Home,32.28,31.15,30.32,-1.12,-0.83
Food Regularly Consumed Outside The Home,11.79,10.43,7.93,-1.36,-2.5
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,0.0
Alcoholic Beverages And Tobacco,1.51,1.2,1.04,-0.31,-0.16
Clothing And Footwear,1.92,0.79,1.53,-1.13,0.75
"Housing, Water, Electricity, Gas And Other Fuels",23.8,28.81,27.07,5.01,-1.74
Furnishings And Routine Household Maintenance,1.75,1.45,2.53,-0.3,1.08
Health,2.31,2.12,3.04,-0.19,0.92
Transport,6.38,4.76,6.49,-1.62,1.73
Information And Communication,2.44,4.36,4.09,1.92,-0.27
"Recreation, Sport And Culture",0.45,0.27,0.57,-0.18,0.3
Education,2.76,1.53,2.04,-1.23,0.51
Hotels (accommodation Services),0.01,0.05,0.03,0.04,-0.02
Insurance And Financial Services,0.0,3.5,3.36,3.5,-0.14
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.37,3.88,3.82,-3.48,-0.07
Durable Furniture And Equipment,2.12,2.49,1.71,0.37,-0.78
Special Family Occasion,1.96,1.04,1.48,-0.92,0.44
Other Expenditures,1.16,2.16,2.94,1.0,0.78
NCR IV,0.0,0.0,0.0,0.0,0.0
City Of Las Piñas,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,34.4,34.78,33.23,0.38,-1.55
Food Consumed At Home,24.99,31.12,28.36,6.13,-2.77
Food Regularly Consumed Outside The Home,9.41,3.64,4.86,-5.77,1.22
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,1.34,1.02,0.56,-0.32,-0.46
Clothing And Footwear,1.99,0.93,1.61,-1.06,0.68
"Housing, Water, Electricity, Gas And Other Fuels",29.19,36.03,34.09,6.84,-1.94
Furnishings And Routine Household Maintenance,2.12,1.9,2.87,-0.22,0.97
Health,1.79,2.0,2.29,0.21,0.29
Transport,7.5,5.3,7.2,-2.19,1.9
Information And Communication,3.13,4.45,4.29,1.32,-0.16
"Recreation, Sport And Culture",0.51,0.3,0.78,-0.22,0.48
Education,2.59,2.0,3.07,-0.59,1.07
Hotels (accommodation Services),0.01,0.03,0.04,0.01,0.01
Insurance And Financial Services,0.0,3.57,2.71,3.57,-0.87
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.94,3.57,3.13,-3.37,-0.43
Durable Furniture And Equipment,2.59,1.67,1.51,-0.92,-0.16
Special Family Occasion,1.3,1.01,1.41,-0.29,0.4
Other Expenditures,4.59,1.45,1.22,-3.14,-0.23
City Of Muntinlupa,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,35.34,44.54,42.11,9.2,-2.43
Food Consumed At Home,26.34,37.28,34.57,10.94,-2.71
Food Regularly Consumed Outside The Home,9.0,7.25,7.53,-1.75,0.28
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,-0.01
Alcoholic Beverages And Tobacco,1.88,1.45,1.21,-0.43,-0.24
Clothing And Footwear,2.35,0.96,1.94,-1.39,0.98
"Housing, Water, Electricity, Gas And Other Fuels",24.99,25.77,24.94,0.79,-0.83
Furnishings And Routine Household Maintenance,3.0,1.69,2.38,-1.31,0.69
Health,3.23,2.38,2.51,-0.85,0.13
Transport,7.12,8.16,6.83,1.04,-1.33
Information And Communication,2.82,3.86,3.73,1.04,-0.13
"Recreation, Sport And Culture",0.7,0.26,0.75,-0.45,0.49
Education,2.79,1.01,1.16,-1.77,0.14
Hotels (accommodation Services),0.02,0.0,0.04,-0.01,0.03
Insurance And Financial Services,0.0,3.04,2.77,3.04,-0.27
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.37,4.06,3.58,-3.31,-0.48
Durable Furniture And Equipment,2.78,0.84,1.58,-1.94,0.75
Special Family Occasion,2.09,0.96,1.55,-1.12,0.59
Other Expenditures,3.53,1.0,2.93,-2.53,1.93
City Of Parañaque,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,30.4,35.6,34.37,5.21,-1.23
Food Consumed At Home,22.67,31.13,28.07,8.46,-3.06
Food Regularly Consumed Outside The Home,7.73,4.47,6.3,-3.26,1.83
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.44,1.33,1.03,-0.11,-0.3
Clothing And Footwear,2.17,1.06,1.64,-1.1,0.58
"Housing, Water, Electricity, Gas And Other Fuels",29.36,33.89,29.86,4.53,-4.03
Furnishings And Routine Household Maintenance,3.44,2.7,4.15,-0.74,1.44
Health,1.75,2.9,2.53,1.15,-0.37
Transport,7.47,5.1,6.96,-2.37,1.86
Information And Communication,3.13,3.81,4.05,0.68,0.24
"Recreation, Sport And Culture",0.56,0.36,0.86,-0.2,0.5
Education,2.96,2.2,3.56,-0.76,1.36
Hotels (accommodation Services),0.02,0.01,0.02,-0.01,0.01
Insurance And Financial Services,0.0,3.03,3.22,3.03,0.2
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.16,3.43,3.34,-3.73,-0.08
Durable Furniture And Equipment,2.75,1.03,1.61,-1.72,0.59
Special Family Occasion,1.3,1.26,1.19,-0.04,-0.07
Other Expenditures,6.1,2.29,1.59,-3.81,-0.7
Pasay City,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,30.94,38.09,38.76,7.15,0.67
Food Consumed At Home,22.9,32.68,25.22,9.78,-7.46
Food Regularly Consumed Outside The Home,8.04,5.39,13.54,-2.65,8.15
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.02,0.0,0.02,-0.02
Alcoholic Beverages And Tobacco,1.64,1.55,1.07,-0.09,-0.48
Clothing And Footwear,2.45,1.1,1.75,-1.34,0.64
"Housing, Water, Electricity, Gas And Other Fuels",30.78,33.94,31.27,3.16,-2.67
Furnishings And Routine Household Maintenance,1.71,1.4,1.76,-0.31,0.36
Health,2.94,2.78,2.2,-0.16,-0.58
Transport,5.53,4.2,5.33,-1.32,1.12
Information And Communication,3.32,4.36,4.07,1.04,-0.29
"Recreation, Sport And Culture",0.56,0.31,0.53,-0.26,0.22
Education,2.71,1.34,2.36,-1.36,1.02
Hotels (accommodation Services),0.01,0.01,0.04,0.0,0.03
Insurance And Financial Services,0.0,3.18,3.21,3.18,0.04
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.99,3.95,3.16,-4.04,-0.78
Durable Furniture And Equipment,2.46,1.25,0.93,-1.21,-0.31
Special Family Occasion,1.87,1.21,0.72,-0.66,-0.49
Other Expenditures,5.1,1.33,2.83,-3.77,1.5
City Of Makati,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,31.14,29.47,25.83,-1.67,-3.63
Food Consumed At Home,19.25,22.7,18.88,3.45,-3.81
Food Regularly Consumed Outside The Home,11.89,6.77,6.94,-5.12,0.17
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.01,0.0,0.01
Alcoholic Beverages And Tobacco,1.02,0.65,0.71,-0.37,0.06
Clothing And Footwear,2.5,1.21,1.71,-1.29,0.51
"Housing, Water, Electricity, Gas And Other Fuels",33.32,40.91,41.59,7.59,0.68
Furnishings And Routine Household Maintenance,2.98,2.77,2.6,-0.22,-0.16
Health,1.92,1.85,2.58,-0.07,0.73
Transport,5.55,4.08,4.89,-1.47,0.8
Information And Communication,2.99,4.41,3.66,1.43,-0.75
"Recreation, Sport And Culture",0.89,0.33,1.21,-0.57,0.88
Education,2.15,1.33,2.2,-0.81,0.86
Hotels (accommodation Services),0.04,0.02,0.01,-0.02,0.0
Insurance And Financial Services,0.0,4.46,4.35,4.46,-0.11
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.49,3.22,2.76,-3.27,-0.46
Durable Furniture And Equipment,2.48,1.91,0.51,-0.58,-1.4
Special Family Occasion,2.06,1.25,0.65,-0.82,-0.6
Other Expenditures,4.47,2.14,4.74,-2.33,2.6
Pateros,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,39.54,38.16,37.05,-1.39,-1.11
Food Consumed At Home,25.95,33.8,29.18,7.85,-4.63
Food Regularly Consumed Outside The Home,13.59,4.35,7.87,-9.24,3.52
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.86,1.14,1.02,-0.72,-0.12
Clothing And Footwear,2.09,0.93,1.45,-1.15,0.51
"Housing, Water, Electricity, Gas And Other Fuels",24.8,32.86,31.02,8.06,-1.85
Furnishings And Routine Household Maintenance,1.39,1.38,2.38,0.0,1.0
Health,1.55,2.55,2.92,1.0,0.37
Transport,5.51,3.63,6.43,-1.89,2.8
Information And Communication,2.65,4.45,4.27,1.8,-0.18
"Recreation, Sport And Culture",0.55,0.17,0.5,-0.37,0.33
Education,2.75,1.34,2.63,-1.41,1.29
Hotels (accommodation Services),0.02,0.07,0.02,0.04,-0.05
Insurance And Financial Services,0.0,3.71,3.23,3.71,-0.48
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.93,3.41,3.34,-3.52,-0.08
Durable Furniture And Equipment,4.96,4.4,0.82,-0.57,-3.58
Special Family Occasion,2.26,1.02,1.44,-1.24,0.42
Other Expenditures,3.14,0.79,1.49,-2.35,0.71
City Of Taguig,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,41.65,40.42,36.12,-1.23,-4.29
Food Consumed At Home,28.33,36.85,28.45,8.51,-8.39
Food Regularly Consumed Outside The Home,13.32,3.57,7.67,-9.75,4.1
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.49,1.26,1.1,-0.22,-0.17
Clothing And Footwear,2.43,0.75,1.76,-1.67,1.0
"Housing, Water, Electricity, Gas And Other Fuels",23.35,33.51,29.49,10.16,-4.01
Furnishings And Routine Household Maintenance,1.54,1.19,2.61,-0.35,1.42
Health,1.82,2.05,2.81,0.23,0.76
Transport,5.53,3.87,6.45,-1.66,2.57
Information And Communication,2.68,4.37,3.89,1.69,-0.48
"Recreation, Sport And Culture",0.52,0.16,1.11,-0.36,0.95
Education,1.9,0.88,2.69,-1.02,1.81
Hotels (accommodation Services),0.03,0.01,0.03,-0.02,0.03
Insurance And Financial Services,0.0,2.97,3.67,2.97,0.7
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.04,3.57,3.44,-3.48,-0.13
Durable Furniture And Equipment,3.84,2.65,0.93,-1.19,-1.72
Special Family Occasion,2.95,1.26,1.3,-1.69,0.05
Other Expenditures,3.24,1.09,2.59,-2.15,1.5
CAR - Cordillera Administrative Region,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,34.53,37.78,39.26,3.25,1.48
Food Consumed At Home,30.98,35.95,36.59,4.96,0.64
Food Regularly Consumed Outside The Home,3.55,1.83,2.66,-1.72,0.83
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.02,0.01,0.01
