incident_number,exposure_number,id,address,incident_date,call_number,alarm_dttm,arrival_dttm,close_dttm,city,zipcode,battalion,station_area,box,suppression_units,suppression_personnel,ems_units,ems_personnel,other_units,other_personnel,first_unit_on_scene,estimated_property_loss,estimated_contents_loss,fire_fatalities,fire_injuries,civilian_fatalities,civilian_injuries,number_of_alarms,primary_situation,mutual_aid,action_taken_primary,action_taken_secondary,action_taken_other,detector_alerted_occupants,property_use,area_of_fire_origin,ignition_cause,ignition_factor_primary,ignition_factor_secondary,heat_source,item_first_ignited,human_factors_associated_with_ignition,structure_type,structure_status,floor_of_fire_origin,fire_spread,no_flame_spread,number_of_floors_with_minimum_damage,number_of_floors_with_significant_damage,number_of_floors_with_heavy_damage,number_of_floors_with_extreme_damage,detectors_present,detector_type,detector_operation,detector_effectiveness,detector_failure_reason,automatic_extinguishing_system_present,automatic_extinguishing_sytem_type,automatic_extinguishing_sytem_perfomance,automatic_extinguishing_sytem_failure_reason,number_of_sprinkler_heads_operating,supervisor_district,neighborhood_district,point,data_as_of,data_loaded_at
8015417,0,80154170,684 Ellis Street,2008-02-18,80490040,2008-02-18 02:42:14,2008-02-18 02:48:29,2008-02-18 02:54:49,San Francisco,94109.0,B02,3,4443,3,11,0,0,0,0,E03,50.0,50.0,0,0,0,0,1,"743  -  Smoke detector, no fire, accidental",Mutual aid received,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,429  -  Multifamily dwellings,"24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,,81  -  Heat; direct flame or convection,"76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"32  - Bedding; blanket, sheet, comforter",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",5  - Battery missing or disconnected,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,U  - Undetermined,0.0,5.0,Tenderloin,"-122.41743, 37.784343",2008-02-18 07:50:12,2025-06-01 02:18:08
8015418,0,80154180,1145 Market Street,2008-02-18,80490041,2008-02-18 02:59:40,2008-02-18 03:07:45,2008-02-18 03:21:46,San Francisco,94103.0,B02,1,4443,1,4,0,0,0,0,E36,50.0,50.0,0,0,0,0,1,"118  -  Trash or rubbish fire, contained",Mutual aid received,11  -  Extinguish,86  -  Investigate,86  -  Investigate,U  -  Unknown,"500  -  Mercantile, business, other","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,,81  -  Heat; direct flame or convection,"76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"32  - Bedding; blanket, sheet, comforter",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",5  - Battery missing or disconnected,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,U  - Undetermined,0.0,6.0,South of Market,"-122.413252, 37.779803",2008-02-18 07:00:28,2025-06-01 02:18:08
8015444,0,80154440,1099 Market Street,2008-02-18,80490076,2008-02-18 08:29:28,2008-02-18 08:32:35,2008-02-18 08:33:15,San Francisco,94102.0,B02,1,4443,1,4,0,0,0,0,E36,50.0,50.0,0,0,0,0,1,"711  -  Municipal alarm system, Street Box False",Mutual aid received,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"960  -  Street, other","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,,81  -  Heat; direct flame or convection,"76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"32  - Bedding; blanket, sheet, comforter",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",5  - Battery missing or disconnected,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,U  - Undetermined,0.0,6.0,South of Market,"-122.412393, 37.780478",2008-02-22 23:22:56,2025-06-01 02:18:08
8015452,0,80154520,3038 Harrison Street,2008-02-18,80490086,2008-02-18 09:01:14,2008-02-18 09:05:38,2008-02-18 10:05:55,San Francisco,94124.0,B06,9,4443,1,4,0,0,0,0,E09,50.0,50.0,0,0,0,0,1,"311  -  Medical assist, assist EMS crew",Mutual aid received,"30  -  Emergency medical services, other",86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"962  -  Residential street, road or residential dr","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,,81  -  Heat; direct flame or convection,"76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"32  - Bedding; blanket, sheet, comforter",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",5  - Battery missing or disconnected,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,U  - Undetermined,0.0,9.0,Mission,"-122.41261899, 37.74884807",2008-02-23 19:27:28,2025-06-01 02:18:08
8015455,0,80154550,Stockton Street / Market Street,2008-02-18,80490091,2008-02-18 09:07:40,2008-02-18 09:12:00,2008-02-18 09:12:00,San Francisco,94102.0,B03,1,4443,2,9,0,0,0,0,E01,50.0,50.0,0,0,0,0,1,"710  -  Malicious, mischievous false call, other",Mutual aid received,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"000  -  Property Use, other","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,,81  -  Heat; direct flame or convection,"76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"32  - Bedding; blanket, sheet, comforter",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",5  - Battery missing or disconnected,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,U  - Undetermined,0.0,6.0,Financial District/South Beach,"-122.405833, 37.785745",2008-02-18 21:31:37,2025-06-01 02:18:08
8015464,0,80154640,950 Stockton Street,2008-02-18,80490107,2008-02-18 09:58:45,2008-02-18 10:07:42,2008-02-18 10:11:50,San Francisco,94133.0,B01,2,4443,1,5,0,0,0,0,T02,50.0,50.0,0,0,0,0,1,"350  -  Extrication, rescue, other",Mutual aid received,21  -  Search,"22  -  Rescue, remove from harm",86  -  Investigate,1  -  Detector alerted occupants,599  -  Business office,"24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,,81  -  Heat; direct flame or convection,"76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"32  - Bedding; blanket, sheet, comforter",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",5  - Battery missing or disconnected,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,U  - Undetermined,0.0,3.0,Chinatown,"-122.40780058, 37.79471678",2008-02-18 19:16:51,2025-06-01 02:18:08
8015466,0,80154660,459 Ashbury Street,2008-02-18,80490111,2008-02-18 10:18:41,2008-02-18 10:25:37,2008-02-18 10:32:13,San Francisco,94117.0,B05,21,4443,3,11,0,0,0,0,T12,50.0,50.0,0,0,0,0,1,745  -  Alarm system sounded/no fire - accidental,Mutual aid received,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,419  -  1 or 2 family dwelling,"24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,,81  -  Heat; direct flame or convection,"76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"32  - Bedding; blanket, sheet, comforter",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",5  - Battery missing or disconnected,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,U  - Undetermined,0.0,5.0,Haight Ashbury,"-122.44746171, 37.77109732",2008-02-18 20:41:27,2025-06-01 02:18:08
8015475,0,80154750,Fulton Street / 45th Avenue,2008-02-18,80490129,2008-02-18 10:59:27,2008-02-18 11:04:16,2008-02-18 11:37:16,San Francisco,94122.0,B07,34,4443,1,4,0,0,0,0,E23,50.0,50.0,0,0,0,0,1,"118  -  Trash or rubbish fire, contained",Mutual aid received,86  -  Investigate,86  -  Investigate,86  -  Investigate,U  -  Unknown,"154  -  Memorial structure, including monuments &","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,,81  -  Heat; direct flame or convection,"76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"32  - Bedding; blanket, sheet, comforter",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",5  - Battery missing or disconnected,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,U  - Undetermined,0.0,1.0,Golden Gate Park,"-122.50561, 37.771591",2008-02-29 13:27:51,2025-06-01 02:18:08
8015483,0,80154830,Fillmore Street / Pine Street,2008-02-18,80490137,2008-02-18 11:43:16,2008-02-18 11:47:10,2008-02-18 12:00:55,San Francisco,94115.0,B04,38,4443,1,5,0,0,0,0,T05,50.0,50.0,0,0,0,0,1,554  -  Assist invalid,Mutual aid received,71  -  Assist physically disabled,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"960  -  Street, other","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,,81  -  Heat; direct flame or convection,"76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"32  - Bedding; blanket, sheet, comforter",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",5  - Battery missing or disconnected,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,U  - Undetermined,0.0,2.0,Pacific Heights,"-122.433648, 37.787951",2008-02-18 13:32:14,2025-06-01 02:18:08
8015489,0,80154890,Turk Street / Hyde Street,2008-02-18,80490144,2008-02-18 11:58:33,2008-02-18 12:00:54,2008-02-18 12:02:37,San Francisco,94109.0,B02,3,4443,2,9,0,0,0,0,E03,50.0,50.0,0,0,0,0,1,"711  -  Municipal alarm system, Street Box False",Mutual aid received,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"960  -  Street, other","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,,81  -  Heat; direct flame or convection,"76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"32  - Bedding; blanket, sheet, comforter",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",5  - Battery missing or disconnected,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,U  - Undetermined,0.0,5.0,Tenderloin,"-122.415695, 37.782585",2008-02-18 12:10:00,2025-06-01 02:18:08
8015491,0,80154910,560 Davis Street,2008-02-18,80490150,2008-02-18 12:09:43,2008-02-18 12:13:30,2008-02-18 12:25:33,San Francisco,94111.0,B01,13,4443,3,11,0,0,0,0,T13,50.0,50.0,0,0,0,0,1,"700  -  False alarm or false call, other",Mutual aid received,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"500  -  Mercantile, business, other","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,,81  -  Heat; direct flame or convection,"76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"32  - Bedding; blanket, sheet, comforter",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",5  - Battery missing or disconnected,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,U  - Undetermined,0.0,3.0,Financial District/South Beach,"-122.398357, 37.797617",2008-02-18 12:52:56,2025-06-01 02:18:08
8015499,0,80154990,241 Jones Street,2008-02-18,80490162,2008-02-18 12:29:26,2008-02-18 12:33:59,2008-02-18 12:41:00,San Francisco,94102.0,B03,1,4443,3,11,0,0,0,0,E03,50.0,50.0,0,0,0,0,1,531  -  Smoke or odor removal,Mutual aid received,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"439  -  Boarding/rooming house, res. hotels","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,,81  -  Heat; direct flame or convection,"76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"32  - Bedding; blanket, sheet, comforter",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",5  - Battery missing or disconnected,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,U  - Undetermined,0.0,5.0,Tenderloin,"-122.41286611, 37.78347869",2008-02-18 20:40:01,2025-06-01 02:18:08
8015508,0,80155080,800 Innes Avenue,2008-02-18,80490171,2008-02-18 12:48:20,2008-02-18 12:53:03,2008-02-18 12:57:51,San Francisco,94124.0,B10,25,4443,1,4,0,0,0,0,E25,50.0,50.0,0,0,0,0,1,"331  -  Lock - in (if lock out , use 511 )",Mutual aid received,52  -  Forcible entry,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"940  -  Water area, other","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,,81  -  Heat; direct flame or convection,"76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"32  - Bedding; blanket, sheet, comforter",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",5  - Battery missing or disconnected,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,U  - Undetermined,0.0,10.0,Bayview Hunters Point,"-122.373915, 37.731033",2008-02-18 14:04:58,2025-06-01 02:18:08
8015509,0,80155090,333 Madrid Street,2008-02-18,80490172,2008-02-18 12:46:16,2008-02-18 12:52:35,2008-02-18 12:58:02,San Francisco,94112.0,B09,43,4443,1,4,0,0,0,0,E43,50.0,50.0,0,0,0,0,1,511  -  Lock - out,Mutual aid received,52  -  Forcible entry,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,419  -  1 or 2 family dwelling,"24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,,81  -  Heat; direct flame or convection,"76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"32  - Bedding; blanket, sheet, comforter",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",5  - Battery missing or disconnected,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,U  - Undetermined,0.0,11.0,Excelsior,"-122.43062103, 37.72404928",2008-02-18 19:14:05,2025-06-01 02:18:08
8015514,0,80155140,500 - Blockk Bosworth Street,2008-02-18,80490177,2008-02-18 12:54:19,2008-02-18 13:02:20,2008-02-18 14:23:45,San Francisco,94131.0,B06,26,4443,2,7,0,0,0,0,E26,50.0,50.0,0,0,0,0,1,322  -  Vehicle accident with injuries,Mutual aid received,31  -  Provide first aid & check for injuries,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"960  -  Street, other","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,,81  -  Heat; direct flame or convection,"76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"32  - Bedding; blanket, sheet, comforter",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",5  - Battery missing or disconnected,N  - None Present,1  - Wet - pipe sprinkler,1  - System operated and was effective,U  - Undetermined,0.0,8.0,Glen Park,"-122.4338885, 37.73456331",2008-02-18 22:56:57,2025-06-01 02:18:08
