geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_transactions_2019,subsidies_2019
Ilocos Region,"Other residential care activities, n.e.c.",5,32,28,0,12652,8144,4108,4036,9623,999,0,0,0
Ilocos Region,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,"Other social work activities without accommodation, n.e.c.",5,21,18,0,25253,16118,2708,13410,13974,35,-3,0,0
Cagayan Valley,Human Health and Social Work Activities,128,4344,4298,97,3950808,3275141,757463,2517677,1681288,165235,-39913,0,0
Cagayan Valley,Hospital activities,36,3638,3614,97,3271658,2761707,637494,2124213,1342492,162984,-8895,0,0
Cagayan Valley,Medical and dental practice activities,85,665,643,0,662837,501324,113810,387514,325162,2251,-30932,0,0
Cagayan Valley,Other human health activities,3,6,6,0,2212,1808,599,1210,1307,0,-100,0,0
Cagayan Valley,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,"Residential care activities for mental retardation, mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,"Other residential care activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,"Other social work activities without accommodation, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Human Health and Social Work Activities,558,24738,24469,2718,20396413,15223380,4344384,10878996,11205494,4105652,146535,0,150
Central Luzon,Hospital activities,164,19814,19608,2499,17262991,12480848,3401146,9079702,9668499,3782797,4485,0,0
Central Luzon,Medical and dental practice activities,329,4316,4289,150,2771548,2447196,862636,1584560,1354862,281174,144273,0,0
Central Luzon,Other human health activities,22,131,131,0,43481,34678,15529,19150,25438,0,96,0,0
Central Luzon,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,"Residential care activities for mental retardation, mental health and substance abuse",10,99,99,30,36161,26820,10724,16096,29974,2089,371,0,150
Central Luzon,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,"Other residential care activities, n.e.c.",11,109,105,4,56751,49511,25412,24099,38662,39592,0,0,0
Central Luzon,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,"Other social work activities without accommodation, n.e.c.",22,269,238,35,225482,184328,28938,155391,88058,0,-2690,0,0
Calabarzon,Human Health and Social Work Activities,1219,37451,36450,1766,37298288,32218832,8176818,24042014,17520931,1487347,-43548,0,291164
Calabarzon,Hospital activities,222,27890,27733,1703,27206130,24127333,6231295,17896039,12344858,1232692,-114892,0,239024
Calabarzon,Medical and dental practice activities,906,8080,7587,46,7329150,6006095,1750991,4255104,3323109,222536,50665,0,1233
Calabarzon,Other human health activities,53,795,513,0,410361,328201,100955,227245,218425,9917,17935,0,0
Calabarzon,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,"Residential care activities for mental retardation, mental health and substance abuse",10,151,151,9,94600,91128,26405,64723,41816,0,-33,0,0
Calabarzon,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,"Other residential care activities, n.e.c.",9,186,138,0,131796,98657,12236,86421,48703,0,0,0,0
Calabarzon,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,"Other social work activities without accommodation, n.e.c.",18,350,328,8,2126252,1567419,54935,1512483,1544021,22202,2778,0,50907
Mimaropa Region,Human Health and Social Work Activities,79,3243,3182,141,2714469,2143385,612986,1530399,1312391,57753,29627,0,4208
Mimaropa Region,Hospital activities,29,2141,2117,141,2224883,1722395,458564,1263831,1066074,53108,30383,0,4068
Mimaropa Region,Medical and dental practice activities,31,897,886,0,318522,266520,130173,136347,193962,0,-954,0,0
Mimaropa Region,Other human health activities,3,51,46,0,8665,8052,5752,2300,6733,4645,13,0,126
Mimaropa Region,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,"Residential care activities for mental retardation, mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,"Other residential care activities, n.e.c.",6,64,43,0,28024,25702,4114,21589,22205,0,-32,0,14
Mimaropa Region,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,"Other social work activities without accommodation, n.e.c.",10,90,90,0,134375,120715,14384,106332,23417,0,217,0,0
Bicol Region,Human Health and Social Work Activities,205,7899,7839,49,4363692,4064320,1511547,2552774,2586362,243755,-13837,0,1024
Bicol Region,Hospital activities,62,4841,4793,42,2692247,2496167,938865,1557302,1519070,240927,-14771,0,0
Bicol Region,Medical and dental practice activities,97,2353,2353,0,969403,914694,306766,607927,477903,1558,1236,0,0
Bicol Region,Other human health activities,9,50,50,0,13515,11134,4056,7078,8413,0,-921,0,0
Bicol Region,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,"Residential care activities for mental retardation, mental health and substance abuse",5,74,68,7,43122,35271,11635,23637,20044,971,-163,0,0
Bicol Region,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,"Other residential care activities, n.e.c.",4,28,22,0,10758,10930,2015,8915,3384,300,12,0,1024
Bicol Region,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,"Other social work activities without accommodation, n.e.c.",28,553,553,0,634647,596125,248211,347914,557548,0,770,0,0
Western Visayas,Human Health and Social Work Activities,343,13197,13040,712,12695671,10305509,2886271,7419238,6512158,1000691,-5050,0,1350
Western Visayas,Hospital activities,34,9160,9160,605,9519394,7644989,2119585,5525404,4934914,1000108,-17891,0,0
Western Visayas,Medical and dental practice activities,277,3558,3404,103,2748054,2347405,694338,1653067,1373262,0,12701,0,0
Western Visayas,Other human health activities,6,89,89,0,40981,35026,17540,17487,25217,0,141,0,0
Western Visayas,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,"Residential care activities for mental retardation, mental health and substance abuse",3,44,40,0,178954,135696,15149,120546,63340,583,0,0,1150
Western Visayas,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,"Other residential care activities, n.e.c.",3,61,61,0,35819,30382,6090,24292,12355,0,0,0,200
Western Visayas,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,"Other social work activities without accommodation, n.e.c.",20,286,286,3,172469,112011,33570,78441,103072,0,0,0,0
Central Visayas,Human Health and Social Work Activities,472,16607,16389,889,18182941,16520147,3966424,12553723,7910811,1802800,125556,0,0
Central Visayas,Hospital activities,68,12531,12428,877,14456863,13410397,3140255,10270142,6268131,1797443,115149,0,0
Central Visayas,Medical and dental practice activities,339,3177,3082,0,2973335,2385931,656034,1729897,1396151,1880,10408,0,0
Central Visayas,Other human health activities,17,166,166,0,68223,48765,16458,32306,46434,0,0,0,0
Central Visayas,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,"Residential care activities for mental retardation, mental health and substance abuse",6,88,88,0,32424,31706,11865,19841,17137,453,0,0,0
Central Visayas,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,"Other residential care activities, n.e.c.",14,160,151,6,236569,236130,16503,219627,23548,918,0,0,0
Central Visayas,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,"Other social work activities without accommodation, n.e.c.",28,487,475,6,415527,407218,125308,281909,159410,2106,0,0,0
Eastern Visayas,Human Health and Social Work Activities,165,4965,4912,314,4350172,3905076,915859,2989217,1784253,642770,31326,0,23
Eastern Visayas,Hospital activities,43,3431,3403,314,3073154,2768448,636753,2131695,1317844,642770,154,0,0
Eastern Visayas,Medical and dental practice activities,109,1424,1401,0,1233381,1104029,262744,841285,435593,0,31355,0,0
Eastern Visayas,Other human health activities,9,61,61,0,10990,9239,5173,4066,7556,0,-34,0,23
Eastern Visayas,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,"Residential care activities for mental retardation, mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,"Other residential care activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,"Other social work activities without accommodation, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Human Health and Social Work Activities,86,5022,4983,61,3228760,2544257,900989,1643268,2005869,1288312,-132858,0,0
Zamboanga Peninsula,Hospital activities,40,4378,4353,61,2866052,2228235,842269,1385966,1818275,1288196,-135085,0,0
Zamboanga Peninsula,Medical and dental practice activities,39,545,536,0,274954,238320,45364,192956,132369,0,1936,0,0
Zamboanga Peninsula,Other human health activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,"Residential care activities for mental retardation, mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,"Other residential care activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,"Other social work activities without accommodation, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Human Health and Social Work Activities,226,10137,9886,613,8667334,6965987,1906547,5059440,4411622,2604040,-102020,0,0
Northern Mindanao,Hospital activities,67,7557,7491,613,6682877,5144026,1476285,3667741,3694792,2594469,-72549,0,0
Northern Mindanao,Medical and dental practice activities,140,2163,2163,0,1840012,1687613,391301,1296311,660736,940,-29520,0,0
Northern Mindanao,Other human health activities,5,54,54,0,6740,6681,3044,3637,3327,4838,0,0,0
Northern Mindanao,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,"Residential care activities for mental retardation, mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,"Other residential care activities, n.e.c.",5,61,54,0,39198,36502,8394,28109,14725,3436,1,0,0
Northern Mindanao,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,"Other social work activities without accommodation, n.e.c.",10,302,125,0,98507,91165,27523,63642,38043,357,47,0,0
Davao Region,Human Health and Social Work Activities,380,10381,10224,544,9056522,7381235,2271314,5109921,4241245,132240,128433,0,103876
Davao Region,Hospital activities,103,6757,6719,509,5925689,4569385,1564099,3005286,3040322,125060,24435,0,103876
Davao Region,Medical and dental practice activities,225,3105,2999,5,2723304,2436990,631450,1805540,1020124,5357,96745,0,0
Davao Region,Other human health activities,22,110,100,22,190546,179759,34119,145640,61670,0,0,0,0
Davao Region,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,"Residential care activities for mental retardation, mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,"Other residential care activities, n.e.c.",15,165,162,8,99658,90287,21459,68828,40337,1823,6934,0,0
Davao Region,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,"Other social work activities without accommodation, n.e.c.",14,244,244,0,117324,104814,20187,84627,78791,0,318,0,0
Soccsksargen,Human Health and Social Work Activities,308,13288,13255,447,11493690,10000638,2588194,7412444,4939507,428767,-157668,0,2338
Soccsksargen,Hospital activities,99,10871,10857,398,7966822,7097439,2118862,4978577,3725285,356211,-169097,0,913
Soccsksargen,Medical and dental practice activities,168,1676,1676,49,1200177,1075484,279520,795965,486730,45516,10950,0,0
Soccsksargen,Other human health activities,10,132,132,0,59298,41403,11570,29833,30005,36,479,0,0
Soccsksargen,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,"Residential care activities for mental retardation, mental health and substance abuse",4,61,59,0,25200,20800,7612,13188,13188,22100,2,0,0
Soccsksargen,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,"Other residential care activities, n.e.c.",6,56,39,0,39417,37970,2797,35173,34564,4500,0,0,1425
Soccsksargen,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,"Other social work activities without accommodation, n.e.c.",21,493,493,0,2202776,1727542,167833,1559709,649735,404,-1,0,0
Caraga,Human Health and Social Work Activities,110,2685,2684,77,3314367,2481309,510316,1970992,1539802,638844,36852,0,0
Caraga,Hospital activities,20,1595,1595,34,1752618,1290079,330435,959644,923440,617893,18192,0,0
Caraga,Medical and dental practice activities,79,988,988,36,1537666,1171281,171534,999747,602365,1293,18660,0,0
Caraga,Other human health activities,4,38,38,0,3869,3703,2120,1582,2902,4724,0,0,0
Caraga,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,"Residential care activities for mental retardation, mental health and substance abuse",3,32,32,7,8921,6550,2756,3794,5205,0,0,0,0
Caraga,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,"Other residential care activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,"Other social work activities without accommodation, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Human Health and Social Work Activities,14,398,376,0,145057,116814,53669,63145,94952,27354,-6782,0,0
Autonomous Region in Muslim Mindanao,Hospital activities,7,312,308,0,115367,96158,46314,49845,74566,13224,-6790,0,0
Autonomous Region in Muslim Mindanao,Medical and dental practice activities,7,86,68,0,29690,20656,7355,13300,20386,14129,9,0,0
Autonomous Region in Muslim Mindanao,Other human health activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,"Residential care activities for mental retardation, mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,"Other residential care activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,"Other social work activities without accommodation, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
