,,,,,,,,,,,,,,"Summary Statistics for Human Health and Social Work Activities Establishments by Geolocation, Industry Description, Year and Data Items"
..Cagayan Valley,..Medical and dental practice activities,93,1406,1396,53,824021,569509,215542,353967,560296,26893,6565,-,-
..Cagayan Valley,..Other human health activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Residential nursing care facilities,,,,,,,,,,,,,
..Cagayan Valley,"..Residential care activities for mental retardation,  mental health and substance abuse",,,,,,,,,,,,,
..Cagayan Valley,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Cagayan Valley,"..Other residential care activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Social work activities without accommodation  for the elderly and disabled,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,"..Other social work activities without accommodation, n.e.c.",,,,,,,,,,,,,
..Central Luzon,Human Health and Social Work Activities,777,22947,22775,1177,22731545,18735857,4453774,14282083,10792539,2390647,58169,-,21137
..Central Luzon,..Hospital activities,137,18299,18287,968,16832859,13430052,3555324,9874728,8552821,2195927,10404,-,20601
..Central Luzon,..Medical and dental practice activities,571,4128,4056,205,5634525,5071811,828893,4242918,2099372,167593,69577,-,-
..Central Luzon,..Other human health activities,40,220,166,-,119153,110308,28383,81925,68542,10421,-21814,-,-
..Central Luzon,..Residential nursing care facilities,,,,,,,,,,,,,
..Central Luzon,"..Residential care activities for mental retardation,  mental health and substance abuse",c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Luzon,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Central Luzon,"..Other residential care activities, n.e.c.",16,168,156,2,63537,59359,29336,30023,38465,9392,2,-,478
..Central Luzon,..Social work activities without accommodation  for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Luzon,"..Other social work activities without accommodation, n.e.c.",13,133,110,1,81471,64328,11840,52488,33338,7315,-,-,58
..CALABARZON,Human Health and Social Work Activities,1143,33344,32946,2038,40888657,35506650,7930204,27576446,17015356,1196512,49063,-,129400
..CALABARZON,..Hospital activities,166,25752,25699,1897,30898345,26688843,6642398,20046445,13801491,941307,59254,-,99290
..CALABARZON,..Medical and dental practice activities,914,6648,6370,119,7178020,6558254,1155443,5402810,2544510,255019,-12538,-,-
..CALABARZON,..Other human health activities,30,272,268,6,108149,98462,44703,53759,68834,-,-23,-,-
..CALABARZON,..Residential nursing care facilities,s,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,"..Residential care activities for mental retardation,  mental health and substance abuse",8,127,127,-,52219,54564,18381,36183,19956,49,2114,-,-
..CALABARZON,..Residential care activities for the elderly and disabled,s,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,"..Other residential care activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,..Social work activities without accommodation  for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..CALABARZON,"..Other social work activities without accommodation, n.e.c.",14,397,343,14,2408185,1886307,51480,1834826,517418,137,3,-,30110
..MIMAROPA Region,Human Health and Social Work Activities,98,3021,2979,207,2673203,2146338,619625,1526713,1368011,173144,-22018,-,-
..MIMAROPA Region,..Hospital activities,23,1993,1988,207,2380287,1877103,512432,1364671,1203027,153910,-19255,-,-
..MIMAROPA Region,..Medical and dental practice activities,64,928,904,-,170405,121754,63213,58541,121249,8665,-2669,-,-
..MIMAROPA Region,..Other human health activities,c,c,c,c,c,c,c,c,c,c,c,c,c
..MIMAROPA Region,..Residential nursing care facilities,,,,,,,,,,,,,
..MIMAROPA Region,"..Residential care activities for mental retardation,  mental health and substance abuse",c,c,c,c,c,c,c,c,c,c,c,c,c
..MIMAROPA Region,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..MIMAROPA Region,"..Other residential care activities, n.e.c.",4,37,33,-,25014,19410,5132,14278,16971,-,-67,-,-
..MIMAROPA Region,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..MIMAROPA Region,"..Other social work activities without accommodation, n.e.c.",7,63,54,-,97498,128070,38848,89222,26764,10569,-28,-,-
..Bicol Region,Human Health and Social Work Activities,270,6618,6256,258,4532525,3992648,1291199,2701448,2288266,295364,60135,-,3382
..Bicol Region,..Hospital activities,54,4853,4846,166,3252805,2886923,1044366,1842557,1787824,281252,61171,-,3028
..Bicol Region,..Medical and dental practice activities,177,1134,1018,58,752667,656325,178244,478081,323480,3527,-1751,-,-
..Bicol Region,..Other human health activities,7,40,40,3,18232,22592,5386,17207,12268,-,-,-,-
..Bicol Region,..Residential nursing care facilities,,,,,,,,,,,,,
..Bicol Region,"..Residential care activities for mental retardation,  mental health and substance abuse",3,158,32,-,10108,8028,2803,5225,5056,-,-,-,300
..Bicol Region,..Residential care activities for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..Bicol Region,"..Other residential care activities, n.e.c.",5,34,29,-,16281,13160,4007,9153,12799,-,17,-,-
..Bicol Region,..Social work activities without accommodation  for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..Bicol Region,"..Other social work activities without accommodation, n.e.c.",25,399,291,31,482433,405620,56394,349226,146840,10585,698,-,53
..Western Visayas,Human Health and Social Work Activities,391,12234,12103,930,11712978,10122663,2774922,7347741,5556017,891187,-128050,-,9632
..Western Visayas,..Hospital activities,31,9262,9262,740,9867895,8725691,2293935,6431756,4491612,883873,-104413,-,6682
..Western Visayas,..Medical and dental practice activities,314,2543,2517,58,1302893,1158289,436718,721572,695354,3373,-23713,-,-
..Western Visayas,..Other human health activities,9,60,60,-,37669,26455,8123,18332,21231,3804,121,-,-
..Western Visayas,..Residential nursing care facilities,,,,,,,,,,,,,
..Western Visayas,"..Residential care activities for mental retardation,  mental health and substance abuse",c,c,c,c,c,c,c,c,c,c,c,c,c
..Western Visayas,..Residential care activities for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..Western Visayas,"..Other residential care activities, n.e.c.",12,173,108,2,73524,46628,13141,33488,43958,-,-,-,1150
..Western Visayas,..Social work activities without accommodation  for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..Western Visayas,"..Other social work activities without accommodation, n.e.c.",25,195,156,130,430996,165601,23007,142593,303862,136,-46,-,1800
..Central Visayas,Human Health and Social Work Activities,516,17185,17029,1091,18181299,18132872,4209186,13923685,7528001,1904648,-126318,-,13886
..Central Visayas,..Hospital activities,84,13782,13694,861,14737756,14920137,3524251,11395886,6185458,1844873,-174472,-,11379
..Central Visayas,..Medical and dental practice activities,363,2775,2728,129,2924748,2651810,509172,2142638,967215,43226,55139,-,2007
..Central Visayas,..Other human health activities,20,98,98,9,35007,33968,15664,18304,19194,60,-91,-,-
..Central Visayas,..Residential nursing care facilities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Visayas,"..Residential care activities for mental retardation,  mental health and substance abuse",6,54,54,92,34497,27262,6180,21081,15607,7739,-8,-,-
..Central Visayas,..Residential care activities for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Visayas,"..Other residential care activities, n.e.c.",12,196,194,-,157177,147005,47134,99871,81339,7700,-,-,500
..Central Visayas,..Social work activities without accommodation  for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Visayas,"..Other social work activities without accommodation, n.e.c.",31,281,261,-,292115,352691,106785,245906,259188,1050,-6887,-,-
..Eastern Visayas,Human Health and Social Work Activities,157,4661,4623,385,4408739,3560406,957736,2602671,2183131,626019,40515,-,150420
..Eastern Visayas,..Hospital activities,35,3657,3632,353,3780080,3130751,808663,2322088,1806315,615120,12569,-,46460
..Eastern Visayas,..Medical and dental practice activities,110,927,916,31,576057,388371,132467,255904,345173,10889,27945,-,100288
..Eastern Visayas,..Other human health activities,6,16,14,-,1460,2073,990,1083,700,10,-1,-,-
..Eastern Visayas,..Residential nursing care facilities,,,,,,,,,,,,,
..Eastern Visayas,"..Residential care activities for mental retardation,  mental health and substance abuse",,,,,,,,,,,,,
..Eastern Visayas,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Eastern Visayas,"..Other residential care activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..Eastern Visayas,"..Other social work activities without accommodation, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,Human Health and Social Work Activities,134,4290,4207,171,3409721,2449014,966151,1482863,2232121,266418,62343,-,-
..Zamboanga Peninsula,..Hospital activities,37,3755,3729,166,2881194,2065037,864882,1200155,1957314,263164,61125,-,-
..Zamboanga Peninsula,..Medical and dental practice activities,87,458,408,-,455851,325819,89671,236147,225560,3254,-2440,-,-
..Zamboanga Peninsula,..Other human health activities,4,14,6,-,2901,2019,807,1212,1876,-,-14,-,-
..Zamboanga Peninsula,..Residential nursing care facilities,,,,,,,,,,,,,
..Zamboanga Peninsula,"..Residential care activities for mental retardation,  mental health and substance abuse",c,c,c,c,c,c,c,c,c,c,c,c,c
..Zamboanga Peninsula,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Zamboanga Peninsula,"..Other residential care activities, n.e.c.",3,46,46,5,34291,28793,9880,18914,13285,-,3672,-,-
..Zamboanga Peninsula,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..Zamboanga Peninsula,"..Other social work activities without accommodation, n.e.c.",3,18,18,-,35484,27345,912,26434,34086,-,-,-,-
..Northern Mindanao,Human Health and Social Work Activities,207,6728,6685,527,6689897,5203619,1612649,3590969,3821502,847718,106654,-,4757
..Northern Mindanao,..Hospital activities,57,5464,5451,504,5247306,4007952,1352935,2655018,3187623,721718,112507,-,4757
..Northern Mindanao,..Medical and dental practice activities,134,1113,1088,23,1329807,1095718,232104,863614,568625,112275,-5851,-,-
..Northern Mindanao,..Other human health activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,..Residential nursing care facilities,,,,,,,,,,,,,
..Northern Mindanao,"..Residential care activities for mental retardation,  mental health and substance abuse",,,,,,,,,,,,,
..Northern Mindanao,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Northern Mindanao,"..Other residential care activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,..Social work activities without accommodation  for the elderly and disabled,s,s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,"..Other social work activities without accommodation, n.e.c.",9,115,115,-,61473,55071,22958,32113,52528,11505,-,-,-
..Davao Region,Human Health and Social Work Activities,388,10393,10327,407,10930977,8899965,2242930,6657036,5342552,104734,-75161,-,3533
..Davao Region,..Hospital activities,80,7720,7703,319,7456461,5624730,1805979,3818750,4339459,100588,-82353,-,3442
..Davao Region,..Medical and dental practice activities,253,2023,2002,85,2820423,2683597,324886,2358711,541868,4145,7708,-,-
..Davao Region,..Other human health activities,25,250,250,2,128501,106176,35278,70898,66498,-,-,-,91
..Davao Region,..Residential nursing care facilities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Davao Region,"..Residential care activities for mental retardation,  mental health and substance abuse",3,83,82,2,20971,16675,7845,8831,14572,-,-29,-,-
..Davao Region,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Davao Region,"..Other residential care activities, n.e.c.",10,108,108,-,98212,97651,22207,75444,31245,-,-2,-,-
..Davao Region,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..Davao Region,"..Other social work activities without accommodation, n.e.c.",17,209,181,-,406409,371136,46736,324400,348910,-,-485,-,-
..SOCCSKSARGEN,Human Health and Social Work Activities,202,8884,8779,523,6609515,6012266,1755147,4257119,3250861,1113420,-27385,-,12063
..SOCCSKSARGEN,..Hospital activities,77,7651,7595,468,5732516,5219784,1569842,3649942,2756177,467772,-27745,-,12063
..SOCCSKSARGEN,..Medical and dental practice activities,103,622,591,18,447768,372182,113553,258629,212085,19421,467,-,-
..SOCCSKSARGEN,..Other human health activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..SOCCSKSARGEN,..Residential nursing care facilities,,,,,,,,,,,,,
..SOCCSKSARGEN,"..Residential care activities for mental retardation,  mental health and substance abuse",,,,,,,,,,,,,
..SOCCSKSARGEN,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..SOCCSKSARGEN,"..Other residential care activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..SOCCSKSARGEN,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..SOCCSKSARGEN,"..Other social work activities without accommodation, n.e.c.",19,576,569,37,425025,417040,69893,347147,279637,626227,-108,-,-
..Caraga,Human Health and Social Work Activities,72,2139,2139,108,2273532,1963803,496886,1466917,990001,542877,18774,-,4987
..Caraga,..Hospital activities,21,1520,1520,95,1767790,1485521,367851,1117669,795083,530603,20720,-,4887
..Caraga,..Medical and dental practice activities,42,556,556,13,484392,458180,121619,336561,184850,1951,-1946,-,-
..Caraga,..Other human health activities,4,9,9,-,1536,1422,712,710,901,121,-,-,-
..Caraga,..Residential nursing care facilities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,"..Residential care activities for mental retardation,  mental health and substance abuse",s,s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Caraga,"..Other residential care activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..Caraga,"..Other social work activities without accommodation, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Bangsamoro Autonomous Region in Muslim Mindanao,Human Health and Social Work Activities,32,834,818,42,291879,266310,106217,160093,156560,2535,1272,-,200
..Bangsamoro Autonomous Region in Muslim Mindanao,..Hospital activities,11,635,629,13,236906,218593,93307,125286,126055,660,4534,-,-
..Bangsamoro Autonomous Region in Muslim Mindanao,..Medical and dental practice activities,18,123,123,6,37051,30444,7560,22884,14655,1875,-1016,-,-
..Bangsamoro Autonomous Region in Muslim Mindanao,..Other human health activities,,,,,,,,,,,,,
..Bangsamoro Autonomous Region in Muslim Mindanao,..Residential nursing care facilities,,,,,,,,,,,,,
..Bangsamoro Autonomous Region in Muslim Mindanao,"..Residential care activities for mental retardation,  mental health and substance abuse",c,c,c,c,c,c,c,c,c,c,c,c,c
..Bangsamoro Autonomous Region in Muslim Mindanao,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Bangsamoro Autonomous Region in Muslim Mindanao,"..Other residential care activities, n.e.c.",3,76,66,23,17923,17273,5350,11923,15851,-,-2246,-,200
..Bangsamoro Autonomous Region in Muslim Mindanao,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..Bangsamoro Autonomous Region in Muslim Mindanao,"..Other social work activities without accommodation, n.e.c.",,,,,,,,,,,,,
