,,,,,,,,,,,,,,"Summary Statistics for Financial and Insurance Activities Establishments by Geolocation, Industry Description, Year and Data Items"
..Ilocos Region,..Activities auxiliary to insurance and pension funding,8,30,30,8,149729,131227,5566,125661,25526,-,48,-,-
..Ilocos Region,..Fund management activities,,,,,,,,,,,,,
..Cagayan Valley,Financial and Insurance Activities,1398,11137,11137,254,19724101,11498098,3516504,7981595,8592895,297383,-244,-,-
..Cagayan Valley,..Monetary intermediation,336,6667,6667,157,9335690,6920511,2459043,4461469,5869595,130192,2629,-,-
..Cagayan Valley,..Activities of holding companies,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,"..Trusts, funds and other financial vehicles",,,,,,,,,,,,,
..Cagayan Valley,"..Other financial service activities, except insurance and pension funding activities",985,4233,4233,78,8476334,2938847,913267,2025580,2237142,159673,-8360,-,-
..Cagayan Valley,..Insurance,66,171,171,19,1657590,1407866,126627,1281240,438867,7518,1,-,-
..Cagayan Valley,..Reinsurance,,,,,,,,,,,,,
..Cagayan Valley,..Pension funding,,,,,,,,,,,,,
..Cagayan Valley,"..Activities auxiliary to financial service,  except insurance and pension funding",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Activities auxiliary to insurance and pension funding,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Fund management activities,,,,,,,,,,,,,
..Central Luzon,Financial and Insurance Activities,4644,24899,24806,2643,66164254,51838593,10579307,41259285,34907609,5405644,874186,71,-
..Central Luzon,..Monetary intermediation,1095,11925,11925,1975,33652879,26336195,7223866,19112329,19454918,606677,23950,-,-
..Central Luzon,..Activities of holding companies,3,180,180,-,188437,206310,86347,119963,-22739,127,-,-,-
..Central Luzon,"..Trusts, funds and other financial vehicles",4,17,17,-,86056,35759,14765,20994,63948,350,-3,-,-
..Central Luzon,"..Other financial service activities, except insurance and pension funding activities",3270,11738,11646,553,13604363,10369282,2356086,8013196,10251451,4644580,850030,-,-
..Central Luzon,..Insurance,230,832,832,113,17173913,13594936,828199,12766739,4948666,148788,318,71,-
..Central Luzon,..Reinsurance,,,,,,,,,,,,,
..Central Luzon,..Pension funding,c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Luzon,"..Activities auxiliary to financial service,  except insurance and pension funding",7,13,13,-,10138,9227,5306,3922,9037,238,-,-,-
..Central Luzon,..Activities auxiliary to insurance and pension funding,36,193,193,1,1448469,1286882,64739,1222144,202326,4885,-110,-,-
..Central Luzon,..Fund management activities,,,,,,,,,,,,,
..CALABARZON,Financial and Insurance Activities,5516,34211,34195,2895,101147110,74008075,17322447,56685628,51617917,2607066,-69815,487206,206248
..CALABARZON,..Monetary intermediation,1490,15410,15409,1061,49835441,36181719,11006758,25174961,29195360,1026503,4213,-,206248
..CALABARZON,..Activities of holding companies,s,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,"..Trusts, funds and other financial vehicles",s,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,"..Other financial service activities, except insurance and pension funding activities",3726,17391,17391,1619,37457465,27146053,5673204,21472849,18106009,1486685,-70359,882,-
..CALABARZON,..Insurance,234,894,894,161,9573715,6919036,401387,6517650,3457976,74187,4289,486325,-
..CALABARZON,..Reinsurance,s,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,..Pension funding,,,,,,,,,,,,,
..CALABARZON,"..Activities auxiliary to financial service,  except insurance and pension funding",4,14,14,-,12537,10036,4387,5649,9348,896,-,-,-
..CALABARZON,..Activities auxiliary to insurance and pension funding,58,448,432,53,3934435,3498394,142072,3356323,647346,5059,-7945,-,-
..CALABARZON,..Fund management activities,,,,,,,,,,,,,
..MIMAROPA Region,Financial and Insurance Activities,1037,6205,6205,350,7831374,5235412,1411754,3823658,4584914,168350,34524,1592,-
..MIMAROPA Region,..Monetary intermediation,205,2492,2492,173,3516281,2053917,715203,1338714,2694332,28975,3744,-,-
..MIMAROPA Region,..Activities of holding companies,s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,"..Trusts, funds and other financial vehicles",,,,,,,,,,,,,
..MIMAROPA Region,"..Other financial service activities, except insurance and pension funding activities",783,3397,3397,167,1208755,1042832,522177,520655,672124,139375,31402,-,-
..MIMAROPA Region,..Insurance,41,266,266,10,2720258,1780401,155177,1625224,1161984,-,-54,1592,-
..MIMAROPA Region,..Reinsurance,,,,,,,,,,,,,
..MIMAROPA Region,..Pension funding,,,,,,,,,,,,,
..MIMAROPA Region,"..Activities auxiliary to financial service,  except insurance and pension funding",,,,,,,,,,,,,
..MIMAROPA Region,..Activities auxiliary to insurance and pension funding,s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,..Fund management activities,,,,,,,,,,,,,
..Bicol Region,Financial and Insurance Activities,1591,16094,16055,480,20023637,13984333,4654545,9329788,12414643,430936,9701,278370,64222
..Bicol Region,..Monetary intermediation,360,4171,4171,243,14520739,10202239,2843097,7359142,8925995,414768,-92,-,64222
..Bicol Region,..Activities of holding companies,s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,"..Trusts, funds and other financial vehicles",,,,,,,,,,,,,
..Bicol Region,"..Other financial service activities, except insurance and pension funding activities",1134,11495,11495,233,4669688,3245561,1752202,1493359,3104575,7756,9794,6694,-
..Bicol Region,..Insurance,80,342,303,2,631389,364142,43634,320508,338559,8349,53,271676,-
..Bicol Region,..Reinsurance,s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,..Pension funding,,,,,,,,,,,,,
..Bicol Region,"..Activities auxiliary to financial service,  except insurance and pension funding",7,33,33,2,9674,3667,1889,1778,8254,-,81,-,-
..Bicol Region,..Activities auxiliary to insurance and pension funding,8,33,33,-,184579,161208,9217,151991,37687,-,-23,-,-
..Bicol Region,..Fund management activities,,,,,,,,,,,,,
..Western Visayas,Financial and Insurance Activities,3340,20142,20142,976,41822115,30949844,8277079,22672765,22572502,850306,39365,-,151532
..Western Visayas,..Monetary intermediation,559,5464,5464,234,23997556,16664383,4682990,11981393,14088588,700247,3228,-,151532
..Western Visayas,..Activities of holding companies,3,20,20,2,33773,24323,5740,18583,19398,3817,-,-,-
..Western Visayas,"..Trusts, funds and other financial vehicles",3,16,16,-,10418,8839,3346,5494,8041,-,-,-,-
..Western Visayas,"..Other financial service activities, except insurance and pension funding activities",2568,13787,13787,719,12724275,9983372,3197233,6786139,7132871,127483,36184,-,-
..Western Visayas,..Insurance,162,595,595,10,3454768,2871762,295993,2575769,978112,9673,-,-,-
..Western Visayas,..Reinsurance,,,,,,,,,,,,,
..Western Visayas,..Pension funding,,,,,,,,,,,,,
..Western Visayas,"..Activities auxiliary to financial service,  except insurance and pension funding",12,48,48,2,31790,22208,9670,12537,22081,482,-,-,-
..Western Visayas,..Activities auxiliary to insurance and pension funding,34,212,212,10,1569536,1374956,82107,1292850,323412,8604,-47,-,-
..Western Visayas,..Fund management activities,,,,,,,,,,,,,
..Central Visayas,Financial and Insurance Activities,4032,24869,24610,1092,58133232,34010513,8632777,25377736,40364929,2606156,130543,-,230669
..Central Visayas,..Monetary intermediation,707,7104,7104,685,20153108,17086112,4123614,12962498,10360074,1422410,55730,-,-
..Central Visayas,..Activities of holding companies,25,384,384,3,21867687,2632926,630779,2002147,21125357,706249,-,-,-
..Central Visayas,"..Trusts, funds and other financial vehicles",3,8,8,-,6990,4121,1695,2426,6095,-,-,-,-
..Central Visayas,"..Other financial service activities, except insurance and pension funding activities",3147,15581,15321,387,11107155,9820941,3188821,6632120,7547888,443736,74207,-,-
..Central Visayas,..Insurance,100,957,957,13,2517711,2335620,330192,2005428,591049,-,-,-,230669
..Central Visayas,..Reinsurance,,,,,,,,,,,,,
..Central Visayas,..Pension funding,,,,,,,,,,,,,
..Central Visayas,"..Activities auxiliary to financial service,  except insurance and pension funding",5,13,13,-,34341,22011,6165,15846,27834,-,-,-,-
..Central Visayas,..Activities auxiliary to insurance and pension funding,46,823,823,5,2446241,2108782,351511,1757270,706631,33761,606,-,-
..Central Visayas,..Fund management activities,,,,,,,,,,,,,
..Eastern Visayas,Financial and Insurance Activities,1618,8061,8061,1103,13871861,9722781,2656529,7066252,8464646,644702,4214,5544,43610
..Eastern Visayas,..Monetary intermediation,203,1868,1868,522,6134070,3758946,1124649,2634297,4057273,80236,281,661,43610
..Eastern Visayas,..Activities of holding companies,s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,"..Trusts, funds and other financial vehicles",,,,,,,,,,,,,
..Eastern Visayas,"..Other financial service activities, except insurance and pension funding activities",1315,5935,5935,561,5511570,4083653,1420014,2663639,3900680,48089,3932,4883,-
..Eastern Visayas,..Insurance,80,184,184,20,1525550,1252617,89144,1163473,401606,516376,-,-,-
..Eastern Visayas,..Reinsurance,,,,,,,,,,,,,
..Eastern Visayas,..Pension funding,,,,,,,,,,,,,
..Eastern Visayas,"..Activities auxiliary to financial service,  except insurance and pension funding",c,c,c,c,c,c,c,c,c,c,c,c,c
..Eastern Visayas,..Activities auxiliary to insurance and pension funding,19,73,73,-,700671,627441,22604,604837,105090,-,-,-,-
..Eastern Visayas,..Fund management activities,,,,,,,,,,,,,
..Zamboanga Peninsula,Financial and Insurance Activities,1320,7591,7551,743,8720214,6401276,2165488,4235787,4776047,208107,39977,332026,-
..Zamboanga Peninsula,..Monetary intermediation,232,2108,2108,105,4658582,3653324,1129863,2523461,2068249,163333,6860,-,-
..Zamboanga Peninsula,..Activities of holding companies,4,49,49,-,81586,47532,9328,38204,3142,68,1174,-,-
..Zamboanga Peninsula,"..Trusts, funds and other financial vehicles",s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,"..Other financial service activities, except insurance and pension funding activities",973,5079,5079,541,3440846,2255004,942717,1312287,2477816,9736,32031,332026,-
..Zamboanga Peninsula,..Insurance,90,286,246,71,400958,324259,64591,259668,155588,-,10,-,-
..Zamboanga Peninsula,..Reinsurance,c,c,c,c,c,c,c,c,c,c,c,c,c
..Zamboanga Peninsula,..Pension funding,,,,,,,,,,,,,
..Zamboanga Peninsula,"..Activities auxiliary to financial service,  except insurance and pension funding",5,29,29,3,23528,17156,6893,10263,40695,34969,-211,-,-
..Zamboanga Peninsula,..Activities auxiliary to insurance and pension funding,15,36,36,-,109764,100090,11082,89008,28481,-,127,-,-
..Zamboanga Peninsula,..Fund management activities,,,,,,,,,,,,,
..Northern Mindanao,Financial and Insurance Activities,1717,12182,12153,1632,26279535,20092450,4932173,15160277,13943369,497149,112491,240653,80018
..Northern Mindanao,..Monetary intermediation,338,3239,3239,255,11497847,8371720,2266189,6105531,7329734,259870,3711,-,76308
..Northern Mindanao,..Activities of holding companies,s,s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,"..Trusts, funds and other financial vehicles",s,s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,"..Other financial service activities, except insurance and pension funding activities",1222,7358,7358,1228,7915328,5700197,1916484,3783712,4754926,203203,101518,-,-
..Northern Mindanao,..Insurance,125,1314,1285,21,6182584,5416122,675908,4740214,1640686,17092,2215,240653,3710
..Northern Mindanao,..Reinsurance,c,c,c,c,c,c,c,c,c,c,c,c,c
..Northern Mindanao,..Pension funding,,,,,,,,,,,,,
..Northern Mindanao,"..Activities auxiliary to financial service,  except insurance and pension funding",8,65,65,2,100561,92313,26751,65562,69890,8210,-,-,-
..Northern Mindanao,..Activities auxiliary to insurance and pension funding,22,77,77,125,535592,467085,21487,445598,99882,8774,-,-,-
..Northern Mindanao,..Fund management activities,,,,,,,,,,,,,
..Davao Region,Financial and Insurance Activities,2242,14629,14626,593,30351474,22592293,6404940,16187353,17635154,500541,-4490,678690,398886
..Davao Region,..Monetary intermediation,405,4056,4056,487,15059411,10900980,3387446,7513533,9326345,367752,534,20,106549
..Davao Region,..Activities of holding companies,5,19,19,-,48671,7470,3227,4243,35489,-,11,-,-
..Davao Region,"..Trusts, funds and other financial vehicles",,,,,,,,,,,,,
..Davao Region,"..Other financial service activities, except insurance and pension funding activities",1647,9134,9131,77,9977414,7165753,2554252,4611501,6652642,109631,-4963,678670,292337
..Davao Region,..Insurance,137,928,928,10,3142864,2656427,317005,2339422,891924,21558,-,-,-
..Davao Region,..Reinsurance,,,,,,,,,,,,,
..Davao Region,..Pension funding,,,,,,,,,,,,,
..Davao Region,"..Activities auxiliary to financial service,  except insurance and pension funding",7,101,101,-,65699,51279,28589,22690,56877,113,-73,-,-
..Davao Region,..Activities auxiliary to insurance and pension funding,40,391,391,19,2057415,1810384,114422,1695962,671878,1488,-,-,-
..Davao Region,..Fund management activities,,,,,,,,,,,,,
..SOCCSKSARGEN,Financial and Insurance Activities,1624,10166,10141,319,23770543,17210683,3870244,13340440,13358093,711707,129576,275655,147196
..SOCCSKSARGEN,..Monetary intermediation,215,2390,2390,119,9419573,6599233,2043877,4555356,6439083,211148,5532,-,147196
..SOCCSKSARGEN,..Activities of holding companies,,,,,,,,,,,,,
..SOCCSKSARGEN,"..Trusts, funds and other financial vehicles",,,,,,,,,,,,,
..SOCCSKSARGEN,"..Other financial service activities, except insurance and pension funding activities",1245,6965,6965,176,5005654,3591876,1308789,2283087,3836737,475535,122204,408,-
..SOCCSKSARGEN,..Insurance,114,585,560,21,8573704,6341254,454841,5886413,2914111,24778,1600,275236,-
..SOCCSKSARGEN,..Reinsurance,s,s,s,s,s,s,s,s,s,s,s,s,s
..SOCCSKSARGEN,..Pension funding,,,,,,,,,,,,,
..SOCCSKSARGEN,"..Activities auxiliary to financial service,  except insurance and pension funding",s,s,s,s,s,s,s,s,s,s,s,s,s
..SOCCSKSARGEN,..Activities auxiliary to insurance and pension funding,45,209,209,1,604294,514354,59112,455242,161505,-,198,-,-
..SOCCSKSARGEN,..Fund management activities,,,,,,,,,,,,,
..Caraga,Financial and Insurance Activities,1216,6395,6374,163,11082910,7632258,2020868,5611389,6464478,132339,26061,-,-
..Caraga,..Monetary intermediation,169,1578,1578,75,7340898,4842089,1102301,3739788,4254650,117139,1090,-,-
..Caraga,..Activities of holding companies,3,58,58,-,49811,43475,23832,19643,33876,154,-,-,-
..Caraga,"..Trusts, funds and other financial vehicles",s,s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,"..Other financial service activities, except insurance and pension funding activities",968,4523,4523,88,2477739,1766188,828688,937500,1829418,7878,25053,-,-
..Caraga,..Insurance,55,140,127,-,472091,327728,43107,284621,226567,6290,-89,-,-
..Caraga,..Reinsurance,,,,,,,,,,,,,
..Caraga,..Pension funding,s,s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,"..Activities auxiliary to financial service,  except insurance and pension funding",5,22,22,-,21353,7825,4280,3545,18701,45,-6,-,-
..Caraga,..Activities auxiliary to insurance and pension funding,14,51,51,-,714319,639899,16753,623147,97028,-,13,-,-
..Caraga,..Fund management activities,,,,,,,,,,,,,
..Bangsamoro Autonomous Region and Muslim Mindanao,Financial and Insurance Activities,197,830,830,84,1599133,1079788,269990,809798,1004311,111145,164,-,3382
..Bangsamoro Autonomous Region and Muslim Mindanao,..Monetary intermediation,s,s,s,s,s,s,s,s,s,s,s,s,s
..Bangsamoro Autonomous Region and Muslim Mindanao,..Activities of holding companies,,,,,,,,,,,,,
..Bangsamoro Autonomous Region and Muslim Mindanao,"..Trusts, funds and other financial vehicles",,,,,,,,,,,,,
..Bangsamoro Autonomous Region and Muslim Mindanao,"..Other financial service activities, except insurance and pension funding activities",178,672,672,72,689712,453361,110101,343259,484080,83553,30,-,-
..Bangsamoro Autonomous Region and Muslim Mindanao,..Insurance,s,s,s,s,s,s,s,s,s,s,s,s,s
..Bangsamoro Autonomous Region and Muslim Mindanao,..Reinsurance,,,,,,,,,,,,,
..Bangsamoro Autonomous Region and Muslim Mindanao,..Pension funding,,,,,,,,,,,,,
..Bangsamoro Autonomous Region and Muslim Mindanao,"..Activities auxiliary to financial service,  except insurance and pension funding",,,,,,,,,,,,,
..Bangsamoro Autonomous Region and Muslim Mindanao,..Activities auxiliary to insurance and pension funding,,,,,,,,,,,,,
..Bangsamoro Autonomous Region and Muslim Mindanao,..Fund management activities,,,,,,,,,,,,,
