"Summary Statistics for Professional, Scientific And Technical Activities Establishments by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2021 Number  of  Establishments a/","2021 Totak Employment a/","2021 Paid Employees a/","2021 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors a/","2021 Total Revenue","2021 Total Expense","2021 Compensation","2021 Other Expense","2021 Value Added","2021 Gross Additions To Tangible Fixed Assets","2021 Change  in Inventories","2021 Sales from E-Commerce Transactions","2021 Subsidies"
"..National Capital Region","Professional, Scientific And Technical Activities",2180,87688,87571,1943,221874294,195644021,56427727,139216294,102627489,1742733,1470,-,41909
"..National Capital Region","..Legal activities",423,7105,7060,102,9333527,6328658,2832944,3495713,6037757,135127,-80,-,-
"..National Capital Region","..Accounting, bookkeeping and auditing activities; tax consultancy",239,18294,18294,279,26310175,24661640,14994005,9667635,17729675,226822,3574,-,-
"..National Capital Region","..Activities of head offices",18,1245,1245,34,81535146,78998017,1309813,77688204,17286964,743013,-108231,-,-
"..National Capital Region","..Management consultancy activities",368,16020,16014,524,29231693,25432237,11283497,14148740,16003565,255801,53958,-,25116
"..National Capital Region","..Architectural and engineering activities and related technical consultancy",328,23244,23190,356,35746924,29344494,14938066,14406428,23025701,52636,4108,-,-
"..National Capital Region","..Technical testing and analysis",82,3554,3554,11,3037918,2985650,1312688,1672963,1516456,7232,-5374,-,-
"..National Capital Region","..Research and experimental development on natural sciences and engineering",17,2745,2745,70,3861906,3861226,2533811,1327416,2801013,68020,1787,-,2759
"..National Capital Region","..Research and experimental development on social sciences and humanities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..National Capital Region","..Research and experimental development in information technology",s,s,s,s,s,s,s,s,s,s,s,s,s
"..National Capital Region","..Advertising",265,7331,7326,344,19602716,11809757,3366665,8443092,12447012,110625,-3246,-,14033
"..National Capital Region","..Market research and public opinion polling",24,1530,1530,179,5691062,5413122,940029,4473093,1566216,14845,15584,-,-
"..National Capital Region","..Specialized design activities",22,325,325,-,261504,273222,105040,168182,100999,3307,1276,-,-
"..National Capital Region","..Photographic activities",188,1204,1199,16,1382165,1220387,315667,904720,581518,49126,38856,-,-
"..National Capital Region","..Other professional, scientific and technical activities, n.e.c.",52,982,982,9,2416833,2018173,783927,1234246,1237672,16881,-101,-,-
"..National Capital Region","..Veterinary activities",140,1120,1118,19,1044731,942594,226968,715626,366206,2773,-641,-,-
"..Cordillera Administrative Region","Professional, Scientific And Technical Activities",85,508,460,73,258788,235138,69742,165396,107424,14292,1306,-,-
"..Cordillera Administrative Region","..Legal activities",22,37,22,-,22152,14333,2360,11973,10740,583,662,-,-
"..Cordillera Administrative Region","..Accounting, bookkeeping and auditing activities; tax consultancy",15,48,40,-,15819,11056,6722,4335,12289,149,11,-,-
"..Cordillera Administrative Region","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Management consultancy activities",4,21,21,3,7438,12011,4532,7479,106,-,-,-,-
"..Cordillera Administrative Region","..Architectural and engineering activities and related technical consultancy",12,104,98,70,104802,98068,13972,84096,24764,1505,416,-,-
"..Cordillera Administrative Region","..Technical testing and analysis",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cordillera Administrative Region","..Research and experimental development on natural sciences and engineering",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cordillera Administrative Region","..Research and experimental development on social sciences and humanities",-,-,-,-,-,-,-,-,-,-,-,-,-
"..Cordillera Administrative Region","..Research and experimental development in information technology",-,-,-,-,-,-,-,-,-,-,-,-,-
"..Cordillera Administrative Region","..Advertising",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cordillera Administrative Region","..Market research and public opinion polling",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cordillera Administrative Region","..Specialized design activities",-,-,-,-,-,-,-,-,-,-,-,-,-
"..Cordillera Administrative Region","..Photographic activities",15,54,36,-,16913,16642,2557,14085,7141,1499,-90,-,-
"..Cordillera Administrative Region","..Other professional, scientific and technical activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cordillera Administrative Region","..Veterinary activities",10,44,44,-,25251,15129,7934,7195,20450,10520,224,-,-
"..Ilocos Region","Professional, Scientific And Technical Activities",143,1038,1012,4,354918,409415,98020,311395,110564,52309,5009,-,-
"..Ilocos Region","..Legal activities",30,75,63,-,29185,18483,7210,11273,22197,1109,-6,-,-
"..Ilocos Region","..Accounting, bookkeeping and auditing activities; tax consultancy",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Ilocos Region","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Management consultancy activities",5,164,162,-,114938,205517,27851,177666,-17581,48803,203,-,-
"..Ilocos Region","..Architectural and engineering activities and related technical consultancy",9,94,92,-,34127,28187,15245,12942,22053,-2600,1251,-,-
"..Ilocos Region","..Technical testing and analysis",23,87,87,4,61173,41952,14208,27744,37769,687,25,-,-
"..Ilocos Region","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Advertising",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Ilocos Region","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Photographic activities",50,490,487,..,77755,83422,19276,64145,25028,2773,2310,-,-
"..Ilocos Region","..Other professional, scientific and technical activities, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Veterinary activities",17,64,57,..,20947,17862,5216,12647,8517,-,1239,-,-
"..Cagayan Valley","Professional, Scientific And Technical Activities",58,233,217,..,209606,154001,56395,97606,125645,5451,-1723,-,-
"..Cagayan Valley","..Legal activities",10,26,13,..,8472,5950,2063,3887,5540,1344,-2,-,-
"..Cagayan Valley","..Accounting, bookkeeping and auditing activities; tax consultancy",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cagayan Valley","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Management consultancy activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Architectural and engineering activities and related technical consultancy",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cagayan Valley","..Technical testing and analysis",8,67,67,-,148540,110519,41412,69106,89810,2250,-95,-,-
"..Cagayan Valley","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Advertising",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cagayan Valley","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Photographic activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Other professional, scientific and technical activities, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Veterinary activities",13,53,52,-,21359,13805,4932,8874,13166,-,-1314,-,-
"..Central Luzon","Professional, Scientific And Technical Activities",401,3005,2972,966,3417419,2889422,780415,2109007,1487295,205210,149876,-,36
"..Central Luzon","..Legal activities",63,152,149,11,39792,32049,18687,13362,28852,2339,159,-,36
"..Central Luzon","..Accounting, bookkeeping and auditing activities; tax consultancy",38,331,329,-,156920,137806,94514,43292,123035,3570,568,-,-
"..Central Luzon","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","..Management consultancy activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Central Luzon","..Architectural and engineering activities and related technical consultancy",34,274,274,199,344834,334480,33512,300968,63724,27563,-5092,-,-
"..Central Luzon","..Technical testing and analysis",55,242,242,8,216636,213659,53174,160485,104659,25264,-197,-,-
"..Central Luzon","..Research and experimental development on natural sciences and engineering",5,294,294,703,850182,541706,85648,456059,408433,4845,120368,-,-
"..Central Luzon","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","..Advertising",11,238,238,15,177931,129686,36668,93018,92829,13491,5367,-,-
"..Central Luzon","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","..Specialized design activities",3,557,557,12,534663,472487,332890,139597,410794,5062,-785,-,-
"..Central Luzon","..Photographic activities",83,262,247,4,176568,187086,39181,147905,53569,8614,5862,-,-
"..Central Luzon","..Other professional, scientific and technical activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Central Luzon","..Veterinary activities",98,500,489,-,856125,788681,47412,741269,149201,94222,23637,-,-
"..CALABARZON","Professional, Scientific And Technical Activities",547,18168,18122,275,11151035,10591016,3975720,6615296,5125559,90786,104209,-,4487
"..CALABARZON","..Legal activities",76,230,216,-,77530,52215,22674,29541,51669,-,1,-,-
"..CALABARZON","..Accounting, bookkeeping and auditing activities; tax consultancy",60,476,476,58,158399,142098,85861,56237,113074,107,-172,-,-
"..CALABARZON","..Activities of head offices",4,66,66,92,137927,124159,20691,103467,62583,-,-,-,-
"..CALABARZON","..Management consultancy activities",13,6058,6040,58,3156956,3328621,766794,2561828,715602,20555,-,-,4487
"..CALABARZON","..Architectural and engineering activities and related technical consultancy",34,6341,6341,-,3135141,2832222,1419775,1412447,1781817,52,113602,-,-
"..CALABARZON","..Technical testing and analysis",56,915,915,54,722017,536936,282468,254468,487209,18736,3320,-,-
"..CALABARZON","..Research and experimental development on natural sciences and engineering",4,1392,1392,2,1542143,1498042,847985,650057,1078398,-,-,-,-
"..CALABARZON","..Research and experimental development on social sciences and humanities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..CALABARZON","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..CALABARZON","..Advertising",32,912,912,5,893690,760090,192988,567102,398178,15046,-6294,-,-
"..CALABARZON","..Market research and public opinion polling",s,s,s,s,s,s,s,s,s,s,s,s,s
"..CALABARZON","..Specialized design activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..CALABARZON","..Photographic activities",137,374,374,4,325855,349596,67626,281970,116188,9167,-25469,-,-
"..CALABARZON","..Other professional, scientific and technical activities, n.e.c.",6,223,223,2,180802,163602,65465,98138,87046,807,-,-,-
"..CALABARZON","..Veterinary activities",120,568,555,-,432342,459361,113101,346260,97816,24391,19221,-,-
"..MIMAROPA Region","Professional, Scientific And Technical Activities",62,237,226,16,178121,153992,27299,126693,67734,10019,-942,-,-
"..MIMAROPA Region","..Legal activities",12,27,27,-,10566,11166,3216,7950,9471,5977,-111,-,-
"..MIMAROPA Region","..Accounting, bookkeeping and auditing activities; tax consultancy",9,48,43,-,11698,9070,4736,4335,8238,250,-149,-,-
"..MIMAROPA Region","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..MIMAROPA Region","..Management consultancy activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..MIMAROPA Region","..Architectural and engineering activities and related technical consultancy",3,55,54,-,102977,91151,5795,85356,20556,-,11,-,-
"..MIMAROPA Region","..Technical testing and analysis",14,61,61,9,28843,24935,10069,14867,14709,-,-29,-,-
"..MIMAROPA Region","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..MIMAROPA Region","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..MIMAROPA Region","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..MIMAROPA Region","..Advertising",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..MIMAROPA Region","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..MIMAROPA Region","..Specialized design activities",19,40,36,7,20771,15308,3141,12167,12787,3317,-1152,-,-
"..MIMAROPA Region","..Photographic activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..MIMAROPA Region","..Other professional, scientific and technical activities, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..MIMAROPA Region","..Veterinary activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Bicol Region","Professional, Scientific And Technical Activities",102,571,564,-,218780,175930,57033,118897,123578,12054,-254,-,-
"..Bicol Region","..Legal activities",18,81,81,-,25349,13935,7879,6056,20957,..,3,-,-
"..Bicol Region","..Accounting, bookkeeping and auditing activities; tax consultancy",6,24,23,-,10110,7204,3584,3621,6917,597,-3,-,-
"..Bicol Region","..Activities of head offices",..,..,..,..,..,..,..,..,..,..,..,-,-
"..Bicol Region","..Management consultancy activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Bicol Region","..Architectural and engineering activities and related technical consultancy",4,56,56,-,32503,27219,9647,17572,19711,-,-2139,-,-
"..Bicol Region","..Technical testing and analysis",12,78,78,-,36636,22496,10615,11880,25668,-,606,-,-
"..Bicol Region","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bicol Region","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bicol Region","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bicol Region","..Advertising",9,152,152,-,43329,30682,8693,21988,27019,83,-1570,-,-
"..Bicol Region","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bicol Region","..Specialized design activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Bicol Region","..Photographic activities",30,73,69,-,54842,62218,10938,51280,13083,11374,2743,-,-
"..Bicol Region","..Other professional, scientific and technical activities, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bicol Region","..Veterinary activities",19,62,62,-,7138,6809,2658,4151,3306,-,215,-,-
"..Western Visayas","Professional, Scientific And Technical Activities",186,1888,1863,230,1079743,846447,335146,511301,633521,10530,2703,-,-
"..Western Visayas","..Legal activities",18,91,82,-,30704,25180,17318,7863,25328,-,-,-,-
"..Western Visayas","..Accounting, bookkeeping and auditing activities; tax consultancy",49,532,520,4,123621,112346,83963,28382,100161,2385,24,-,-
"..Western Visayas","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Western Visayas","..Management consultancy activities",12,73,73,-,52378,25406,9993,15413,37784,-,1,-,-
"..Western Visayas","..Architectural and engineering activities and related technical consultancy",16,240,237,-,246883,186662,63542,123120,133558,-,-3197,-,-
"..Western Visayas","..Technical testing and analysis",12,43,43,-,29207,21610,6263,15347,18336,-,-,-,-
"..Western Visayas","..Research and experimental development on natural sciences and engineering",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Western Visayas","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Western Visayas","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Western Visayas","..Advertising",15,172,172,226,83156,72825,20505,52319,43145,1543,-2718,-,-
"..Western Visayas","..Market research and public opinion polling",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Western Visayas","..Specialized design activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Western Visayas","..Photographic activities",40,148,147,-,154487,149392,41961,107431,65209,6602,5114,-,-
"..Western Visayas","..Other professional, scientific and technical activities, n.e.c.",3,15,15,-,5192,4378,1448,2930,2397,-,-,-,-
"..Western Visayas","..Veterinary activities",17,138,138,-,101402,95824,17390,78434,26114,-,3476,-,-
"..Central Visayas","Professional, Scientific And Technical Activities",383,9672,9653,227,8263187,7462054,4559924,2902130,5870765,140435,13184,-,-
"..Central Visayas","..Legal activities",41,236,236,-,54456,29689,17134,12555,43504,-,222,-,-
"..Central Visayas","..Accounting, bookkeeping and auditing activities; tax consultancy",55,2188,2188,21,1834783,1740787,1107482,633305,1269710,37495,757,-,-
"..Central Visayas","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Visayas","..Management consultancy activities",28,810,810,40,575628,511949,258508,253441,370232,7,-,-,-
"..Central Visayas","..Architectural and engineering activities and related technical consultancy",52,1474,1471,67,1407275,1327216,702503,624713,935245,21813,4838,-,-
"..Central Visayas","..Technical testing and analysis",49,484,484,-,386409,319036,118362,200674,199084,9230,4279,-,-
"..Central Visayas","..Research and experimental development on natural sciences and engineering",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Central Visayas","..Research and experimental development on social sciences and humanities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Central Visayas","..Research and experimental development in information technology",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Central Visayas","..Advertising",31,301,288,-,263033,206893,89048,117845,167539,3643,-3123,-,-
"..Central Visayas","..Market research and public opinion polling",3,1438,1438,-,982441,956589,691961,264628,754601,-,-,-,-
"..Central Visayas","..Specialized design activities",5,94,94,25,71999,60698,27181,33517,35937,-,6086,-,-
"..Central Visayas","..Photographic activities",66,506,502,-,259846,217310,127645,89665,182698,5044,1369,-,-
"..Central Visayas","..Other professional, scientific and technical activities, n.e.c.",4,14,14,50,11315,10420,5013,5407,6597,109,-,-,-
"..Central Visayas","..Veterinary activities",41,298,298,-,403877,289522,66455,223068,189861,7117,-1244,-,-
".. Eastern Visayas","Professional, Scientific And Technical Activities",59,402,397,23,117722,101406,46039,55367,72701,7017,193,-,-
".. Eastern Visayas","..Legal activities",21,39,39,-,9675,6740,3868,2873,7112,-,-65,-,-
".. Eastern Visayas","..Accounting, bookkeeping and auditing activities; tax consultancy",8,78,77,1,25663,18593,8890,9703,17699,226,-68,-,-
".. Eastern Visayas","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
".. Eastern Visayas","..Management consultancy activities",s,s,s,s,s,s,s,s,s,s,s,s,s
".. Eastern Visayas","..Architectural and engineering activities and related technical consultancy",4,24,23,11,13137,12312,2298,10014,4107,4085,..,-,-
".. Eastern Visayas","..Technical testing and analysis",6,109,109,11,23978,29547,11709,17839,12233,1365,..,-,-
".. Eastern Visayas","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
".. Eastern Visayas","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
".. Eastern Visayas","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
".. Eastern Visayas","..Advertising",8,69,67,-,14642,12598,6236,6362,8644,420,53,-,-
".. Eastern Visayas","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
".. Eastern Visayas","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
".. Eastern Visayas","..Photographic activities",s,s,s,s,s,s,s,s,s,s,s,s,s
".. Eastern Visayas","..Other professional, scientific and technical activities, n.e.c.",-,-,-,-,-,-,-,-,-,-,-,-,-
".. Eastern Visayas","..Veterinary activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Zamboanga Peninsula","Professional, Scientific And Technical Activities",49,322,306,-,150974,88590,32743,55847,114557,1873,-5329,-,-
"..Zamboanga Peninsula","..Legal activities",8,66,57,-,6859,4726,2420,2306,4604,-,205,-,-
"..Zamboanga Peninsula","..Accounting, bookkeeping and auditing activities; tax consultancy",3,62,58,-,9058,7692,3527,4165,5275,702,108,-,-
"..Zamboanga Peninsula","..Activities of head offices",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Zamboanga Peninsula","..Management consultancy activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Zamboanga Peninsula","..Architectural and engineering activities and related technical consultancy",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Zamboanga Peninsula","..Technical testing and analysis",11,32,32,-,30948,23418,7347,16071,20515,-,5,-,-
"..Zamboanga Peninsula","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Advertising",5,26,26,-,6998,5372,2830,2542,4654,-,-113,-,-
"..Zamboanga Peninsula","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Photographic activities",12,78,76,-,20871,21251,8406,12845,10683,1171,-775,-,-
"..Zamboanga Peninsula","..Other professional, scientific and technical activities, n.e.c.",3,14,14,-,2759,2597,1134,1463,1224,-,259,-,-
"..Zamboanga Peninsula","..Veterinary activities",3,18,18,-,9227,8178,2339,5840,3440,-,4007,-,-
"..Northern Mindanao","Professional, Scientific And Technical Activities",130,1056,1039,25,994155,932873,414612,518261,598229,250855,15478,-,-
"..Northern Mindanao","..Legal activities",26,117,117,-,53364,43227,15433,27795,32170,3409,795,-,-
"..Northern Mindanao","..Accounting, bookkeeping and auditing activities; tax consultancy",11,108,108,-,121356,108769,36355,72414,64659,131264,7821,-,-
"..Northern Mindanao","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Northern Mindanao","..Management consultancy activities",5,102,102,-,64996,62405,49402,13003,52201,2815,36,-,-
"..Northern Mindanao","..Architectural and engineering activities and related technical consultancy",11,245,239,-,73412,76865,28118,48747,40702,20685,-,-,-
"..Northern Mindanao","..Technical testing and analysis",18,225,225,11,246691,196466,96334,100132,202295,41242,513,-,-
"..Northern Mindanao","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Northern Mindanao","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Northern Mindanao","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Northern Mindanao","..Advertising",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Northern Mindanao","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
