geolocation,industry_description,number_of_establishments_at_2021,totak_employment_at_2021,paid_employees_at_2021,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2021,total_revenue_2021,total_expense_2021,compensation_2021,other_expense_2021,value_added_2021,gross_additions_to_tangible_fixed_assets_2021,change_in_inventories_2021,sales_from_e-commerce_transactions_2021,subsidies_2021
Cordillera Administrative Region,Research and experimental development on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Advertising,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Photographic activities,15,54,36,0,16913,16642,2557,14085,7141,1499,-90,0,0
Cordillera Administrative Region,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Veterinary activities,10,44,44,0,25251,15129,7934,7195,20450,10520,224,0,0
Ilocos Region,"Professional, Scientific And Technical Activities",143,1038,1012,4,354918,409415,98020,311395,110564,52309,5009,0,0
Ilocos Region,Legal activities,30,75,63,0,29185,18483,7210,11273,22197,1109,-6,0,0
Ilocos Region,"Accounting, bookkeeping and auditing activities; tax consultancy",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Management consultancy activities,5,164,162,0,114938,205517,27851,177666,-17581,48803,203,0,0
Ilocos Region,Architectural and engineering activities and related technical consultancy,9,94,92,0,34127,28187,15245,12942,22053,-2600,1251,0,0
Ilocos Region,Technical testing and analysis,23,87,87,4,61173,41952,14208,27744,37769,687,25,0,0
Ilocos Region,Research and experimental development on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Advertising,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Photographic activities,50,490,487,0,77755,83422,19276,64145,25028,2773,2310,0,0
Ilocos Region,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Veterinary activities,17,64,57,0,20947,17862,5216,12647,8517,0,1239,0,0
Cagayan Valley,"Professional, Scientific And Technical Activities",58,233,217,0,209606,154001,56395,97606,125645,5451,-1723,0,0
Cagayan Valley,Legal activities,10,26,13,0,8472,5950,2063,3887,5540,1344,-2,0,0
Cagayan Valley,"Accounting, bookkeeping and auditing activities; tax consultancy",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Management consultancy activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Architectural and engineering activities and related technical consultancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Technical testing and analysis,8,67,67,0,148540,110519,41412,69106,89810,2250,-95,0,0
Cagayan Valley,Research and experimental development on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Advertising,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Photographic activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Veterinary activities,13,53,52,0,21359,13805,4932,8874,13166,0,-1314,0,0
Central Luzon,"Professional, Scientific And Technical Activities",401,3005,2972,966,3417419,2889422,780415,2109007,1487295,205210,149876,0,36
Central Luzon,Legal activities,63,152,149,11,39792,32049,18687,13362,28852,2339,159,0,36
Central Luzon,"Accounting, bookkeeping and auditing activities; tax consultancy",38,331,329,0,156920,137806,94514,43292,123035,3570,568,0,0
Central Luzon,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Management consultancy activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Architectural and engineering activities and related technical consultancy,34,274,274,199,344834,334480,33512,300968,63724,27563,-5092,0,0
Central Luzon,Technical testing and analysis,55,242,242,8,216636,213659,53174,160485,104659,25264,-197,0,0
Central Luzon,Research and experimental development on natural sciences and engineering,5,294,294,703,850182,541706,85648,456059,408433,4845,120368,0,0
Central Luzon,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Advertising,11,238,238,15,177931,129686,36668,93018,92829,13491,5367,0,0
Central Luzon,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Specialized design activities,3,557,557,12,534663,472487,332890,139597,410794,5062,-785,0,0
Central Luzon,Photographic activities,83,262,247,4,176568,187086,39181,147905,53569,8614,5862,0,0
Central Luzon,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Veterinary activities,98,500,489,0,856125,788681,47412,741269,149201,94222,23637,0,0
Calabarzon,"Professional, Scientific And Technical Activities",547,18168,18122,275,11151035,10591016,3975720,6615296,5125559,90786,104209,0,4487
Calabarzon,Legal activities,76,230,216,0,77530,52215,22674,29541,51669,0,1,0,0
Calabarzon,"Accounting, bookkeeping and auditing activities; tax consultancy",60,476,476,58,158399,142098,85861,56237,113074,107,-172,0,0
Calabarzon,Activities of head offices,4,66,66,92,137927,124159,20691,103467,62583,0,0,0,0
Calabarzon,Management consultancy activities,13,6058,6040,58,3156956,3328621,766794,2561828,715602,20555,0,0,4487
Calabarzon,Architectural and engineering activities and related technical consultancy,34,6341,6341,0,3135141,2832222,1419775,1412447,1781817,52,113602,0,0
Calabarzon,Technical testing and analysis,56,915,915,54,722017,536936,282468,254468,487209,18736,3320,0,0
Calabarzon,Research and experimental development on natural sciences and engineering,4,1392,1392,2,1542143,1498042,847985,650057,1078398,0,0,0,0
Calabarzon,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Advertising,32,912,912,5,893690,760090,192988,567102,398178,15046,-6294,0,0
Calabarzon,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Photographic activities,137,374,374,4,325855,349596,67626,281970,116188,9167,-25469,0,0
Calabarzon,"Other professional, scientific and technical activities, n.e.c.",6,223,223,2,180802,163602,65465,98138,87046,807,0,0,0
Calabarzon,Veterinary activities,120,568,555,0,432342,459361,113101,346260,97816,24391,19221,0,0
Mimaropa Region,"Professional, Scientific And Technical Activities",62,237,226,16,178121,153992,27299,126693,67734,10019,-942,0,0
Mimaropa Region,Legal activities,12,27,27,0,10566,11166,3216,7950,9471,5977,-111,0,0
Mimaropa Region,"Accounting, bookkeeping and auditing activities; tax consultancy",9,48,43,0,11698,9070,4736,4335,8238,250,-149,0,0
Mimaropa Region,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Management consultancy activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Architectural and engineering activities and related technical consultancy,3,55,54,0,102977,91151,5795,85356,20556,0,11,0,0
Mimaropa Region,Technical testing and analysis,14,61,61,9,28843,24935,10069,14867,14709,0,-29,0,0
Mimaropa Region,Research and experimental development on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Advertising,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Specialized design activities,19,40,36,7,20771,15308,3141,12167,12787,3317,-1152,0,0
Mimaropa Region,Photographic activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Veterinary activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,"Professional, Scientific And Technical Activities",102,571,564,0,218780,175930,57033,118897,123578,12054,-254,0,0
Bicol Region,Legal activities,18,81,81,0,25349,13935,7879,6056,20957,0,3,0,0
Bicol Region,"Accounting, bookkeeping and auditing activities; tax consultancy",6,24,23,0,10110,7204,3584,3621,6917,597,-3,0,0
Bicol Region,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Management consultancy activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Architectural and engineering activities and related technical consultancy,4,56,56,0,32503,27219,9647,17572,19711,0,-2139,0,0
Bicol Region,Technical testing and analysis,12,78,78,0,36636,22496,10615,11880,25668,0,606,0,0
Bicol Region,Research and experimental development on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Advertising,9,152,152,0,43329,30682,8693,21988,27019,83,-1570,0,0
Bicol Region,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Photographic activities,30,73,69,0,54842,62218,10938,51280,13083,11374,2743,0,0
Bicol Region,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Veterinary activities,19,62,62,0,7138,6809,2658,4151,3306,0,215,0,0
Western Visayas,"Professional, Scientific And Technical Activities",186,1888,1863,230,1079743,846447,335146,511301,633521,10530,2703,0,0
Western Visayas,Legal activities,18,91,82,0,30704,25180,17318,7863,25328,0,0,0,0
Western Visayas,"Accounting, bookkeeping and auditing activities; tax consultancy",49,532,520,4,123621,112346,83963,28382,100161,2385,24,0,0
Western Visayas,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Management consultancy activities,12,73,73,0,52378,25406,9993,15413,37784,0,1,0,0
Western Visayas,Architectural and engineering activities and related technical consultancy,16,240,237,0,246883,186662,63542,123120,133558,0,-3197,0,0
Western Visayas,Technical testing and analysis,12,43,43,0,29207,21610,6263,15347,18336,0,0,0,0
Western Visayas,Research and experimental development on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Advertising,15,172,172,226,83156,72825,20505,52319,43145,1543,-2718,0,0
Western Visayas,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Photographic activities,40,148,147,0,154487,149392,41961,107431,65209,6602,5114,0,0
Western Visayas,"Other professional, scientific and technical activities, n.e.c.",3,15,15,0,5192,4378,1448,2930,2397,0,0,0,0
Western Visayas,Veterinary activities,17,138,138,0,101402,95824,17390,78434,26114,0,3476,0,0
Central Visayas,"Professional, Scientific And Technical Activities",383,9672,9653,227,8263187,7462054,4559924,2902130,5870765,140435,13184,0,0
Central Visayas,Legal activities,41,236,236,0,54456,29689,17134,12555,43504,0,222,0,0
Central Visayas,"Accounting, bookkeeping and auditing activities; tax consultancy",55,2188,2188,21,1834783,1740787,1107482,633305,1269710,37495,757,0,0
Central Visayas,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Management consultancy activities,28,810,810,40,575628,511949,258508,253441,370232,7,0,0,0
Central Visayas,Architectural and engineering activities and related technical consultancy,52,1474,1471,67,1407275,1327216,702503,624713,935245,21813,4838,0,0
Central Visayas,Technical testing and analysis,49,484,484,0,386409,319036,118362,200674,199084,9230,4279,0,0
Central Visayas,Research and experimental development on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Advertising,31,301,288,0,263033,206893,89048,117845,167539,3643,-3123,0,0
Central Visayas,Market research and public opinion polling,3,1438,1438,0,982441,956589,691961,264628,754601,0,0,0,0
Central Visayas,Specialized design activities,5,94,94,25,71999,60698,27181,33517,35937,0,6086,0,0
Central Visayas,Photographic activities,66,506,502,0,259846,217310,127645,89665,182698,5044,1369,0,0
Central Visayas,"Other professional, scientific and technical activities, n.e.c.",4,14,14,50,11315,10420,5013,5407,6597,109,0,0,0
Central Visayas,Veterinary activities,41,298,298,0,403877,289522,66455,223068,189861,7117,-1244,0,0
Eastern Visayas,"Professional, Scientific And Technical Activities",59,402,397,23,117722,101406,46039,55367,72701,7017,193,0,0
Eastern Visayas,Legal activities,21,39,39,0,9675,6740,3868,2873,7112,0,-65,0,0
Eastern Visayas,"Accounting, bookkeeping and auditing activities; tax consultancy",8,78,77,1,25663,18593,8890,9703,17699,226,-68,0,0
Eastern Visayas,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Management consultancy activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Architectural and engineering activities and related technical consultancy,4,24,23,11,13137,12312,2298,10014,4107,4085,0,0,0
Eastern Visayas,Technical testing and analysis,6,109,109,11,23978,29547,11709,17839,12233,1365,0,0,0
Eastern Visayas,Research and experimental development on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Advertising,8,69,67,0,14642,12598,6236,6362,8644,420,53,0,0
Eastern Visayas,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Photographic activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Veterinary activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,"Professional, Scientific And Technical Activities",49,322,306,0,150974,88590,32743,55847,114557,1873,-5329,0,0
Zamboanga Peninsula,Legal activities,8,66,57,0,6859,4726,2420,2306,4604,0,205,0,0
Zamboanga Peninsula,"Accounting, bookkeeping and auditing activities; tax consultancy",3,62,58,0,9058,7692,3527,4165,5275,702,108,0,0
Zamboanga Peninsula,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Management consultancy activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Architectural and engineering activities and related technical consultancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Technical testing and analysis,11,32,32,0,30948,23418,7347,16071,20515,0,5,0,0
Zamboanga Peninsula,Research and experimental development on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Advertising,5,26,26,0,6998,5372,2830,2542,4654,0,-113,0,0
Zamboanga Peninsula,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Photographic activities,12,78,76,0,20871,21251,8406,12845,10683,1171,-775,0,0
Zamboanga Peninsula,"Other professional, scientific and technical activities, n.e.c.",3,14,14,0,2759,2597,1134,1463,1224,0,259,0,0
Zamboanga Peninsula,Veterinary activities,3,18,18,0,9227,8178,2339,5840,3440,0,4007,0,0
Northern Mindanao,"Professional, Scientific And Technical Activities",130,1056,1039,25,994155,932873,414612,518261,598229,250855,15478,0,0
Northern Mindanao,Legal activities,26,117,117,0,53364,43227,15433,27795,32170,3409,795,0,0
Northern Mindanao,"Accounting, bookkeeping and auditing activities; tax consultancy",11,108,108,0,121356,108769,36355,72414,64659,131264,7821,0,0
Northern Mindanao,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Management consultancy activities,5,102,102,0,64996,62405,49402,13003,52201,2815,36,0,0
Northern Mindanao,Architectural and engineering activities and related technical consultancy,11,245,239,0,73412,76865,28118,48747,40702,20685,0,0,0
Northern Mindanao,Technical testing and analysis,18,225,225,11,246691,196466,96334,100132,202295,41242,513,0,0
Northern Mindanao,Research and experimental development on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Advertising,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Photographic activities,23,76,75,5,77969,77847,16630,61218,23928,30149,5717,0,0
Northern Mindanao,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Veterinary activities,24,89,85,0,22633,19398,6076,13323,13137,10695,595,0,0
Davao Region,"Professional, Scientific And Technical Activities",230,2031,2003,8,2896015,1758611,780228,978383,1836660,135598,-775,0,0
Davao Region,Legal activities,50,268,264,2,687589,502153,281307,220847,496005,1449,0,0,0
Davao Region,"Accounting, bookkeeping and auditing activities; tax consultancy",27,351,351,0,276952,174882,120264,54619,232643,547,-6,0,0
Davao Region,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Management consultancy activities,9,257,257,0,918015,332446,190265,142181,558493,7423,0,0,0
Davao Region,Architectural and engineering activities and related technical consultancy,38,545,545,0,372733,311274,95354,215921,181257,18740,-4320,0,0
Davao Region,Technical testing and analysis,39,231,231,0,383414,212178,55733,156445,273591,98835,1626,0,0
Davao Region,Research and experimental development on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Advertising,25,132,109,6,115524,98735,9672,89063,39624,5752,-966,0,0
Davao Region,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Photographic activities,26,61,61,0,71724,78184,14995,63189,16218,2768,3703,0,0
Davao Region,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Veterinary activities,9,36,36,0,13472,10153,5606,4547,9347,0,-238,0,0
Soccsksargen,"Professional, Scientific And Technical Activities",121,882,878,21,542902,482396,137393,345004,224202,12272,18330,0,0
Soccsksargen,Legal activities,33,87,83,0,37638,23761,15029,8732,30806,0,-39,0,0
Soccsksargen,"Accounting, bookkeeping and auditing activities; tax consultancy",11,83,83,0,57242,48426,24746,23681,35203,84,-3,0,0
Soccsksargen,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Management consultancy activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Architectural and engineering activities and related technical consultancy,14,440,440,9,286200,280803,58054,222749,60360,7437,20042,0,0
Soccsksargen,Technical testing and analysis,21,82,82,1,98905,56885,16688,40197,78064,165,1215,0,0
Soccsksargen,Research and experimental development on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Advertising,5,33,33,0,8191,6174,1870,4305,4842,0,69,0,0
Soccsksargen,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Photographic activities,30,96,96,11,47888,52781,11531,41251,11361,2142,-3090,0,0
Soccsksargen,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Veterinary activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,"Professional, Scientific And Technical Activities",73,255,240,1,163919,106653,28149,78504,113015,4965,-150,0,0
Caraga,Legal activities,18,25,21,0,11657,7818,2742,5076,8708,0,-52,0,0
Caraga,"Accounting, bookkeeping and auditing activities; tax consultancy",5,46,45,0,17157,12109,6156,5952,16969,4835,0,0,0
Caraga,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Management consultancy activities,3,14,14,0,7481,4731,1274,3457,4077,35,18,0,0
Caraga,Architectural and engineering activities and related technical consultancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Technical testing and analysis,15,50,50,0,59293,25788,9410,16378,44525,0,0,0,0
Caraga,Research and experimental development on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
